;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; VH-PAG ;Boeing 737-8FE(WL); C8Y168 ; 9 Feb 2021 ;; 11.8 Years ;;;
; VH-REX ;Boeing 737-8FE(WL); C8Y168 ; 12 Feb 2021 ;; 11.9 Years ;;;
; VH-RQC ;Boeing 737-8FE(WL); C8Y168 ; 23 Dec 2020 ;; 18.4 Years ;;;
; VH-RQG ;Boeing 737-8FE(WL); C8Y168 ; 21 Jan 2021 ;; 16.9 Years ;;;
; VH-RQP ;Boeing 737-8FE(WL); C8Y168 ; 18 Mar 2021 ;; 11.6 Years ;;;
; VH-RYU ;Boeing 737-8FE(WL); C8Y168 ; 18 Mar 2021 ;; 18.5 Years ;;;
; VH-EKD ;Saab 340A;; 3 Feb 2014 ;; 32.7 Years ;;;
; VH-EKH ;Saab 340B+; Y34 ; 19 Sep 2002 ;; 26.7 Years ;;;
; VH-EKX ;Saab 340B;; 6 Aug 2002 ;Shark Cage Diving cs ; 30.7 Years ;;;
; VH-KDQ ;Saab 340B;; 19 Sep 2002 ;; 29.3 Years ;;;
; VH-KDV ;Saab 340B;; 19 Sep 2002 ;; 29.4 Years ;;;
; VH-KRX ;Saab 340B; Y34 ; 23 Apr 2004 ; Parked ; 30 Years ;;;
; VH-NRX ;Saab 340B; Y34 ; 6 Oct 2004 ;; 30 Years ;;;
; VH-OLL ;Saab 340B;; 19 Sep 2002 ; Parked ; 32.2 Years ;;;
; VH-OLM ;Saab 340B;; 16 Sep 2002 ;; 31.5 Years ;;;
; VH-ORX ;Saab 340B; Y34 ; 24 May 2004 ;; 30 Years ;;;
; VH-PRX ;Saab 340B; Y34 ; 16 Jul 2004 ;; 29.8 Years ;;;
; VH-RXE ;Saab 340B;; 24 Dec 2003 ;lsd ; 30.3 Years ;;;
; VH-RXN ;Saab 340B; Y34 ; 23 Mar 2004 ;; 30.3 Years ;;;
; VH-RXQ ;Saab 340B;; 7 Nov 2005 ;; 31.7 Years ;;;
; VH-RXS ;Saab 340B; Y34 ; 26 Feb 2004 ;; 30.1 Years ;;;
; VH-RXX ;Saab 340B;; 30 Sep 2003 ;; 31.5 Years ;;;
; VH-SBA ;Saab 340B;; 16 Sep 2002 ;; 29.7 Years ;;;
; VH-TRX ;Saab 340B; Y34 ; 14 Apr 2005 ;; 30.1 Years ;;;
; VH-VNA ;Saab 340B; Y34 ; 25 Mar 2015 ; Parked ; 29.8 Years ;;;
; VH-YRX ;Saab 340B;; 24 Mar 2006 ; Parked ; 32.1 Years ;;;
; VH-ZJS ;Saab 340B; Y34 ; 28 Oct 2011 ;; 32 Years ;;;
; VH-ZLA ;Saab 340B+; Y34 ; 20 Jun 2007 ;; 26.6 Years ;;;
; VH-ZLC ;Saab 340B+; Y34 ; 16 Jul 2007 ;; 26.4 Years ;;;
; VH-ZLF ;Saab 340B+; Y34 ; 17 Aug 2007 ;; 26.4 Years ;;;
; VH-ZLG ;Saab 340B+; Y34 ; 26 Sep 2007 ;; 26.4 Years ;;;
; VH-ZLH ;Saab 340B+; Y34 ; 26 Oct 2007 ;; 26.3 Years ;;;
; VH-ZLJ ;Saab 340B+; Y34 ; 10 Dec 2007 ;; 26.2 Years ;;;
; VH-ZLK ;Saab 340B+; Y34 ; 30 Jan 2008 ;; 26.2 Years ;;;
; VH-ZLO ;Saab 340B+; Y34 ; 18 Aug 2008 ;; 26.1 Years ;;;
; VH-ZLQ ;Saab 340B+; Y34 ; 10 May 2007 ;; 26.7 Years ;;;
; VH-ZLR ;Saab 340B;; 20 Jul 2006 ;lsd ; 31.1 Years ;;;
; VH-ZLS ;Saab 340B+; Y34 ; 23 Jan 2009 ; Parked ; 26.1 Years ;;;
; VH-ZLV ;Saab 340B+; Y34 ; 14 Jul 2008 ;; 26 Years ;;;
; VH-ZLW ;Saab 340B+; Y34 ; 23 May 2008 ;; 26 Years ;;;
; VH-ZLX ;Saab 340B;; 12 Jul 2006 ;; 31.9 Years ;;;
; VH-ZPA ;Saab 340B+; Y34 ; 22 Nov 2018 ;; 25.1 Years ;;;
; VH-ZPB ;Saab 340B+; Y34 ; 12 Jun 2019 ;; 25.5 Years ;;;
; VH-ZPC ;Saab 340B+; Y34 ; 3 May 2019 ;; 25.4 Years ;;;
; VH-ZPN ;Saab 340B+; Y34 ; 14 Dec 2020 ;; 26.1 Years ;;;
; VH-ZRB ;Saab 340B+; Y34 ; 6 Mar 2008 ; Parked ; 25.9 Years ;;;
; VH-ZRC ;Saab 340B+; Y34 ; 23 Mar 2009 ;; 25.9 Years ;;;
; VH-ZRE ;Saab 340B+; Y34 ; 4 May 2009 ;; 25.9 Years ;;;
; VH-ZRH ;Saab 340B+; Y34 ; 17 Jun 2009 ;; 25.8 Years ;;;
; VH-ZRI ;Saab 340B+; Y34 ; 14 Sep 2009 ;; 25.8 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; VH-ZRJ ;Saab 340B+; Y34 ; 20 Oct 2009 ;; 25.8 Years ;;;
; VH-ZRK ;Saab 340B+; Y34 ; 25 Nov 2009 ;; 25.7 Years ;;;
; VH-ZRL ;Saab 340B+; Y34 ; 21 Jan 2010 ;; 25.7 Years ;;;
; VH-ZRM ;Saab 340B+; Y34 ; 25 Feb 2010 ;; 25.6 Years ;;;
; VH-ZRN ;Saab 340B+; Y34 ; 29 Jul 2009 ;; 25.8 Years ;;;
; VH-ZRY ;Saab 340B+; Y34 ; 22 Sep 2008 ;; 25.5 Years ;;;
; VH-ZRZ ;Saab 340B+; Y34 ; 15 Apr 2008 ;; 26 Years ;;;
; VH-ZXF ;Saab 340B+; Y34 ; 3 Dec 2015 ;; 24.9 Years ;;;
; VH-ZXG ;Saab 340B+; Y34 ; 11 Jan 2016 ; Parked ; 25.5 Years ;;;
; VH-ZXK ;Saab 340B+; Y34 ; 11 Jan 2016 ;; 24.7 Years ;;;
; VH-ZXQ ;Saab 340B+; Y34 ; 9 Feb 2018 ;; 24.6 Years ;;;
; VH-ZXS ;Saab 340B;; 3 Feb 2014 ;; 32.1 Years ;;;
; VH-ZXU ;Saab 340B+; Y34 ; 18 Oct 2017 ;; 24.6 Years ;;;
