;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; PR-AVX ;Embraer EMB-135BJ Legacy; VIP ; 30 Oct 2013 ; 31 Oct 2018 ;N37EL Private ;lsd ;;
; PT-FKK ;Embraer EMB-135BJ Legacy 650; VIP ; Nov 2015 ; Sep 2017 ;PT-FKK Private ;;;
