;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-320K ;Airbus A320-251N; Y174 ; 24 Dec 2020 ;lsd ; 1.4 Years ;;;
; B-320R ;Airbus A320-251N; Y174 ; 13 Nov 2020 ;lsd ; 1.3 Years ;;;
; B-321W ;Airbus A320-251N;; 21 Dec 2020 ;lsd ; 1.2 Years ;;;
; B-321X ;Airbus A320-251N; Y174 ; 30 Dec 2020 ;lsd ; 1.2 Years ;;;
; B-323G ;Airbus A320-251N; Y174 ; 19 Mar 2021 ;lsd ; 1 Years ;;;
; B-323U ;Airbus A321-251NX; C8Y202 ; 13 Aug 2021 ;lsd ; 0.6 Years ;;;
; B-325K ;Airbus A321-251NX; C8Y202 ; 9 Nov 2021 ;lsd ; 0.4 Years ;;;
; B-325X ;Airbus A321-251NX; C8Y202 ; 8 Nov 2021 ;lsd ; 0.3 Years ;;;
; B-326S ;Airbus A321-251NX; C8Y202 ; 29 Dec 2021 ;lsd ; 0.2 Years ;;;
; B-327C ;Airbus A321-251NX; C8Y202 ; 4 Jan 2022 ;lsd ; 0.2 Years ;;;
; B-2584 ;Boeing 737-3J6(SF); Cargo ; 16 Apr 2013 ;lsd ; 29.4 Years ;;;
; B-2949 ;Boeing 737-3J6(SF); Cargo ; 16 Apr 2013 ; Parked, lsd ; 27.5 Years ;;;
; B-2954 ;Boeing 737-3J6(SF); Cargo ; 18 Mar 2014 ; Parked, lsd ; 26.1 Years ;;;
