;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; C-FLQY ;Bombardier DHC-8-402Q Dash 8; Y74 ; 23 Apr 2010 ;; 819 ; 12 Years ;;
; C-GKQA ;Bombardier DHC-8-402Q Dash 8; Y74 ; 31 Mar 2011 ;; 821 ; 11.1 Years ;;
; C-GKQB ;Bombardier DHC-8-402Q Dash 8; Y74 ; 8 Apr 2011 ; Parked YTZ ; 822 ; 11.1 Years ;;
; C-GKQC ;Bombardier DHC-8-402Q Dash 8; Y74 ; 14 Apr 2011 ;; 823 ; 11.1 Years ;;
; C-GKQD ;Bombardier DHC-8-402Q Dash 8; Y74 ; 21 Apr 2011 ;; 824 ; 11.1 Years ;;
; C-GKQE ;Bombardier DHC-8-402Q Dash 8; Y74 ; 28 Nov 2011 ; Parked ; 825 ; 10.4 Years ;;
; C-GKQF ;Bombardier DHC-8-402Q Dash 8; Y74 ; 28 Nov 2011 ; Parked ; 826 ; 10.4 Years ;;
; C-GKQG ;Bombardier DHC-8-402Q Dash 8; Y74 ; 30 Dec 2016 ;; 827 ; 5.2 Years ;;
; C-GKQH ;Bombardier DHC-8-402Q Dash 8; Y74 ; 20 Jan 2017 ;; 828 ; 5.1 Years ;;
; C-GKQI ;Bombardier DHC-8-402Q Dash 8; Y74 ; 24 Mar 2017 ; Parked YTZ ; 829 ; 5 Years ;;
; C-GLQB ;Bombardier DHC-8-402Q Dash 8; Y74 ; 29 Aug 2006 ;Celebrating Canada's 150th cs ; 801 ; 15.7 Years ;;
; C-GLQC ;Bombardier DHC-8-402Q Dash 8; Y74 ; 10 Oct 2006 ;Celebrating Canada's 150th cs ; 802 ; 15.6 Years ;;
; C-GLQD ;Bombardier DHC-8-402Q Dash 8; Y74 ; 29 Nov 2006 ; Parked ; 803 ; 15.5 Years ;;
; C-GLQE ;Bombardier DHC-8-402Q Dash 8; Y74 ; 27 Dec 2006 ;; 804 ; 15.4 Years ;;
; C-GLQF ;Bombardier DHC-8-402Q Dash 8; Y74 ; 14 Feb 2008 ; Parked ; 805 ; 14.3 Years ;;
; C-GLQG ;Bombardier DHC-8-402Q Dash 8; Y74 ; 14 Feb 2008 ;; 806 ; 14.3 Years ;;
; C-GLQH ;Bombardier DHC-8-402Q Dash 8; Y74 ; 3 Nov 2008 ;; 807 ; 13.5 Years ;;
; C-GLQJ ;Bombardier DHC-8-402Q Dash 8; Y74 ; 16 Dec 2008 ; Parked ; 808 ; 13.4 Years ;;
; C-GLQK ;Bombardier DHC-8-402Q Dash 8; Y74 ; 4 Apr 2009 ;; 809 ; 13.1 Years ;;
; C-GLQL ;Bombardier DHC-8-402Q Dash 8; Y74 ; 18 Apr 2009 ;; 810 ; 13 Years ;;
; C-GLQM ;Bombardier DHC-8-402Q Dash 8; Y74 ; 11 May 2009 ; Parked YTZ ; 811 ; 13 Years ;;
; C-GLQN ;Bombardier DHC-8-402Q Dash 8; Y74 ; 11 May 2009 ;; 812 ; 13 Years ;;
; C-GLQO ;Bombardier DHC-8-402Q Dash 8; Y74 ; 16 Sep 2009 ;; 813 ; 12.6 Years ;;
; C-GLQP ;Bombardier DHC-8-402Q Dash 8; Y74 ; 16 Sep 2009 ;; 814 ; 12.6 Years ;;
; C-GLQQ ;Bombardier DHC-8-402Q Dash 8; Y74 ; 22 Sep 2009 ;; 815 ; 12.6 Years ;;
; C-GLQR ;Bombardier DHC-8-402Q Dash 8; Y74 ; 2 Nov 2009 ; Parked ; 816 ; 12.3 Years ;;
; C-GLQV ;Bombardier DHC-8-402Q Dash 8; Y74 ; 18 Nov 2009 ;; 817 ; 12.3 Years ;;
; C-GLQX ;Bombardier DHC-8-402Q Dash 8; Y74 ; 12 Dec 2009 ;; 818 ; 12.3 Years ;;
; C-GLQZ ;Bombardier DHC-8-402Q Dash 8; Y74 ; 22 Apr 2010 ;; 820 ; 12 Years ;;
