;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; TC-NCY ;Airbus A320-251N; Y186 ; 8 Dec 2021 ;; Defne ; 0.4 Years ;;;
; TC-NCZ ;Airbus A320-251N; Y186 ; 21 Dec 2021 ;; Eylül Ada ; 0.3 Years ;;;
; TC-RBA ;Airbus A321-251NX; Y239 ; 11 Sep 2019 ;; Asem Zümra ; 2.5 Years ;;;
; TC-RBB ;Airbus A321-251NX; Y239 ; 6 Dec 2019 ;; Özden Ece ; 2.2 Years ;;;
; TC-RBC ;Airbus A321-251NX; Y239 ; 15 Apr 2020 ;; Leyla Ada ; 1.9 Years ;;;
; TC-RBD ;Airbus A321-251NX; Y239 ; 9 Apr 2020 ;; Azra ; 2 Years ;;;
; TC-RBE ;Airbus A321-251NX; Y239 ; 24 Jun 2020 ;; Arin Erva ; 1.7 Years ;;;
; TC-RBF ;Airbus A321-251NX; Y239 ; 23 Dec 2020 ;lsd ; Nazende ; 1.6 Years ;;;
; TC-RBG ;Airbus A321-251NX; Y239 ; 23 Dec 2020 ;; Milena ; 1.4 Years ;;;
; TC-RBH ;Airbus A321-251NX; Y239 ; 26 Nov 2021 ;; Zümra ; 0.3 Years ;;;
; TC-RBI ;Airbus A321-251NX; Y239 ; On Order ;; Elis ;;;;
; TC-RBJ ;Airbus A321-251NX; Y239 ; On Order ;; İdil ;;;;
; TC-RBK ;Airbus A321-251NX;; On Order ;;;;;;
; TC-RBL ;Airbus A321-251NX;; On Order ;;;;;;
; TC-RBM ;Airbus A321-251NX;; On Order ;;;;;;
; TC-RBN ;Airbus A321-251NX; Y239 ; On Order ;; Lagün ;;;;
; TC-RBR ;Airbus A321-251NX; Y239 ; On Order ;;;;;;
; TC-ADP ;Boeing 737-82R(WL); Y189 ; 24 Jan 2011 ; Parked ; Nisa Nur ; 11.1 Years ;;;
; TC-AIS ;Boeing 737-82R(WL); Y189 ; 13 Dec 2011 ;; Sevde Nil D ; 10.3 Years ;;;
; TC-ANP ;Boeing 737-82R(WL); Y189 ; 5 May 2011 ; Parked ; Lidya ; 10.9 Years ;;;
; TC-AZP ;Boeing 737-82R(WL); Y189 ; 23 Jan 2012 ;; Maya ; 10.1 Years ;;;
; TC-CPA ;Boeing 737-82R(WL); Y189 ; 27 Jan 2012 ; Parked ; Sena ; 10.1 Years ;;;
; TC-CPB ;Boeing 737-82R(WL); Y189 ; 1 Mar 2012 ; Parked ; Doğa ; 10 Years ;;;
; TC-CPC ;Boeing 737-82R(WL); Y189 ; 21 Mar 2012 ;; Öykü ; 10 Years ;;;
; TC-CPD ;Boeing 737-82R(WL); Y189 ; 25 Apr 2012 ;; Berra ; 9.9 Years ;;;
; TC-CPE ;Boeing 737-82R(WL); Y189 ; 3 May 2012 ;; Bade ; 9.9 Years ;;;
