;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; PK-THT ;ATR 42-500;; 12 Jul 2010 ;; 21.4 Years ;;
; PK-TFS ;Embraer EMB-135BJ Legacy; VIP ; 3 Jan 2014 ;; 19.6 Years ;;
