;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; VH-VXJ ;Boeing 737-838(WL); C12Y162 ; 21 Jun 2002 ; Parked ; Coober Pedy ; 19.7 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; VH-VXK ;Boeing 737-838(WL); C12Y162 ; 25 Jun 2002 ;; Katherine ; 19.7 Years ;;;
; VH-VXL ;Boeing 737-838(WL); C12Y162 ; 11 Jul 2002 ; Parked ; Charleville ; 19.7 Years ;;;
; VH-VXM ;Boeing 737-838(WL); C12Y162 ; 15 Jul 2002 ; Parked ; Mount Hotham ; 19.7 Years ;;;
; VH-VXN ;Boeing 737-838(WL); C12Y162 ; 24 Jul 2002 ;; Fremantle ; 19.6 Years ;;;
; VH-VXO ;Boeing 737-838(WL); C12Y162 ; 26 Jul 2002 ;; Kakadu ; 19.6 Years ;;;
; VH-VXP ;Boeing 737-838(WL); C12Y162 ; 28 May 2003 ;; Logan ; 18.8 Years ;;;
; VH-VXQ ;Boeing 737-838(WL); C12Y162 ; 13 Jun 2003 ;Retro (1959) cs ; Retro Roo II ; 18.8 Years ;;;
; VH-VXR ;Boeing 737-838(WL); C12Y162 ; 20 Jun 2003 ;; Shepparton ; 18.7 Years ;;;
; VH-VXS ;Boeing 737-838(WL); C12Y162 ; 22 Jul 2003 ;; St. Helens ; 18.6 Years ;;;
; VH-VXT ;Boeing 737-838(WL); C12Y162 ; 24 Nov 2003 ;; Townsville ; 18.3 Years ;;;
; VH-VXU ;Boeing 737-838(WL); C12Y162 ; 11 Dec 2003 ;; Wollongong ; 18.3 Years ;;;
; VH-VYA ;Boeing 737-838(WL); C12Y162 ; 8 Jul 2004 ;; Narooma ; 17.7 Years ;;;
; VH-VYB ;Boeing 737-838(WL); C12Y162 ; 13 Jul 2004 ;; Cape Otway ; 17.7 Years ;;;
; VH-VYC ;Boeing 737-838(WL); C12Y162 ; 2 Dec 2004 ;; Arnhem Land ; 17.3 Years ;;;
; VH-VYD ;Boeing 737-838(WL); C12Y162 ; 12 May 2005 ;; Eudunda ; 16.8 Years ;;;
; VH-VYE ;Boeing 737-838(WL); C12Y162 ; 23 May 2005 ;lsd ; Alice Springs ; 16.8 Years ;;;
; VH-VYF ;Boeing 737-838(WL); C12Y162 ; 14 Jun 2005 ;lsd ; Evandale ; 16.7 Years ;;;
; VH-VYG ;Boeing 737-838(WL); C12Y162 ; 30 Jun 2005 ;lsd ; Australind ; 16.7 Years ;;;
; VH-VYH ;Boeing 737-838(WL); C12Y162 ; 18 Nov 2005 ; Parked, lsd ; Queanbeyan ; 16.3 Years ;;;
; VH-VYI ;Boeing 737-838(WL); C12Y162 ; 9 Jan 2006 ; Parked, lsd ; Bathurst Island ; 16.2 Years ;;;
; VH-VYJ ;Boeing 737-838(WL); C12Y162 ; 13 Jan 2006 ;; Cann River ; 16.2 Years ;;;
; VH-VYK ;Boeing 737-838(WL); C12Y162 ; 18 Jan 2006 ;lsd ; Moree ; 16.2 Years ;;;
; VH-VYL ;Boeing 737-838(WL); C12Y162 ; 26 Jan 2006 ;lsd ; Wangaratta ; 16.1 Years ;;;
; VH-VYZ ;Boeing 737-838(WL); C12Y162 ; 31 Oct 2018 ;; Torquay ; 10.7 Years ;;;
; VH-VZA ;Boeing 737-838(WL); C12Y162 ; 7 Feb 2008 ;; Port Augusta ; 14.1 Years ;;;
; VH-VZB ;Boeing 737-838(WL); C12Y162 ; 30 May 2008 ;; Lake Macquarie ; 13.8 Years ;;;
; VH-VZC ;Boeing 737-838(WL); C12Y162 ; 26 Jun 2008 ;; Innisfail ; 13.7 Years ;;;
; VH-VZD ;Boeing 737-838(WL); C12Y162 ; 30 Jun 2008 ;; Geelong ; 13.7 Years ;;;
; VH-VZE ;Boeing 737-838(WL); C12Y162 ; 11 Jul 2008 ;; Bunbury ; 13.7 Years ;;;
; VH-VZF ;Boeing 737-838(WL); C12Y162 ; 25 Oct 2017 ;; Ballarat ; 12.6 Years ;;;
; VH-VZG ;Boeing 737-838(WL); C12Y162 ; 9 Feb 2018 ;; Yarralumla ; 12.6 Years ;;;
; VH-VZH ;Boeing 737-838(WL); C12Y162 ; 8 Mar 2018 ;; Woden ; 12.4 Years ;;;
; VH-VZI ;Boeing 737-838(WL); C12Y162 ; 23 Aug 2018 ;; Ballina ; 11.1 Years ;;;
; VH-VZJ ;Boeing 737-838(WL); C12Y162 ; 11 May 2018 ;; Bowral ; 11.1 Years ;;;
; VH-VZK ;Boeing 737-838(WL); C12Y162 ; 12 Oct 2018 ;; Proserpine ; 11.1 Years ;;;
; VH-VZL ;Boeing 737-838(WL); C12Y162 ; 22 Apr 2011 ;; Newcastle ; 10.9 Years ;;;
; VH-VZM ;Boeing 737-838(WL); C12Y162 ; 13 May 2011 ;; Bathurst ; 10.8 Years ;;;
; VH-VZO ;Boeing 737-838(WL); C12Y162 ; 7 Jul 2011 ;; Bendigo ; 10.7 Years ;;;
; VH-VZP ;Boeing 737-838(WL); C12Y162 ; 22 Jul 2011 ;; Whyalla ; 10.6 Years ;;;
; VH-VZQ ;Boeing 737-838(WL); C12Y162 ; 12 Nov 2018 ;; Belconnen ; 10.6 Years ;;;
; VH-VZR ;Boeing 737-838(WL); C12Y162 ; 30 Aug 2011 ;; Coral Bay ; 10.5 Years ;;;
; VH-VZS ;Boeing 737-838(WL); C12Y162 ; 12 Sep 2011 ;; Tamworth ; 10.5 Years ;;;
; VH-VZT ;Boeing 737-838(WL); C12Y162 ; 14 Oct 2011 ;; Kalgoorlie ; 10.4 Years ;;;
; VH-VZU ;Boeing 737-838(WL); C12Y162 ; 3 Nov 2011 ;; Lorne ; 10.4 Years ;;;
; VH-VZV ;Boeing 737-838(WL); C12Y162 ; 6 Dec 2011 ;; Palm Cove ; 10.3 Years ;;;
; VH-VZW ;Boeing 737-838(WL); C12Y162 ; 27 Dec 2011 ;; Beaconsfield ; 10.2 Years ;;;
; VH-VZX ;Boeing 737-838(WL); C12Y162 ; 2 Feb 2012 ;; Daylesford ; 10.1 Years ;;;
; VH-VZY ;Boeing 737-838(WL); C12Y162 ; 1 Mar 2012 ;lsd ; Temora ; 10 Years ;;;
; VH-VZZ ;Boeing 737-838(WL); C12Y162 ; 25 Apr 2012 ;lsd ; Walpole ; 9.9 Years ;;;
; VH-XZA ;Boeing 737-838(WL); C12Y162 ; 22 Aug 2012 ;; Leeton ; 9.6 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; VH-XZB ;Boeing 737-838(WL); C12Y162 ; 22 Oct 2012 ;; Mudgee ; 9.5 Years ;;;
