;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; 5X-AAZ ;British Aerospace 146-300QT;; Due ; Stored ; 32.2 Years ;;
; EY-938 ;McDonnell Douglas DC-9-32;; Jan 2020 ;opby Waypoint Airways ; 42.7 Years ;;
