;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; ET-AXI ;Boeing 737-85R(WL); C16Y138 ; 31 Jul 2019 ;lsd, lst Asky Airlines ;; 13.1 Years ;;;
; ET-AXO ;Boeing 737-8AL(WL); C12Y156 ; 5 Jul 2019 ;lsd, opf Asky Airlines ;; 9.4 Years ;;;
; ET-AYL ;Boeing 737-804(SF)(WL); Cargo ; 23 Mar 2021 ;lsd ;; 19.9 Years ;;;
; ET-AYU ;Boeing 737-86J(WL);; 3 Feb 2022 ;lsd, lst Asky Airlines ;; 12.4 Years ;;;
; ET-ALJ ;Boeing 767-360ER(WL); C24Y211 ; 24 Nov 2003 ;opf United Nations ;; 18.3 Years ;;;
; ET-ALO ;Boeing 767-360ER(WL); C24Y211 ; 3 Jun 2004 ; Parked, Star Alliance cs ;; 17.8 Years ;;;
; ET-ALP ;Boeing 767-360ER(WL); C24Y208 ; 22 Jun 2005 ;;; 16.7 Years ;;;
; ET-ANN ;Boeing 777-260LR; C34Y287 ; 17 Nov 2010 ;; The Blue Nile ; 11.3 Years ;;;
; ET-ANO ;Boeing 777-260LR; C34Y287 ; 14 Dec 2010 ;; The Rift Valley ; 11.2 Years ;;;
; ET-ANP ;Boeing 777-260LR; C34Y287 ; 26 Jan 2011 ;; The Victoria Falls ; 11.1 Years ;;;
; ET-ANQ ;Boeing 777-260LR; C34Y287 ; 27 Apr 2011 ; Parked ; The Mount Kilimanjaro ; 10.9 Years ;;;
; ET-ANR ;Boeing 777-260LR; C34Y287 ; 20 Jul 2011 ; Parked ; The Sahara ; 10.6 Years ;;;
; ET-AQL ;Boeing 777-260LR; C34Y287 ; 2 Jul 2013 ; Parked ;; 8.7 Years ;;;
; ET-APX ;Boeing 777-36NER; C34Y365 ; 7 Nov 2013 ;lsd ;; 8.4 Years ;;;
; ET-APY ;Boeing 777-36NER; C34Y365 ; 24 Jan 2014 ;lsd ;; 8.2 Years ;;;
; ET-ASK ;Boeing 777-360ER; C34Y365 ; 15 May 2015 ;lsd ; Ras Dashen ; 6.9 Years ;;;
; ET-ASL ;Boeing 777-360ER; C34Y365 ; 25 Jun 2015 ; Parked, lsd ; Ngorongoro ; 6.7 Years ;;;
; ET-APS ;Boeing 777-F6N; Cargo ; 19 Sep 2012 ;lsd ; The Renaissance Dam ; 9.5 Years ;;;
; ET-APU ;Boeing 777-F6N; Cargo ; 31 Oct 2012 ;lsd ;; 9.4 Years ;;;
; ET-ARI ;Boeing 777-F60; Cargo ; 18 Nov 2014 ;;; 7.3 Years ;;;
; ET-ARJ ;Boeing 777-F60; Cargo ; 14 Sep 2015 ;; The Amazon ; 6.5 Years ;;;
; ET-ARK ;Boeing 777-F60; Cargo ; 22 Oct 2015 ;lsd ; Mandela ; 6.4 Years ;;;
; ET-AVN ;Boeing 777-F60; Cargo ; 30 Aug 2018 ;;; 3.5 Years ;;;
; ET-AVQ ;Boeing 777-F; Cargo ; 9 Nov 2018 ;;; 3.4 Years ;;;
; ET-AVT ;Boeing 777-F; Cargo ; 6 Dec 2018 ;;; 3.3 Years ;;;
; ET-AWE ;Boeing 777-F; Cargo ; 29 Mar 2019 ;;; 3 Years ;;;
; ET-AOO ;Boeing 787-8 Dreamliner; C24Y246 ; 30 Jul 2013 ;; Lake Tana ; 8.6 Years ;;;
