;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N5113A ;Boeing 737-83N(BCF)(WL); Cargo ; 17 Nov 2021 ;lsd, opf Amazon Prime Air ;; 19.8 Years ;;;
; N5147A ;Boeing 737-83N(BCF)(WL); Cargo ; 17 Nov 2021 ;lsd, opf Amazon Prime Air ;; 19.7 Years ;;;
; N5153A ;Boeing 737-83N(BCF)(WL); Cargo ; 17 Nov 2021 ;lsd, opf Amazon Prime Air ;; 19.6 Years ;;;
; N5167A ;Boeing 737-83N(BCF)(WL); Cargo ; 17 Nov 2021 ;lsd, opf Amazon Prime Air ;; 17.3 Years ;;;
; N5179A ;Boeing 737-83N(BCF)(WL); Cargo ; 17 Nov 2021 ;lsd, opf Amazon Prime Air ;; 19.6 Years ;;;
; N5227A ;Boeing 737-86N(BCF)(WL); Cargo ; 17 Nov 2021 ;lsd, opf Amazon Prime Air ;; 18 Years ;;;
; N5233A ;Boeing 737-84P(BCF)(WL); Cargo ; 17 Nov 2021 ;lsd, opf Amazon Prime Air ;; 15.9 Years ;;;
; N5237A ;Boeing 737-84P(BCF)(WL); Cargo ; 17 Nov 2021 ;lsd, opf Amazon Prime Air ;; 16.1 Years ;;;
; N249BA ;Boeing 747-409(LCF) Dreamlifter; Cargo ; Aug 2010 ;lsd, opf Boeing ;; 32.1 Years ;;;
; N263SG ;Boeing 747-481; F10C143Y36 ; 1 Apr 2010 ;; 263 ; 23 Years ;;;
; N322SG ;Boeing 747-481; F10C143Y36 ; 28 May 2010 ;; 322 ; 21.7 Years ;;;
; N404KZ ;Boeing 747-481F; Cargo ; 3 Aug 2017 ;; 404 ; 15 Years ;;;
; N405KZ ;Boeing 747-4KZF; Cargo ; 20 Feb 2019 ;; 405 ; 14.4 Years ;;;
; N406KZ ;Boeing 747-4KZF; Cargo ; 7 Nov 2018 ;; 406 ; 14.2 Years ;;;
; N407KZ ;Boeing 747-4KZF; Cargo ; 3 Nov 2016 ;; 407 ; 13.8 Years ;;;
; N408MC ;Boeing 747-47UF; Cargo ; 1 Apr 2013 ; Parked ; 408 ; 23.2 Years ;;;
; N409MC ;Boeing 747-47UF; Cargo ; Jan 2002 ;; 409 ; 22 Years ;;;
; N412MC ;Boeing 747-47UF; Cargo ; 25 Apr 2000 ;; 412 ; 21.9 Years ;;;
; N415MC ;Boeing 747-47UF; Cargo ; 28 Feb 2013 ; Parked ; 415 ; 19.9 Years ;;;
; N416MC ;Boeing 747-47UF; Cargo ; 28 Sep 2019 ;lsd ; 416 ; 19.8 Years ;;;
; N418MC ;Boeing 747-47UF; Cargo ; 6 Dec 2002 ;lsd ; 418 ; 19.3 Years ;;;
; N419MC ;Boeing 747-48EF; Cargo ; 8 May 2008 ;; 419 ; 25.2 Years ;;;
; N429MC ;Boeing 747-481(BCF); Cargo ; 11 Apr 2008 ;; 429 ; 31.5 Years ;;;
; N445MC ;Boeing 747-4B5ERF; Cargo ; 1 Sep 2017 ;; 445 ; 18.8 Years ;;;
; N446MC ;Boeing 747-4B5ERF; Cargo ; 13 Oct 2017 ;; 446 ; 18.1 Years ;;;
; N450PA ;Boeing 747-46NF; Cargo ; 14 Jun 2021 ;; 450 ; 21.4 Years ;;;
; N451PA ;Boeing 747-46NF; Cargo ; 1 Sep 2021 ;; 451 ; 21.3 Years ;;;
; N471MC ;Boeing 747-412(BCF); Cargo ; 31 Aug 2018 ;; 471 ; 25.1 Years ;;;
; N472MC ;Boeing 747-45E(BDSF); Cargo ; 5 Jan 2018 ;; 472 ; 29.4 Years ;;;
; N473MC ;Boeing 747-45E(BDSF); Cargo ; 8 Jun 2015 ;; 473 ; 28.3 Years ;;;
; N475MC ;Boeing 747-47UF; Cargo ; 21 Dec 2011 ;; 475 ; 23.6 Years ;;;
; N476MC ;Boeing 747-47UF; Cargo ; 10 Jan 2017 ;; 476 ; 22.9 Years ;;;
; N477MC ;Boeing 747-47UF; Cargo ; 8 Feb 2012 ;; 477 ; 23.4 Years ;;;
; N480MC ;Boeing 747-422; F10C52Y310 ; 31 Jul 2019 ; Parked ; 480 ; 23 Years ;;;
; N481MC ;Boeing 747-443;; 1 Dec 2020 ;; 481 ; 20.8 Years ;;;
; N482MC ;Boeing 747-443;; 22 Jan 2021 ;lsd ; 482 ; 20.7 Years ;;;
; N485MC ;Boeing 747-45EF; Cargo ; 15 Mar 2018 ;lsd ; 485 ; 21.6 Years ;;;
; N486MC ;Boeing 747-45EF; Cargo ; 22 Oct 2018 ;lsd ; 486 ; 20.7 Years ;;;
; N487MC ;Boeing 747-45EF; Cargo ; 30 Jun 2020 ;lsd ; 487 ; 19.7 Years ;;;
; N489MC ;Boeing 747-412F; Cargo ; 4 Jun 2018 ; Parked, lsd ; 489 ; 26.5 Years ;;;
; N492MC ;Boeing 747-47UF; Cargo ; 12 Aug 1998 ;; 492 ; 23.6 Years ;;;
; N493MC ;Boeing 747-47UF; Cargo ; 19 Oct 1998 ;; 493 ; 23.4 Years ;;;
; N496MC ;Boeing 747-47UF; Cargo ; Sep 2005 ; Parked ; 496 ; 22.8 Years ;;;
; N498MC ;Boeing 747-47UF; Cargo ; 7 Jan 2020 ;; 498 ; 22.5 Years ;;;
; N499MC ;Boeing 747-47UF; Cargo ; 17 Feb 2000 ;; 499 ; 22.1 Years ;;;
; N508KZ ;Boeing 747-4KZF; Cargo ; 26 Apr 2019 ;; 508 ; 13.6 Years ;;;
; N718BA ;Boeing 747-4H6(LCF) Dreamlifter; Cargo ; Aug 2010 ;lsd, opf Boeing ;; 29.6 Years ;;;
; N747BC ;Boeing 747-4J6(LCF) Dreamlifter; Cargo ; Aug 2010 ;lsd, opf Boeing ;; 30.1 Years ;;;
; N780BA ;Boeing 747-409(LCF) Dreamlifter; Cargo ; Aug 2010 ; Parked MZJ, lsd, opf Boeing ;; 32 Years ;;;
; N ;Boeing 747-443;; Due ; Stored, lsd ;; 21 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N850GT ;Boeing 747-87UF; Cargo ; 19 Apr 2020 ;; 850 ; 9.8 Years ;;;
; N854GT ;Boeing 747-87UF; Cargo ; 28 Mar 2013 ;; 854 ; 9.1 Years ;;;
; N856GT ;Boeing 747-87UF; Cargo ; 26 Mar 2017 ;; 856 ; 10.4 Years ;;;
; N859GT ;Boeing 747-867F; Cargo ; 5 Nov 2015 ;William J. Flynn - Chief Executive Officer 2006-2019 ; 859 ; 6.4 Years ;;;
; N1013A ;Boeing 767-36NER(BCF); Cargo ; 12 Feb 2018 ;opf Amazon Prime Air ; 013 ; 22.2 Years ;;;
; N1093A ;Boeing 767-36NER(BDSF); Cargo ; 30 Dec 2016 ;lsd, opf Amazon Prime Air ;; 22.2 Years ;;;
; N1181A ;Boeing 767-3Y0ER(BDSF); Cargo ; 31 Jan 2017 ;opf Amazon Prime Air ;; 28.9 Years ;;;
; N1229A ;Boeing 767-306ER(BDSF); Cargo ; 17 Oct 2016 ;opf Amazon Prime Air ;; 23.1 Years ;;;
; N1327A ;Boeing 767-37DER(BDSF); Cargo ; 15 Mar 2017 ; Parked, opf Amazon Prime Air ;; 25.3 Years ;;;
; N1361A ;Boeing 767-31BER(BCF)(WL); Cargo ; 12 Apr 2017 ; Parked, opf Amazon Prime Air ; 61A ; 27 Years ;;;
; N1373A ;Boeing 767-31KER(BDSF)(WL); Cargo ; 14 Feb 2017 ;opf Amazon Prime Air ;; 28.1 Years ;;;
; N1381A ;Boeing 767-316ER(BCF)(WL); Cargo ; 24 May 2017 ;opf Amazon Prime Air ;; 24.2 Years ;;;
; N1399A ;Boeing 767-306ER(BDSF); Cargo ; 28 Apr 2017 ;opf Amazon Prime Air ;; 25.9 Years ;;;
; N1409A ;Boeing 767-306ER(BCF); Cargo ; 3 Aug 2017 ;opf Amazon Prime Air ;; 25.5 Years ;;;
; N1427A ;Boeing 767-306ER(BCF); Cargo ; 13 Dec 2017 ;opf Amazon Prime Air ;; 26 Years ;;;
; N1487A ;Boeing 767-31KER(BDSF)(WL); Cargo ; 30 Nov 2017 ;opf Amazon Prime Air ; 487 ; 24.9 Years ;;;
; N1489A ;Boeing 767-31KER(BCF)(WL); Cargo ; 18 Jan 2018 ;opf Amazon Prime Air ;; 28 Years ;;;
; N1499A ;Boeing 767-328ER(BCF); Cargo ; 25 Jan 2018 ;opf Amazon Prime Air ; 499 ; 26.6 Years ;;;
; N1511A ;Boeing 767-383ER(BDSF); Cargo ; 9 Nov 2017 ;opf Amazon Prime Air ;; 33 Years ;;;
; N1619A ;Boeing 767-3Y0ER(BDSF); Cargo ; 28 Dec 2017 ;opf Amazon Prime Air ;; 28.7 Years ;;;
; N1709A ;Boeing 767-375ER(BDSF); Cargo ; 21 Feb 2017 ;opf Amazon Prime Air ;; 33.2 Years ;;;
; N1997A ;Boeing 767-33AER(BDSF); Cargo ; 2 Aug 2016 ;lsd, opf Amazon Prime Air ; 97A ; 27.7 Years ;;;
; N637GT ;Boeing 767-306ER(BCF); Cargo ; 16 Jun 2016 ;opf Amazon Prime Air ;; 26.6 Years ;;;
; N640GT ;Boeing 767-3S1ER; C6Y246 ; 22 Dec 2011 ; Parked ; 640 ; 30.6 Years ;;;
; N641GT ;Boeing 767-38EER; C6Y243 ; 30 Jun 2011 ; Parked ; 641 ; 30.1 Years ;;;
; N645GT ;Boeing 767-324ER(WL); C6Y240 ; 28 Aug 2015 ;; 645 ; 26.9 Years ;;;
; N649GT ;Boeing 767-375ER(WL); C30Y191 ; 25 May 2016 ;; 649 ; 29.9 Years ;;;
; N662GT ;Boeing 767-31AER; C6Y242 ; 2 Mar 2018 ;; 662 ; 26.4 Years ;;;
; N663GT ;Boeing 767-324ER(BCF)(WL); Cargo ; 28 Feb 2019 ;; 663 ; 26.5 Years ;;;
; N664GT ;Boeing 767-31BER(WL);; 31 Mar 2021 ;; 664 ; 28 Years ;;;
; N702GT ;Boeing 777-F16; Cargo ; 17 Nov 2021 ;lsd ; 702 ; 9.6 Years ;;;
; N703GT ;Boeing 777-F16; Cargo ; 17 Nov 2021 ;lsd ; 703 ; 9.4 Years ;;;
; N704GT ;Boeing 777-F1H; Cargo ; 17 Nov 2021 ; Parked, lsd ; 704 ; 13 Years ;;;
; N705GT ;Boeing 777-F; Cargo ; 17 Nov 2021 ;lsf DHL, opf DHL ; 705 ; 2.9 Years ;;;
; N706GT ;Boeing 777-F; Cargo ; 17 Nov 2021 ;lsf DHL, opf DHL ; 706 ; 2.7 Years ;;;
; N714SA ;Boeing 777-FZB; Cargo ; 17 Nov 2021 ;opf DHL ; 714 ; 10 Years ;;;
; N774SA ;Boeing 777-FZB; Cargo ; 17 Nov 2021 ;lsd, opf DHL ; 774 ; 12.1 Years ;;;
; N775SA ;Boeing 777-FZB; Cargo ; 17 Nov 2021 ;lsd, opf DHL ; 775 ; 12 Years ;;;
; N777SA ;Boeing 777-FZB; Cargo ; 17 Nov 2021 ;lsd, opf DHL ; 777 ; 9.9 Years ;;;
