;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; F-BVFP ;Handley Page HPR-7 Herald 214; Y50 ; 30 Sep 1981 ; 26 Oct 1983 ;TG-AZE Aerovías ;;;
; G-BCWE ;Handley Page HPR-7 Herald 206; Y48 ; Nov 1981 ; Jul 1982 ;G-BCWE British Air Ferries ;lsf British Air Ferries ;;
