;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; C-GHCP ;ATR 42-300(QC); Y42 or Cargo ; 1 Nov 2019 ;; 401 ; 33.1 Years ;;
; C-FIQR ;ATR 42-300(QC); Y42 or Cargo ; 1 Nov 2019 ;; 402 ; 33 Years ;;
; C-FIQU ;ATR 42-300(QC); Y42 or Cargo ; 1 Nov 2019 ;; 403 ; 32.9 Years ;;
; C-GSRR ;ATR 42-300(QC); Y42 or Cargo ; 1 Nov 2019 ;; 404 ; 33.1 Years ;;
; C-GUNO ;ATR 42-320; Y42 ; 1 Nov 2019 ;; 405 ; 33 Years ;;
; C-GULU ;ATR 42-320; Y42 ; 1 Nov 2019 ;; 406 ; 32.5 Years ;;
; C-GKLB ;ATR 42-300; Y42 ; 1 Nov 2019 ;; 407 ; 29.4 Years ;;
; C-FTIR ;ATR 42-500; Y42 ; 1 Nov 2019 ;; 451 ; 25.9 Years ;;
; C-FTID ;ATR 42-500; Y42 ; 1 Nov 2019 ;; 452 ; 25.3 Years ;;
; C-FTIZ ;ATR 42-500; Y42 ; 1 Nov 2019 ;; 453 ; 24.7 Years ;;
; C-FTIL ;ATR 42-500; Y42 ; 1 Nov 2019 ;; 454 ; 22.2 Years ;;
; C-FTIK ;ATR 42-500; Y42 ; 1 Nov 2019 ;; 455 ; 22.2 Years ;;
; C-FTIQ ;ATR 42-500; Y42 ; 1 Nov 2019 ;; 456 ; 21.4 Years ;;
; C-FFNF ;Boeing 737-406(C); Y72/Cargo ; 1 Nov 2019 ;; 541 ; 30.3 Years ;;
; C-FFNC ;Boeing 737-406(C); Y72/Cargo ; 1 Nov 2019 ;; 542 ; 28 Years ;;
; C-FFNE ;Boeing 737-406(C); Y72/Cargo ; 1 Nov 2019 ;; 543 ; 27.9 Years ;;
; C-FFNM ;Boeing 737-436; Y156 ; 1 Nov 2019 ;; 544 ; 30.2 Years ;;
; C-GDPA ;Boeing 737-2T2C(A); Y112/Combi ; 26 Nov 2001 ;; 584 ; 41.9 Years ;;
; C-GCNW ;Boeing 737-36Q(WL); Y136 ; 22 Nov 2010 ;lsd ; 590 ; 24.1 Years ;;
; C-GCNZ ;Boeing 737-36Q(WL); Y136 ; 13 Jul 2011 ;lsd ; 591 ; 24.4 Years ;;
; C-GCNU ;Boeing 737-36Q(WL); Y136 ; 16 Feb 2012 ;lsd ; 592 ; 24 Years ;;
; C-GCNK ;Boeing 737-36Q; Y136 ; 19 Jun 2012 ;lsd ; 593 ; 23.6 Years ;;
; C-GICN ;Boeing 737-36Q(WL); Y136 ; 4 Apr 2013 ;; 594 ; 23.7 Years ;;
; C-FGCN ;Boeing 737-36N(QC); Y136 / Cargo ; 10 Sep 2013 ;lsd ; 595 ; 23.1 Years ;;
; C-GZCN ;Boeing 737-36N(QC); Y136 / Cargo ; 7 Jan 2015 ;; 596 ; 22.9 Years ;;
; C-FKCN ;Boeing 737-36N; Y136 ; 13 Mar 2014 ;lsd ; 597 ; 23.7 Years ;;
; C-GCNO ;Boeing 737-36N; Y136 ; 17 Sep 2014 ;Canadian Football League cs ; 598 ; 22.8 Years ;;
; C-GPNL ;Boeing 737-36N; Y136 ; 7 Nov 2014 ;lsf World Star Aviation, Celebrity Cruises cs ; 599 ; 23.3 Years ;;
; C-FHBO ;Boeing 737-7CT(WL);; 12 May 2021 ;lsd ; 701 ; 17.1 Years ;;
; C-FHNI ;Boeing 737-7CT(WL);; 13 May 2021 ;lsd ; 702 ; 17 Years ;;
; C-FHNN ;Boeing 737-7CT(WL);; 24 Nov 2021 ;lsd ; 703 ; 14.3 Years ;;
