;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; HR-AWW ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 7 Jun 2011 ;; 28 Years ;;
; HR-MES ;Saab 340B+;; 29 Mar 2021 ;; 26.3 Years ;;
