;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N900FX ;ATR 42-320(F); Cargo ; 16 May 2003 ;lsf FedEx Express, opf FedEx Feeder ; 900 ; 32.2 Years ;;
; N901FX ;ATR 42-320(F); Cargo ; 16 May 2003 ;lsf FedEx Express, opf FedEx Feeder ; 901 ; 32.1 Years ;;
; N903FX ;ATR 42-320(F); Cargo ; 16 May 2003 ;opf FedEx Feeder ; 903 ; 32 Years ;;
; N911FX ;ATR 42-300(F); Cargo ; 4 Oct 2004 ;lsf FedEx Express, opf FedEx Feeder ; 911 ; 34.9 Years ;;
; N913FX ;ATR 42-300(F); Cargo ; 24 Mar 2005 ;lsf FedEx Express, opf FedEx Feeder ; 913 ; 30.5 Years ;;
; N914FX ;ATR 42-300(F); Cargo ; 10 Feb 2005 ;lsf FedEx Express, opf FedEx Feeder ; 914 ; 30 Years ;;
; N917FX ;ATR 42-300(F); Cargo ; 10 Feb 2005 ;lsf FedEx Express, opf FedEx Feeder ; 917 ; 29 Years ;;
; N919FX ;ATR 42-300(F); Cargo ; 4 Oct 2004 ;lsf FedEx Express, opf FedEx Feeder ; 919 ; 30.4 Years ;;
; N921FX ;ATR 42-300(F); Cargo ; 29 Oct 2004 ;lsf FedEx Express, opf FedEx Feeder ; 921 ; 29.5 Years ;;
; N701FE ;ATR 72-600F (72-212A); Cargo ; 1 Jun 2021 ;lsf FedEx Express, opf FedEx Feeder ; 701 ; 1 Years ;;
; N801FX ;ATR 72-212(F); Cargo ; 18 Aug 2010 ;lsf FedEx Express, opf FedEx Feeder ; 801 ; 29.3 Years ;;
; N803FX ;ATR 72-212(F); Cargo ; 18 Aug 2010 ;lsf FedEx Express, opf FedEx Feeder ; 803 ; 28.9 Years ;;
; N805FX ;ATR 72-212(F); Cargo ; 23 Aug 2010 ;lsf FedEx Express, opf FedEx Feeder ; 805 ; 28.6 Years ;;
; N807FX ;ATR 72-212(F); Cargo ; 19 Jul 2010 ;opf FedEx Feeder ; 807 ; 28.5 Years ;;
; N816FX ;ATR 72-212(F); Cargo ; 4 Oct 2005 ;opf FedEx Feeder ; 816 ; 29.1 Years ;;
; N819FX ;ATR 72-212(F); Cargo ; 11 Jan 2006 ;opf FedEx Feeder ; 819 ; 28.9 Years ;;
; N821FX ;ATR 72-212(F); Cargo ; 23 Feb 2007 ;opf FedEx Feeder ; 821 ; 30.5 Years ;;
