;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; OY-KBO ;Airbus A319-132; CY150 ; 8 Aug 2006 ; Parked, SAS Retro cs ; Christian Valdemar Viking ; 15.6 Years ;;;
; OY-KBP ;Airbus A319-132; CY150 ; 20 Sep 2006 ;; Viger Viking ; 15.5 Years ;;;
; OY-KBR ;Airbus A319-131; CY150 ; 20 Aug 2007 ;; Sten Viking ; 14.6 Years ;;;
; OY-KBT ;Airbus A319-131; CY150 ; 30 Oct 2007 ;lsd ; Ragnvald Viking ; 14.4 Years ;;;
; OY-KAL ;Airbus A320-232; CY168 ; 10 Dec 2012 ;lsd ; Jon Viking ; 15.5 Years ;;;
; OY-KAM ;Airbus A320-232; CY168 ; 15 Jan 2013 ;lsd ; Randver Viking ; 15.4 Years ;;;
; OY-KAN ;Airbus A320-232; CY168 ; 31 Jan 2013 ;lsd ; Refil Viking ; 15.3 Years ;;;
; OY-KAO ;Airbus A320-232; CY168 ; 28 Feb 2013 ; Parked, lsd ; Amled Viking ; 15.2 Years ;;;
; OY-KAP ;Airbus A320-232; CY168 ; 19 Apr 2013 ;lsd ; Viglek Viking ; 15 Years ;;;
; OY-KAR ;Airbus A320-232; CY168 ; 21 Jun 2013 ;lsd ; Vermund Viking ; 14.8 Years ;;;
; OY-KAS ;Airbus A320-232; CY168 ; 13 Dec 2013 ;lsd ; Igulfast Viking ; 14.3 Years ;;;
; OY-KAT ;Airbus A320-232; CY168 ; 30 Jul 2013 ; Parked MAD, lsd ; Hildegun Viking ; 14.7 Years ;;;
; OY-KAU ;Airbus A320-232; CY168 ; 17 Sep 2013 ; Parked MAD, lsd ; Hjorvard Viking ; 14.5 Years ;;;
; OY-KAW ;Airbus A320-232; CY168 ; 19 Sep 2013 ;; Tyke Viking ; 15.7 Years ;;;
; OY-KAY ;Airbus A320-232; CY168 ; 29 Oct 2013 ;; Runar Viking ; 15.6 Years ;;;
; EI-SIA ;Airbus A320-251N; CY180 ; 7 Oct 2021 ;lsd ; Ulv Viking ; 4.3 Years ;;;
; EI-SIB ;Airbus A320-251N; CY180 ; 20 Sep 2021 ;lsd ; Ellisiv Viking ; 4.2 Years ;;;
; EI-SIC ;Airbus A320-251N; CY180 ; 28 Oct 2021 ;lsd ; Sigurd Viking ; 4.2 Years ;;;
; EI-SID ;Airbus A320-251N; CY180 ; 17 Jan 2018 ;lsd ; Dotter Viking ; 4.2 Years ;;;
; EI-SIE ;Airbus A320-251N; CY180 ; 1 Feb 2018 ;lsd ; Gorm Viking ; 4.1 Years ;;;
; EI-SIF ;Airbus A320-251N; CY180 ; 12 Apr 2018 ;lsd ; Turgesius Viking ; 4 Years ;;;
; EI-SIG ;Airbus A320-251N; CY180 ; 26 Jul 2018 ;lsd ; Amlaib Viking ; 3.6 Years ;;;
; EI-SIH ;Airbus A320-251N; CY180 ; 27 Nov 2018 ;; Imar Viking ; 3.3 Years ;;;
; EI-SII ;Airbus A320-251N; CY180 ; 10 Dec 2018 ;; Auisle Viking ; 3.2 Years ;;;
; EI-SIJ ;Airbus A320-251N; CY180 ; 8 Feb 2022 ;; Siv Viking ; 0.1 Years ;;;
; EI-SIK ;Airbus A320-251N; CY180 ; On Order ;;;;;;
; EI-SIL ;Airbus A320-251N; CY180 ; On Order ;; Brun Viking ;;;;
; EI-SIM ;Airbus A320-251N; CY180 ; On Order ;;;;;;
; EI-SIN ;Airbus A320-251N; CY180 ; On Order ;;;;;;
; EI-SIO ;Airbus A320-251N; CY180 ; On Order ;;;;;;
; EI-SIP ;Airbus A320-251N; CY180 ; On Order ;;;;;;
; EI-SIR ;Airbus A320-251N; CY180 ; On Order ;;;;;;
; EI-SIS ;Airbus A320-251N; CY180 ; On Order ;;;;;;
; EI-SIT ;Airbus A320-251N; CY180 ; On Order ;;;;;;
; EI-SIU ;Airbus A320-251N; CY180 ; On Order ;;;;;;
; LN-RGL ;Airbus A320-251N; CY180 ; 20 Oct 2016 ;lsd ; Sol Viking ; 5.4 Years ;;;
; LN-RGM ;Airbus A320-251N; CY180 ; 7 Dec 2016 ;lsd ; Silje Viking ; 5.3 Years ;;;
; LN-RGN ;Airbus A320-251N; CY180 ; 30 Nov 2016 ;lsd ; Ulrik Viking ; 5.3 Years ;;;
; LN-RGO ;Airbus A320-251N; CY180 ; 14 Dec 2016 ;lsd ; Brage Viking ; 5.2 Years ;;;
; SE-DOX ;Airbus A320-251N; CY180 ; 2 Mar 2017 ;lsd ; Torarve Viking ; 5 Years ;;;
; SE-DOY ;Airbus A320-251N; CY180 ; 29 Mar 2017 ;lsd ; Markus Viking ; 4.9 Years ;;;
; SE-DOZ ;Airbus A320-251N; CY180 ; 2 May 2017 ;lsd ; Jarngerd Viking ; 4.9 Years ;;;
; SE-ROA ;Airbus A320-251N; CY180 ; 8 Aug 2017 ;lsd ; Åke Viking ; 4.7 Years ;;;
; SE-ROB ;Airbus A320-251N; CY180 ; 12 Jun 2017 ;lsd ; Tova Viking ; 4.7 Years ;;;
; SE-ROC ;Airbus A320-251N; CY180 ; 29 Jun 2017 ;lsd ; Torarin Viking ; 4.7 Years ;;;
; SE-ROD ;Airbus A320-251N; CY180 ; 26 Jul 2017 ;lsd ; Ingolf Viking ; 4.6 Years ;;;
; SE-ROE ;Airbus A320-251N; CY180 ; 10 Oct 2017 ;lsd ; Harald Viking ; 4.4 Years ;;;
; SE-ROF ;Airbus A320-251N; CY180 ; 27 Jun 2019 ;lsd ; Skallagrim Viking ; 2.7 Years ;;;
; SE-ROG ;Airbus A320-251N; CY180 ; 29 Nov 2019 ;lsd ; Åsta Viking ; 2.3 Years ;;;
; SE-ROH ;Airbus A320-251N; CY180 ; 12 Feb 2020 ;lsd ; Hallbera Viking ; 2.1 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
