;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N636QX ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 27 Sep 2018 ;; 636 ; 3.5 Years ;;;
; N637QX ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 17 Oct 2018 ;; 637 ; 3.4 Years ;;;
; N638QX ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 25 Oct 2018 ;; 638 ; 3.4 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N639QX ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 7 Nov 2018 ;; 639 ; 3.3 Years ;;;
; N641QX ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 13 Nov 2018 ;; 641 ; 3.3 Years ;;;
; N642QX ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 20 Nov 2018 ;; 642 ; 3.3 Years ;;;
; N643QX ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 26 Nov 2018 ;; 643 ; 3.3 Years ;;;
; N644QX ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 3 Dec 2018 ;; 644 ; 3.3 Years ;;;
; N645QX ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 6 Dec 2018 ;; 645 ; 3.3 Years ;;;
; N646QX ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 11 Dec 2018 ;; 646 ; 3.2 Years ;;;
; N647QX ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 19 Dec 2018 ;; 647 ; 3.2 Years ;;;
; N648QX ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 23 May 2019 ;; 648 ; 2.8 Years ;;;
; N649QX ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 5 Jun 2019 ;; 649 ; 2.9 Years ;;;
; N650QX ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 17 Jul 2019 ;; 650 ; 2.7 Years ;;;
; N651QX ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 7 Aug 2019 ;Honoring Those Who Serve cs ; 651 ; 2.6 Years ;;;
