;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; A6-BMD ;Boeing 787-10 Dreamliner; C32Y304 ; 21 Dec 2018 ;; 3.2 Years ;;;
; A6-BME ;Boeing 787-10 Dreamliner; C32Y304 ; 29 Jan 2019 ;; 3.1 Years ;;;
; A6-BMF ;Boeing 787-10 Dreamliner; C32Y304 ; 20 May 2019 ;; 2.8 Years ;;;
; A6-BMG ;Boeing 787-10 Dreamliner; C32Y304 ; 21 Nov 2019 ; Parked ; 2.3 Years ;;;
; A6-BMH ;Boeing 787-10 Dreamliner; C32Y304 ; 21 Jan 2020 ;Greenliner cs ; 2.1 Years ;;;
; A6-BMI ;Boeing 787-10 Dreamliner; C32Y304 ; 14 Oct 2020 ;"ecoDemonstrator" sticker ; 1.6 Years ;;;
; A6-BMJ ;Boeing 787-10 Dreamliner; C32Y304 ; On Order ;; 1.2 Years ;;;
; A6-BLA ;Boeing 787-9 Dreamliner; F8C28Y199 ; 31 Dec 2014 ;; 7.2 Years ;;;
; A6-BLB ;Boeing 787-9 Dreamliner; F8C28Y199 ; 26 Feb 2015 ;; 7.1 Years ;;;
; A6-BLC ;Boeing 787-9 Dreamliner; F8C28Y199 ; 27 Jul 2015 ;; 6.6 Years ;;;
; A6-BLD ;Boeing 787-9 Dreamliner; F8C28Y199 ; 5 Jun 2015 ;; 6.8 Years ;;;
; A6-BLE ;Boeing 787-9 Dreamliner; F8C28Y199 ; 30 Jun 2015 ;; 6.7 Years ;;;
; A6-BLF ;Boeing 787-9 Dreamliner; C28Y271 ; 26 Apr 2016 ;ADNOC - Choose China cs ; 5.9 Years ;;;
; A6-BLG ;Boeing 787-9 Dreamliner; C28Y271 ; 24 May 2016 ;; 5.8 Years ;;;
; A6-BLH ;Boeing 787-9 Dreamliner; C28Y271 ; 22 Jul 2016 ;ADNOC - Choose Italy cs ; 5.6 Years ;;;
; A6-BLI ;Boeing 787-9 Dreamliner; C28Y271 ; 28 Jul 2016 ;lsd ; 5.6 Years ;;;
; A6-BLJ ;Boeing 787-9 Dreamliner; C28Y271 ; 14 Oct 2016 ;; 5.4 Years ;;;
; A6-BLK ;Boeing 787-9 Dreamliner; C28Y271 ; 19 Jan 2017 ;lsd, ADNOC - Choose Japan cs ; 5.1 Years ;;;
; A6-BLL ;Boeing 787-9 Dreamliner; C28Y271 ; 21 Feb 2017 ;lsd ; 5 Years ;;;
; A6-BLM ;Boeing 787-9 Dreamliner; C28Y271 ; 18 May 2017 ;lsd ; 4.8 Years ;;;
; A6-BLN ;Boeing 787-9 Dreamliner; C28Y271 ; 13 Jun 2017 ;; 4.7 Years ;;;
; A6-BLO ;Boeing 787-9 Dreamliner; C28Y271 ; 14 Jul 2017 ;; 4.7 Years ;;;
; A6-BLP ;Boeing 787-9 Dreamliner; C28Y271 ; 20 Jul 2017 ;; 4.6 Years ;;;
; A6-BLQ ;Boeing 787-9 Dreamliner; C28Y271 ; 20 Sep 2017 ;; 4.5 Years ;;;
; A6-BLR ;Boeing 787-9 Dreamliner; C28Y271 ; 18 Oct 2017 ;lsd, ADNOC - Choose Singapore cs ; 4.4 Years ;;;
; A6-BLS ;Boeing 787-9 Dreamliner; C28Y271 ; 15 Dec 2017 ;lsd, ADNOC - Choose Japan cs ; 4.2 Years ;;;
; A6-BLT ;Boeing 787-9 Dreamliner; C28Y271 ; 24 Apr 2018 ;ADNOC - Choose Italy cs ; 3.9 Years ;;;
; A6-BLU ;Boeing 787-9 Dreamliner; C28Y271 ; 29 Aug 2018 ;; 3.5 Years ;;;
; A6-BLV ;Boeing 787-9 Dreamliner; C28Y271 ; 21 Nov 2018 ;lsd, Abu Dhabi Grand Prix cs ; 3.3 Years ;;;
; A6-BLW ;Boeing 787-9 Dreamliner; C28Y271 ; 31 Jan 2019 ;lsd ; 3.1 Years ;;;
; A6-BLX ;Boeing 787-9 Dreamliner; C28Y271 ; 11 Feb 2019 ;lsd ; 3.1 Years ;;;
; A6-BLY ;Boeing 787-9 Dreamliner; C28Y271 ; 15 Mar 2019 ; Parked ; 3 Years ;;;
; A6-BLZ ;Boeing 787-9 Dreamliner; C28Y271 ; 19 Jun 2019 ;; 2.7 Years ;;;
; A6-BNA ;Boeing 787-9 Dreamliner; C28Y271 ; 27 Jun 2019 ;; 2.7 Years ;;;
; A6-BNB ;Boeing 787-9 Dreamliner; C28Y271 ; 11 Jul 2019 ;; 2.7 Years ;;;
; A6-BNC ;Boeing 787-9 Dreamliner; C28Y271 ; 13 Sep 2019 ;; 2.5 Years ;;;
; A6-BND ;Boeing 787-9 Dreamliner; C28Y271 ; 16 Oct 2019 ;Manchester City F.C. cs ; 2.4 Years ;;;
