;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; EP-APF ;Airbus A320-231;; Nov 2014 ; Parked ;; 29.6 Years ;;
; EP-APG ;Airbus A320-231;; Apr 2015 ; Parked ;; 27.8 Years ;;
; EP-API ;Airbus A320-231; Y180 ; 30 Apr 2017 ; Parked ;; 27.9 Years ;;
; EP-APJ ;Airbus A320-231; Y180 ; 4 Sep 2017 ; Parked ;; 29.4 Years ;;
; EP-APA ;Airbus A340-311;; Jan 2012 ; Parked ; Persian Gulf ; 30.1 Years ;;
; EP-ATH ;ATR 72-212; Y70 ; 31 Oct 1993 ; Parked ;; 29.3 Years ;;
; EP-ATU ;ATR 72-500 (72-212A); Y70 ; 5 Dec 2009 ; Parked, lsf Zahra Ltd ; Esfahan ; 19.3 Years ;;
; EP-ATX ;ATR 72-500 (72-212A); Y70 ; 18 Dec 2007 ; Parked ;; 23.3 Years ;;
; EP-ATZ ;ATR 72-212; Y70 ; 22 Jan 1994 ; Parked ;; 28.2 Years ;;
; EP-APO ;Boeing 737-4H6;; 26 Sep 2015 ; Parked ;; 29.9 Years ;;
; EP-APP ;Boeing 737-4H6;; 26 Sep 2015 ; Parked ;; 29.6 Years ;;
; EP-APQ ;Boeing 737-4H6;; Jun 2020 ;;; 29.2 Years ;;
; EP-NSM ;Boeing 737-4Q8;; Mar 2018 ; Parked ; رودکی ; 30 Years ;;
; EP- ;Boeing 737-4H6;; Due ; Stored ;; 28.5 Years ;;
; EP- ;Boeing 737-4H6;; Due ; Stored ;; 29.2 Years ;;
; EP-ASI ;Fokker F100;; 28 Apr 2003 ;;; 27.5 Years ;;
; EP-ASQ ;Fokker F100;; Apr 2004 ; Parked ;; 27.9 Years ;;
; EP-AST ;Fokker F100; Y109 ; 28 Dec 2004 ;;; 27.1 Years ;;
; EP-ATC ;Fokker F100;; 28 Nov 2010 ;;; 31.5 Years ;;
; EP-ATE ;Fokker F100; Y109 ; 8 Sep 2010 ; Parked ;; 31.2 Years ;;
; EP-ATF ;Fokker F100; Y109 ; 21 Dec 2010 ;;; 28.4 Years ;;
; EP-ATG ;Fokker F100; Y109 ; 18 Jan 2011 ;;; 30.7 Years ;;
