;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; EP-ZAX ;Airbus A319-113;; Jun 2017 ;; 25.2 Years ;;
; EP-ZAJ ;Airbus A320-212;; 28 Dec 2013 ; Parked ; 29.1 Years ;;
; EP-ZAL ;Airbus A320-212;; 24 Oct 2014 ; Parked THR ; 29.1 Years ;;
; EP-ZAP ;Airbus A320-211;; 9 Nov 2016 ;; 30 Years ;;
; EP-ZAT ;Airbus A320-214;; 14 Aug 2015 ;Iran national football team cs ; 22.9 Years ;;
; EP-ZAU ;Airbus A320-211;; 17 Jul 2016 ; Parked ; 28.9 Years ;;
; EP-ZAV ;Airbus A320-212;; 16 Dec 2015 ;; 29.2 Years ;;
; EP-ZGC ;Airbus A320-212;; Sep 2017 ; Parked THR ; 23.2 Years ;;
; EP-ZGA ;Airbus A321-231;; Apr 2017 ; Parked THR ; 18.8 Years ;;
; EP-ZAA ;McDonnell Douglas MD-82 (DC-9-82); Y157 ; Oct 2012 ;; 34.4 Years ;;
; EP-ZAD ;McDonnell Douglas MD-82 (DC-9-82);; Mar 2012 ; Parked ; 36.4 Years ;;
; EP-ZAE ;McDonnell Douglas MD-82 (DC-9-82);; 3 Jul 2012 ;lsf Khors Aircompany ; 30.4 Years ;;
; EP-ZAF ;McDonnell Douglas MD-82 (DC-9-82); Y165 ; Jul 2012 ;; 30.2 Years ;;
; EP-ZAG ;McDonnell Douglas MD-82 (DC-9-82);; Aug 2011 ;; 36.1 Years ;;
; EP-ZAM ;McDonnell Douglas MD-82 (DC-9-82);; 16 Jul 2012 ;; 35.5 Years ;;
; EP-ZAC ;McDonnell Douglas MD-83 (DC-9-83);; Feb 2012 ;; 30.6 Years ;;
; EP-ZAK ;McDonnell Douglas MD-83 (DC-9-83);; 2014 ; Parked THR ; 33 Years ;;
; EP-ZAQ ;McDonnell Douglas MD-83 (DC-9-83);; 11 Nov 2011 ;; 33.2 Years ;;
