;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; C-FNAN ;ATR 72-500 (72-212A);; 24 Sep 2021 ;lsd ;; 10.2 Years ;;
; C-FNIJ ;ATR 72-500(F) (72-212A); Cargo ; 14 Apr 2020 ;; Kiera ; 13.9 Years ;;
; C-FNSJ ;ATR 72-500(F) (72-212A); Cargo ; 23 Nov 2017 ;; Kiera ; 11.8 Years ;;
; C-FNSN ;ATR 72-500(F) (72-212A); Cargo ; 24 Jan 2018 ;;; 12 Years ;;
