;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; CC-CXD ;Boeing 767-316ER(BCF)(WL); Cargo ; 18 Dec 2021 ;; 13.8 Years ;;
; N418LA ;Boeing 767-316F(WL); Cargo ; 5 May 2016 ;; 16.3 Years ;;
; N532LA ;Boeing 767-316F(WL); Cargo ; 15 Aug 2017 ;; 21.5 Years ;;
; N536LA ;Boeing 767-316F(WL); Cargo ; 13 Mar 2018 ;; 20.4 Years ;;
; N538LA ;Boeing 767-316ER(BCF)(WL); Cargo ; 29 Jan 2020 ;opby 21 Air ; 15.6 Years ;;
; N540LA ;Boeing 767-316ER(BCF)(WL); Cargo ; 29 Jan 2020 ;opby 21 Air ; 15.3 Years ;;
; N542LA ;Boeing 767-316ER(BCF)(WL); Cargo ; 29 Jan 2020 ;opby 21 Air ; 15.7 Years ;;
