;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N928LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 31 Jan 2005 ;lsd, opf American Eagle ; 928 ; 17.1 Years ;;;
; N929LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 22 Feb 2005 ; Parked, lsd, opf American Eagle ; 929 ; 17.1 Years ;;;
; N930LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 11 Mar 2005 ;lsd, opf American Eagle ; 930 ; 17 Years ;;;
; N931LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 30 Mar 2005 ;lsd, opf American Eagle ; 931 ; 17 Years ;;;
; N932LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 6 Apr 2005 ; Parked, lsd, opf American Eagle ; 932 ; 17 Years ;;;
; N933LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 19 Apr 2005 ;lsd, opf American Eagle ; 933 ; 17 Years ;;;
; N934FJ ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 26 Apr 2005 ;lsd, opf American Eagle ; 934 ; 16.9 Years ;;;
; N935LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 29 Apr 2005 ;lsd, opf American Eagle ; 935 ; 16.9 Years ;;;
; N938LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 9 Jun 2005 ;lsd, opf American Eagle ; 938 ; 16.8 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N939LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 28 Jul 2005 ; Parked ; 939 ; 16.7 Years ;;;
; N942LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 30 Jul 2005 ; Parked ; 942 ; 16.7 Years ;;;
; N943LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y67 ; 16 May 2014 ;opf American Eagle ; CYL ; 15.8 Years ;;;
; N944LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y67 ; 5 Jun 2014 ; Parked ; CYM ; 15.7 Years ;;;
; N945LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y67 ; 7 May 2014 ; Parked, opf American Eagle ; CYJ ; 15.7 Years ;;;
; N946LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y67 ; 27 May 2014 ; Parked, opf American Eagle ; CYK ; 15.4 Years ;;;
; N947LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y67 ; 18 Jun 2014 ;opf American Eagle ; CYN ; 15.1 Years ;;;
; N948LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y67 ; 3 Jul 2014 ;opf American Eagle ; CYO ; 15 Years ;;;
; N950LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y67 ; 26 Jun 2014 ; Parked, opf American Eagle ; CYP ; 14.9 Years ;;;
; N951LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y67 ; 16 Jul 2014 ; Parked, opf American Eagle ; CYQ ; 14.9 Years ;;;
; N952LR ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 29 Jun 2015 ;opf American Eagle ; M52 ; 6.7 Years ;;;
; N953LR ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 16 Jul 2015 ;opf American Eagle ; M53 ; 6.7 Years ;;;
; N954LR ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 10 Sep 2015 ;opf American Eagle ; M54 ; 6.5 Years ;;;
; N955LR ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 19 Aug 2015 ;opf American Eagle ; M53 ; 6.6 Years ;;;
; N956LR ;Bombardier CRJ-900ER (CL-600-2D24); C9Y70 ; 25 Oct 2005 ; Parked ; 956 ; 16.4 Years ;;;
; N957LR ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 26 Aug 2015 ;opf American Eagle ; M57 ; 6.5 Years ;;;
; N958LR ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 27 Aug 2015 ;opf American Eagle ; M58 ; 6.5 Years ;;;
; N959LR ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 23 Sep 2015 ;opf American Eagle ; M59 ; 6.5 Years ;;;
; N78361 ;Embraer ERJ-175LL (ERJ-170-200 LL); C12Y58 ; 2 Oct 2020 ;lsf United Airlines, opf United Express ; 361 ; 1.7 Years ;;;
; N80343 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 6 Jul 2016 ;opf United Express ; 343 ; 5.7 Years ;;;
; N80348 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 28 Sep 2016 ; Parked, opf United Express ; 348 ; 5.5 Years ;;;
; N82314 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 20 Nov 2014 ;opf United Express ; 314 ; 7.3 Years ;;;
; N82333 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 21 Dec 2015 ;opf United Express ; 333 ; 6.2 Years ;;;
; N82338 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 May 2016 ;opf United Express ; 338 ; 5.9 Years ;;;
; N82366 ;Embraer ERJ-175LL (ERJ-170-200 LL); C12Y58 ; 15 Oct 2020 ;lsf United Airlines, opf United Express ; 366 ; 1.6 Years ;;;
; N83329 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 25 Jun 2015 ;opf United Express ; 329 ; 6.7 Years ;;;
; N84307 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 8 Sep 2014 ; Parked, opf United Express ; 307 ; 7.6 Years ;;;
; N84378 ;Embraer ERJ-175LL (ERJ-170-200 LL); C12Y58 ; 5 May 2021 ;lsf United Airlines, opf United Express ; 378 ; 0.9 Years ;;;
; N85320 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 26 Feb 2015 ;opf United Express ; 320 ; 7.1 Years ;;;
; N85323 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Apr 2015 ;opf United Express ; 323 ; 7 Years ;;;
; N85340 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 20 May 2016 ;opf United Express ; 340 ; 5.8 Years ;;;
; N85351 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 28 Jun 2017 ;opf United Express ; 351 ; 4.7 Years ;;;
; N85352 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 28 Jun 2017 ;opf United Express ; 352 ; 4.7 Years ;;;
; N85354 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 30 Aug 2017 ;opf United Express ; 354 ; 4.5 Years ;;;
; N85355 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 27 Sep 2017 ;opf United Express ; 355 ; 4.5 Years ;;;
; N85356 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 4 Oct 2017 ;opf United Express ; 356 ; 4.5 Years ;;;
; N85358 ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 8 Nov 2017 ;lsf United Airlines, opf United Express ; 358 ; 4.4 Years ;;;
; N85363 ;Embraer ERJ-175LL (ERJ-170-200 LL); C12Y58 ; 2 Oct 2020 ;lsf United Airlines, opf United Express ; 363 ; 1.6 Years ;;;
; N85369 ;Embraer ERJ-175LL (ERJ-170-200 LL); C12Y58 ; 15 Oct 2020 ;lsf United Airlines, opf United Express ; 369 ; 1.5 Years ;;;
; N85370 ;Embraer ERJ-175LL (ERJ-170-200 LL); C12Y58 ; 16 Oct 2020 ;lsf United Airlines, opf United Express ; 370 ; 1.5 Years ;;;
; N85373 ;Embraer ERJ-175LL (ERJ-170-200 LL); C12Y58 ; 10 Dec 2020 ;lsf United Airlines, opf United Express ; 373 ; 1.4 Years ;;;
; N85374 ;Embraer ERJ-175LL (ERJ-170-200 LL); C12Y58 ; 10 Dec 2020 ;lsf United Airlines, opf United Express ; 374 ; 1.3 Years ;;;
; N85376 ;Embraer ERJ-175LL (ERJ-170-200 LL); C12Y58 ; 10 Dec 2020 ;lsf United Airlines, opf United Express ; 376 ; 1.3 Years ;;;
; N85377 ;Embraer ERJ-175LL (ERJ-170-200 LL); C12Y58 ; 14 Apr 2021 ;lsf United Airlines, opf United Express ; 377 ; 1 Years ;;;
