;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; OE-LBI ;Airbus A320-214; CY174 ; 10 Sep 2012 ;lsd ; Marchfeld ; 19.1 Years ;;;
; OE-LBJ ;Airbus A320-214; CY174 ; 11 Dec 2012 ;lsd ; Hohe Tauern ; 20.6 Years ;;;
; OE-LBK ;Airbus A320-214; CY174 ; 31 Jan 2013 ;lsd ; Steirisches Thermenland ; 19.1 Years ;;;
; OE-LBL ;Airbus A320-214; CY174 ; 28 Feb 2013 ; Parked, lsd ; Ausseerland ; 18.9 Years ;;;
; OE-LBM ;Airbus A320-214; CY174 ; 8 Mar 2013 ;lsd ; Arlberg ; 20.8 Years ;;;
; OE-LBN ;Airbus A320-214; CY174 ; 28 Jan 1998 ;; Osttirol ; 24.2 Years ;;;
; OE-LBO ;Airbus A320-214; CY174 ; 16 Feb 1998 ; Parked, 1980s Retro cs ; Pyhrn-Eisenwurzen ; 24.2 Years ;;;
; OE-LBP ;Airbus A320-214; CY174 ; 31 Mar 1998 ;; Neusiedlersee ; 24 Years ;;;
; OE-LBQ ;Airbus A320-214; CY174 ; 31 Aug 2008 ;; Wienerwald ; 22.3 Years ;;;
; OE-LBR ;Airbus A320-214; CY174 ; 2 Oct 2008 ; Parked BTS ; Bregenzer Wald ; 22.2 Years ;;;
; OE-LBS ;Airbus A320-214; CY174 ; 31 Mar 2000 ; Parked ; Waldviertel ; 22 Years ;;;
; OE-LBT ;Airbus A320-214; CY174 ; 26 Feb 2001 ; Parked BTS ; Wörthersee ; 21.2 Years ;;;
; OE-LBU ;Airbus A320-214; CY174 ; 1 Jun 2001 ;; Mühlviertel ; 20.9 Years ;;;
; OE-LBV ;Airbus A320-214; CY174 ; 25 Feb 2011 ;lsd ; Weinviertel ; 21.2 Years ;;;
; OE-LBW ;Airbus A320-214; CY174 ; 11 Jul 2012 ;lsd ; Innviertel ; 20.2 Years ;;;
; OE-LBX ;Airbus A320-214; CY174 ; 11 Jul 2012 ; Parked, lsd ; Mostviertel ; 20 Years ;;;
; OE-LBY ;Airbus A320-214; CY174 ; 11 Oct 2016 ;; Carnuntum ; 9.9 Years ;;;
; OE-LBZ ;Airbus A320-214; CY174 ; 28 Oct 2016 ;Star Alliance cs ; Obertauern ; 9.7 Years ;;;
; OE-LXA ;Airbus A320-216; CY180 ; 2 Nov 2017 ;;; 14.4 Years ;;;
; OE-LXB ;Airbus A320-216; CY180 ; 29 Nov 2017 ;;; 13.9 Years ;;;
; OE-LXC ;Airbus A320-216; CY180 ; 2 Oct 2017 ;;; 13.8 Years ;;;
; OE-LXD ;Airbus A320-216; CY180 ; 16 Nov 2017 ;;; 13.8 Years ;;;
; OE-LXE ;Airbus A320-216; CY180 ; 19 Oct 2017 ;;; 13.7 Years ;;;
; OE-LZA ;Airbus A320-214; CY180 ; 20 Jan 2020 ;lsd ;; 14.5 Years ;;;
; OE-LZB ;Airbus A320-214; CY180 ; 11 Feb 2020 ;lsd ;; 14.4 Years ;;;
; OE-LZC ;Airbus A320-214; CY180 ; 16 Jan 2020 ;lsd ;; 9.5 Years ;;;
; OE-LZD ;Airbus A320-214; CY180 ; 24 Sep 2019 ; Parked, lsd ;; 9.4 Years ;;;
; OE-LZE ;Airbus A320-214(WL); CY180 ; 5 Jun 2020 ;lsd ;; 8.5 Years ;;;
; OE-LZF ;Airbus A320-214(WL); CY180 ; 17 Oct 2019 ;lsd ;; 8.4 Years ;;;
; OE-LZN ;Airbus A320-271N;; On Order ;;;;;;
; OE-LZO ;Airbus A320-271N;; On Order ;;;;;;
; OE-LBA ;Airbus A321-111; CY200 ; 20 Dec 1995 ;; Salzkammergut ; 26.3 Years ;;;
