;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; VH-VFD ;Airbus A320-232; Y180 ; 5 Dec 2011 ; Parked ; 10.3 Years ;;;
; VH-VFF ;Airbus A320-232; Y180 ; 8 Mar 2012 ;; 10 Years ;;;
; VH-VFH ;Airbus A320-232; Y180 ; 18 Jul 2012 ;; 9.7 Years ;;;
; VH-VFI ;Airbus A320-232; Y180 ; 17 Sep 2012 ; Parked, lsd ; 9.5 Years ;;;
; VH-VFJ ;Airbus A320-232; Y180 ; 9 Oct 2012 ;lsd ; 9.4 Years ;;;
; VH-VFK ;Airbus A320-232; Y180 ; 14 Nov 2012 ;lsd ; 9.3 Years ;;;
; VH-VFL ;Airbus A320-232(WL); Y180 ; 15 Feb 2013 ;lsd ; 9.1 Years ;;;
; VH-VFN ;Airbus A320-232(WL); Y180 ; 4 Apr 2013 ;lsd ; 9 Years ;;;
; VH-VFO ;Airbus A320-232(WL); Y180 ; 6 Jun 2013 ;lsd ; 8.8 Years ;;;
; VH-VFP ;Airbus A320-232(WL); Y180 ; 13 Sep 2013 ; Parked ; 8.5 Years ;;;
; VH-VFQ ;Airbus A320-232(WL); Y180 ; 19 Sep 2013 ;; 8.5 Years ;;;
; VH-VFT ;Airbus A320-232(WL); Y180 ; 11 Oct 2013 ;lsd ; 9 Years ;;;
; VH-VFU ;Airbus A320-232(WL); Y180 ; 26 Oct 2013 ;; 8.4 Years ;;;
; VH-VFV ;Airbus A320-232(WL); Y180 ; 21 Nov 2013 ;; 8.3 Years ;;;
; VH-VFX ;Airbus A320-232(WL); Y180 ; 29 Nov 2013 ;; 8.3 Years ;;;
; VH-VFY ;Airbus A320-232(WL); Y180 ; 3 Dec 2014 ;lsd ; 7.3 Years ;;;
; VH-VGA ;Airbus A320-232; Y180 ; 18 Nov 2011 ;; 10.3 Years ;;;
; VH-VGD ;Airbus A320-232; Y180 ; 18 Dec 2010 ;; 11.2 Years ;;;
