;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; TN-AEE ;Boeing 737-2Q5C(A);; 1 May 1998 ; 14 Jun 1998 ; Scrapped ;;;
; TN-AGR ;Boeing 737-217;; Jan 2001 ; 5 Mar 2003 ;N780TJ Tyler Jet LLC ;lsd ;;
; 9Q-CWF ;McDonnell Douglas DC-9-32;; 2003 ; 15 Nov 2003 ;9Q-CWF Wetrafa Airlift ;opby Wetrafa Airlift ;;
; ZS-MRJ ;McDonnell Douglas DC-9-32;; 15 Oct 2004 ; Apr 2005 ;ZS-MRJ Executive Aero Space ;lsf Executive Aero Space ;;
