;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; 5Y-FAH ;Airbus A320-211;; 19 Jan 2022 ; Parked ; 29.7 Years ;;
; 5Y-FAN ;Bombardier CRJ-200LR (CL-600-2B19);; 26 May 2015 ;; 25.9 Years ;;
; 5Y-CHM ;Fokker F50; Y46 ; 2018 ;lsf Rudufu ; 29.9 Years ;;
; 5Y-FAI ;Fokker F50-120; Y50 ; 5 Aug 2017 ;; 28.9 Years ;;
