;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;
; C-FBAQ ;Lockheed L-188A(F) Electra; Tanker ; 3 Jul 2007 ;; 417 ; In Memory of Arnie Schreder ; 63 Years ;;
; C-FIJX ;Lockheed L-188C(PF) Electra; Tanker ; 5 Aug 2010 ;; 416 ; In Memory of Mr Forbes ; 62.2 Years ;;
; C-GXFC ;Lockheed L-188A(F) Electra; Cargo ; 14 May 2013 ;;;; 62.4 Years ;;
; C-GZFE ;Lockheed L-188C(F) Electra; Cargo ; 30 Apr 2013 ;;;; 60.7 Years ;;
