;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; OM-JGN ;Airbus A320-232;; Due ; Stored, lsd ; 13.5 Years ;;
; OM-JGO ;Airbus A320-233;; 20 May 2021 ; Parked, lsd ; 16.9 Years ;;
; OM-JGP ;Airbus A321-231;; Due ; Stored, lsd ; 20.3 Years ;;
