;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; CC-BCD ;Airbus A319-112; Y144 ; 5 May 2016 ;; 10.4 Years ;;;
; CC-BCE ;Airbus A319-112; Y144 ; 5 May 2016 ;; 10.1 Years ;;;
; CC-BCF ;Airbus A319-112; Y144 ; 5 May 2016 ;; 9.9 Years ;;;
; CC-COU ;Airbus A319-132; Y144 ; 5 May 2016 ;lsd ; 18.3 Years ;;;
; CC-COX ;Airbus A319-132; Y144 ; 5 May 2016 ;lsd ; 18.3 Years ;;;
; CC-COY ;Airbus A319-132; Y144 ; 5 May 2016 ;; 17.5 Years ;;;
; CC-COZ ;Airbus A319-132; Y144 ; 5 May 2016 ;lsd ; 17.5 Years ;;;
; CC-CPE ;Airbus A319-132; Y144 ; 5 May 2016 ; Parked, lsd ; 17.3 Years ;;;
; CC-CPJ ;Airbus A319-132; Y144 ; 5 May 2016 ;; 15.6 Years ;;;
; CC-CPL ;Airbus A319-132; Y144 ; 5 May 2016 ;; 15.6 Years ;;;
; CC-CPM ;Airbus A319-132; Y144 ; 5 May 2016 ;; 15.5 Years ;;;
; CC-CPO ;Airbus A319-132; Y144 ; 5 May 2016 ;"Aerolínea Oficial de Blanquirroja" sticker ; 15.5 Years ;;;
; CC-CPQ ;Airbus A319-132; Y144 ; 5 May 2016 ;; 15.5 Years ;;;
; CC-CQK ;Airbus A319-132; Y144 ; 5 May 2016 ;"Impulsando Los Futuros Atletas de Nuestra Región!" sticker ; 15.4 Years ;;;
; CC-CQL ;Airbus A319-132; Y144 ; 5 May 2016 ;; 15.4 Years ;;;
; CC-CYI ;Airbus A319-132; Y144 ; 19 Dec 2018 ;; 13.1 Years ;;;
; CC-CYJ ;Airbus A319-132; Y144 ; 5 May 2016 ;; 13.1 Years ;;;
; CC-CYL ;Airbus A319-132; Y144 ; 5 May 2016 ; Parked ; 13.1 Years ;;;
; CC-BAA ;Airbus A320-233; Y180 ; 5 May 2016 ;; 11.6 Years ;;;
; CC-BAB ;Airbus A320-233; Y168 ; 5 May 2016 ;; 11.6 Years ;;;
; CC-BAC ;Airbus A320-233; Y180 ; 5 May 2016 ;; 11.5 Years ;;;
; CC-BAD ;Airbus A320-233; Y180 ; 5 May 2016 ;; 11.4 Years ;;;
; CC-BAE ;Airbus A320-232; Y180 ; 5 May 2016 ;; 11.3 Years ;;;
; CC-BAF ;Airbus A320-232; Y180 ; 5 May 2016 ;; 11.3 Years ;;;
; CC-BAG ;Airbus A320-232; Y180 ; 5 May 2016 ;; 11.2 Years ;;;
; CC-BAH ;Airbus A320-232; Y180 ; 5 May 2016 ;; 11.2 Years ;;;
; CC-BAI ;Airbus A320-233; Y168 ; Oct 2021 ;lsd ; 11.2 Years ;;;
; CC-BAJ ;Airbus A320-232; Y180 ; 5 May 2016 ;; 11.1 Years ;;;
; CC-BAK ;Airbus A320-232; Y180 ; 5 May 2016 ;; 11.1 Years ;;;
; CC-BAL ;Airbus A320-232; Y180 ; 5 May 2016 ;; 10.9 Years ;;;
; CC-BAM ;Airbus A320-232; Y180 ; 5 May 2016 ;; 10.8 Years ;;;
; CC-BAQ ;Airbus A320-214; Y174 ; 5 May 2016 ;lsd ; 10.5 Years ;;;
; CC-BAR ;Airbus A320-214; Y174 ; 5 May 2016 ;; 10.4 Years ;;;
; CC-BAS ;Airbus A320-214; Y174 ; 5 May 2016 ;; 10.3 Years ;;;
; CC-BAT ;Airbus A320-214; Y180 ; 5 May 2016 ;; 10.3 Years ;;;
; CC-BAU ;Airbus A320-214; Y180 ; 5 May 2016 ;; 10.3 Years ;;;
; CC-BAV ;Airbus A320-214; Y180 ; 5 May 2016 ;; 10.2 Years ;;;
; CC-BAW ;Airbus A320-214; Y174 ; 5 May 2016 ; Parked, lsd ; 9.9 Years ;;;
; CC-BAX ;Airbus A320-214; Y180 ; 5 May 2016 ;lsd ; 9.8 Years ;;;
; CC-BAY ;Airbus A320-214; Y180 ; 5 May 2016 ;lsd ; 9.7 Years ;;;
; CC-BAZ ;Airbus A320-214; Y180 ; 5 May 2016 ;; 9.6 Years ;;;
; CC-BFA ;Airbus A320-214; Y180 ; 5 May 2016 ;lsd ; 9.5 Years ;;;
; CC-BFB ;Airbus A320-214; Y180 ; 5 May 2016 ;; 9.6 Years ;;;
; CC-BFC ;Airbus A320-214; Y180 ; 5 May 2016 ;; 9.4 Years ;;;
; CC-BFD ;Airbus A320-214; Y180 ; 5 May 2016 ;; 9.4 Years ;;;
; CC-BFE ;Airbus A320-214; Y174 ; 5 May 2016 ;; 9.3 Years ;;;
; CC-BFF ;Airbus A320-214(WL); Y180 ; 5 May 2016 ;; 9.3 Years ;;;
; CC-BFG ;Airbus A320-214(WL); Y180 ; 5 May 2016 ;; 9.1 Years ;;;
; CC-BFH ;Airbus A320-214(WL); Y180 ; 5 May 2016 ;; 9.1 Years ;;;
; CC-BFI ;Airbus A320-214(WL); Y180 ; 5 May 2016 ;; 9 Years ;;;
; CC-BFJ ;Airbus A320-214(WL); Y180 ; 5 May 2016 ;; 9 Years ;;;
; CC-BFK ;Airbus A320-214(WL); Y180 ; 5 May 2016 ;; 8.9 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; CC-BFL ;Airbus A320-214(WL); Y180 ; 5 May 2016 ;"Avión Solidario" sticker ; 8.9 Years ;;;
; CC-BFM ;Airbus A320-214(WL); Y174 ; 5 May 2016 ;; 8.8 Years ;;;
; CC-BFN ;Airbus A320-214(WL); Y180 ; 5 May 2016 ;; 8.9 Years ;;;
; CC-BFO ;Airbus A320-214(WL); Y180 ; 5 May 2016 ;; 8.7 Years ;;;
; CC-BFP ;Airbus A320-214(WL); Y174 ; 5 May 2016 ;; 8.6 Years ;;;
; CC-BFQ ;Airbus A320-214(WL); Y174 ; 5 May 2016 ;; 8.5 Years ;;;
; CC-BFR ;Airbus A320-214(WL); Y174 ; 5 May 2016 ;lsd ; 8.4 Years ;;;
; CC-BFS ;Airbus A320-214(WL); Y180 ; 5 May 2016 ;lsd ; 8.4 Years ;;;
; CC-BFT ;Airbus A320-214(WL); Y180 ; 5 May 2016 ;lsd ; 8.3 Years ;;;
; CC-BFU ;Airbus A320-214(WL); Y180 ; 5 May 2016 ;lsd ; 8.1 Years ;;;
; CC-BFV ;Airbus A320-214(WL); Y180 ; 5 May 2016 ;lsd ; 8.1 Years ;;;
; CC-BFW ;Airbus A320-214(WL); Y174 ; 5 May 2016 ;lsd ; 7.8 Years ;;;
; CC-BFX ;Airbus A320-214(WL); Y174 ; 5 May 2016 ;lsf SMBC ; 7.7 Years ;;;
; CC-BJD ;Airbus A320-214(WL); Y174 ; 5 May 2016 ;; 8.5 Years ;;;
; CC-BJE ;Airbus A320-214(WL); Y174 ; 5 May 2016 ;; 8.8 Years ;;;
; CC-BJF ;Airbus A320-214(WL); Y180 ; 5 May 2016 ;; 8.7 Years ;;;
; CC-BLA ;Airbus A320-233;; Apr 2021 ;; 21.5 Years ;;;
; CC-BLB ;Airbus A320-233;; Aug 2021 ;; 19.3 Years ;;;
; CC-BLE ;Airbus A320-214(WL); Y174 ; Apr 2021 ;; 8.3 Years ;;;
; CC-COD ;Airbus A320-233; Y168 ; Mar 2021 ;; 21.4 Years ;;;
; CC-COE ;Airbus A320-233;; May 2021 ; Parked ; 21.3 Years ;;;
; CC-COF ;Airbus A320-233; Y168 ; Aug 2021 ;; 21.3 Years ;;;
; CC-COG ;Airbus A320-233; Y168 ; 2021 ;; 20.8 Years ;;;
; CC-COH ;Airbus A320-233; Y168 ; Apr 2021 ;; 20.7 Years ;;;
; CC-COI ;Airbus A320-233; Y168 ; Aug 2021 ;; 20.7 Years ;;;
; CC-COK ;Airbus A320-233;; 7 Jul 2018 ;; 20.6 Years ;;;
; CC-COL ;Airbus A320-233;; May 2018 ;; 20.5 Years ;;;
; CC-COO ;Airbus A320-233;; Jul 2018 ;; 19.6 Years ;;;
; CC-COP ;Airbus A320-233;; Sep 2021 ;; 19.5 Years ;;;
; CC-COQ ;Airbus A320-233; Y168 ; Jul 2021 ;; 19.4 Years ;;;
; CC-CQM ;Airbus A320-233;; 5 May 2016 ;; 14.4 Years ;;;
; CC-CQN ;Airbus A320-233; Y174 ; Apr 2021 ;; 14.3 Years ;;;
; CC-CQO ;Airbus A320-233; Y180 ; 5 May 2016 ;; 13.7 Years ;;;
; CC-CQP ;Airbus A320-233; Y168 ; Aug 2021 ;; 13.7 Years ;;;
; CC-BHA ;Airbus A320-271N; Y174 ; 6 Dec 2017 ;lsd ; 4.3 Years ;;;
; CC-BHB ;Airbus A320-271N; Y174 ; 30 Nov 2017 ;lsd ; 4.3 Years ;;;
; CC-BHC ;Airbus A320-271N; Y174 ; 31 Jan 2019 ;lsd ; 3.7 Years ;;;
; CC-BHD ;Airbus A320-271N; Y174 ; 2 Oct 2019 ; Parked, lsd ; 2.4 Years ;;;
; CC-BHE ;Airbus A320-271N; Y174 ; 2 Dec 2019 ;; 2.3 Years ;;;
; CC-BHG ;Airbus A320-271N; Y174 ; 22 Mar 2018 ;lsd ; 5.6 Years ;;;
; CC-BEA ;Airbus A321-211(WL); Y220 ; 5 May 2016 ; Parked ; 7.3 Years ;;;
; CC-BEB ;Airbus A321-211(WL); Y220 ; 5 May 2016 ;; 7.2 Years ;;;
; CC-BEC ;Airbus A321-211(WL); Y220 ; 5 May 2016 ;; 7.2 Years ;;;
; CC-BED ;Airbus A321-211(WL); Y220 ; 5 May 2016 ;; 7.1 Years ;;;
; CC-BEE ;Airbus A321-211(WL); Y220 ; 17 May 2021 ;; 6.6 Years ;;;
; CC-BEF ;Airbus A321-211(WL); Y220 ; 22 Jun 2021 ;lsd ; 6.4 Years ;;;
; CC-BEG ;Airbus A321-211(WL); Y220 ; 7 Sep 2021 ;; 6.4 Years ;;;
; CC-BEH ;Airbus A321-211(WL); Y220 ; 29 Jun 2021 ; Parked, lsd ; 6.3 Years ;;;
; CC-BEI ;Airbus A321-211(WL); Y220 ; 9 Aug 2021 ;; 6.2 Years ;;;
; CC-BEJ ;Airbus A321-211(WL); Y220 ; 3 Jun 2021 ;lsd ; 5.9 Years ;;;
; CC-BEK ;Airbus A321-211(WL); Y220 ; 27 May 2016 ;lsd ; 5.8 Years ;;;
; CC-BEL ;Airbus A321-211(WL); Y220 ; 15 Jun 2016 ;lsd ; 5.7 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; CC-BEM ;Airbus A321-211(WL); Y220 ; 30 Aug 2016 ;lsd, "Recicla tu Viaje" sticker ; 5.5 Years ;;;
; CC-BEN ;Airbus A321-211(WL); Y220 ; 30 Aug 2016 ;lsd ; 5.5 Years ;;;
; CC-BEO ;Airbus A321-211(WL); Y220 ; 26 Sep 2016 ;lsd ; 5.5 Years ;;;
; CC-BEP ;Airbus A321-211(WL); Y220 ; 10 Nov 2016 ;lsd ; 5.3 Years ;;;
; CC-BEQ ;Airbus A321-211(WL);; 30 Mar 2018 ;lsd, "500 años" sticker ; 5.8 Years ;;;
; CC-BER ;Airbus A321-211(WL);; 30 Mar 2018 ;lsd ; 5.6 Years ;;;
; CC-BDA ;Boeing 767-316ER(WL); C30Y191 ; 5 May 2016 ; Parked ; 10.5 Years ;;;
; CC-BDB ;Boeing 767-316ER(WL); C30Y191 ; 5 May 2016 ;; 10.4 Years ;;;
; CC-BDC ;Boeing 767-316ER(WL); C30Y191 ; 5 May 2016 ;; 10.3 Years ;;;
; CC-CWF ;Boeing 767-316ER(WL); C20Y211 ; 5 May 2016 ;; 16 Years ;;;
; CC-CWV ;Boeing 767-316ER(WL); C20Y211 ; 5 May 2016 ;; 14.8 Years ;;;
; CC-CWY ;Boeing 767-316ER(WL); C30Y191 ; 5 May 2016 ;; 14.3 Years ;;;
; CC-CXC ;Boeing 767-316ER(WL); C20Y211 ; 5 May 2016 ;; 14.3 Years ;;;
; CC-CXF ;Boeing 767-316ER(WL); C20Y218 ; 5 May 2016 ;; 13.6 Years ;;;
; CC-CXG ;Boeing 767-316ER(WL); C30Y191 ; 5 May 2016 ;; 13.4 Years ;;;
; CC-CXH ;Boeing 767-316ER(WL); C20Y211 ; 5 May 2016 ;; 13.2 Years ;;;
; CC-CXI ;Boeing 767-316ER(WL); C30Y191 ; 5 May 2016 ;; 12.3 Years ;;;
; CC-CXJ ;Boeing 767-316ER(WL); C30Y191 ; 5 May 2016 ;; 12.2 Years ;;;
; CC-CXK ;Boeing 767-316ER(WL); C18Y220 ; 5 May 2016 ; Parked SIN ; 12 Years ;;;
; CC-BBA ;Boeing 787-8 Dreamliner; C30Y217 ; 5 May 2016 ;; 9.6 Years ;;;
; CC-BBB ;Boeing 787-8 Dreamliner; C30Y217 ; 5 May 2016 ;; 9.4 Years ;;;
; CC-BBC ;Boeing 787-8 Dreamliner; C30Y217 ; 5 May 2016 ;; 9.3 Years ;;;
