;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-6955 ;Airbus A320-232(WL); C8Y156 ; 26 Oct 2012 ;; 9.4 Years ;;;
; B-6956 ;Airbus A320-232(WL); C8Y156 ; 13 Nov 2012 ;; 9.3 Years ;;;
; B-8323 ;Airbus A320-214(WL); C8Y156 ; 29 Sep 2015 ;lsd ; 6.4 Years ;;;
; B-8325 ;Airbus A320-214(WL); C8Y156 ; 27 Oct 2015 ;lsd ; 6.4 Years ;;;
; B-8326 ;Airbus A320-214(WL); C8Y156 ; 30 Jul 2015 ;; 6.6 Years ;;;
; B-8329 ;Airbus A320-232(WL); C8Y156 ; 17 Aug 2015 ;; 6.6 Years ;;;
; B-8330 ;Airbus A320-214(WL); C8Y156 ; 1 Dec 2015 ;; 6.3 Years ;;;
; B-8331 ;Airbus A320-214(WL); C8Y156 ; 10 Sep 2015 ;lsd ; 6.5 Years ;;;
; B-8372 ;Airbus A320-214(WL); C8Y156 ; 10 May 2016 ;; 5.8 Years ;;;
; B-8375 ;Airbus A320-214(WL); C8Y156 ; 16 Feb 2016 ; Parked, lsd ; 6.1 Years ;;;
; B-8470 ;Airbus A320-214(WL); C8Y156 ; 15 Dec 2016 ;lsd ; 5.2 Years ;;;
; B-8499 ;Airbus A320-214(WL); C8Y156 ; 23 Dec 2016 ;lsd ; 5.2 Years ;;;
; B-8500 ;Airbus A320-214(WL); C8Y156 ; 29 Dec 2016 ;lsd ; 5.2 Years ;;;
; B-8656 ;Airbus A320-214(WL); C8Y156 ; 29 Dec 2016 ;lsd ; 5.2 Years ;;;
; B-8657 ;Airbus A320-214(WL); C8Y156 ; 28 Dec 2016 ;lsd ; 5.2 Years ;;;
; B-8685 ;Airbus A320-214(WL); C8Y156 ; 25 Jul 2017 ;lsd ; 4.6 Years ;;;
; B-8948 ;Airbus A320-214(WL); C8Y156 ; 31 Mar 2017 ;lsd ; 4.9 Years ;;;
; B-9935 ;Airbus A320-232(WL); C8Y156 ; 26 Jun 2013 ;lsd ; 8.7 Years ;;;
; B-30CA ;Airbus A320-271N; C8Y150 ; 22 Nov 2019 ;lsd ; 2.4 Years ;;;
; B-30CH ;Airbus A320-271N; C8Y150 ; 14 Aug 2020 ;lsd ; 1.7 Years ;;;
; B-30CR ;Airbus A320-271N; C8Y150 ; 3 Dec 2019 ;lsd ; 2.3 Years ;;;
; B-30DZ ;Airbus A320-271N; C8Y150 ; 21 Aug 2020 ;lsd ; 1.8 Years ;;;
; B-30E0 ;Airbus A320-271N; C8Y150 ; 28 Sep 2020 ;lsd ; 1.9 Years ;;;
; B-30FT ;Airbus A320-271N; C8Y150 ; 17 Sep 2020 ;lsd ; 1.5 Years ;;;
; B-320U ;Airbus A320-271N; C8Y150 ; 7 Jun 2021 ;lsd ; 1.2 Years ;;;
; B-321D ;Airbus A320-271N; C8Y150 ; 9 Jun 2021 ;lsd ; 1 Years ;;;
