;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; PK-WFG ;ATR 72-500 (72-212A); Y72 ; 15 Dec 2009 ; Parked ; 12.6 Years ;;;
; PK-WFH ;ATR 72-500 (72-212A); Y72 ; 16 Dec 2009 ; Parked, lsd ; 12.5 Years ;;;
; PK-WFI ;ATR 72-500 (72-212A); Y72 ; 22 Apr 2010 ; Parked, lsd ; 12.3 Years ;;;
; PK-WFJ ;ATR 72-500 (72-212A); Y72 ; 22 Apr 2010 ;lsd ; 12.1 Years ;;;
; PK-WFK ;ATR 72-500 (72-212A); Y72 ; 1 Jul 2010 ;; 12 Years ;;;
; PK-WFL ;ATR 72-500 (72-212A); Y72 ; 1 Jul 2010 ; Parked ; 11.8 Years ;;;
; PK-WFM ;ATR 72-500 (72-212A); Y72 ; 28 Aug 2010 ;; 11.7 Years ;;;
; PK-WFO ;ATR 72-500 (72-212A); Y72 ; 3 Dec 2010 ;lsd ; 11.3 Years ;;;
; PK-WFP ;ATR 72-500 (72-212A); Y72 ; 11 Jan 2011 ;lsd ; 11.2 Years ;;;
; PK-WFQ ;ATR 72-500 (72-212A); Y72 ; 25 Feb 2011 ;lsd ; 11.1 Years ;;;
; PK-WFR ;ATR 72-500 (72-212A); Y72 ; 11 Mar 2011 ;lsd ; 11 Years ;;;
; PK-WFS ;ATR 72-500 (72-212A); Y72 ; 17 Aug 2011 ;lsd ; 10.8 Years ;;;
; PK-WFT ;ATR 72-500 (72-212A); Y72 ; 19 Aug 2011 ;lsd ; 10.7 Years ;;;
; PK-WFU ;ATR 72-500 (72-212A); Y72 ; 3 Sep 2011 ;lsd ; 10.6 Years ;;;
; PK-WFV ;ATR 72-500 (72-212A); Y72 ; 22 Dec 2011 ;; 10.2 Years ;;;
; PK-WFW ;ATR 72-500 (72-212A); Y72 ; 23 May 2012 ;; 9.8 Years ;;;
; PK-WFY ;ATR 72-500 (72-212A); Y72 ; 11 Oct 2012 ;; 9.4 Years ;;;
; PK-WFZ ;ATR 72-500 (72-212A); Y72 ; 29 Nov 2012 ;; 9.4 Years ;;;
; PK-WGF ;ATR 72-500 (72-212A); Y72 ; 14 Dec 2012 ;Fakfak ; 9.2 Years ;;;
; PK-WGG ;ATR 72-600 (72-212A); Y72 ; 19 Dec 2012 ;; 9.2 Years ;;;
; PK-WGH ;ATR 72-600 (72-212A); Y72 ; 31 Dec 2012 ;; 9.2 Years ;;;
; PK-WGI ;ATR 72-600 (72-212A); Y72 ; 17 May 2013 ;lsd ; 9 Years ;;;
; PK-WGJ ;ATR 72-600 (72-212A); Y72 ; 17 May 2013 ;lsd ; 9 Years ;;;
; PK-WGK ;ATR 72-600 (72-212A); Y72 ; 12 Dec 2013 ;lsd ; 8.5 Years ;;;
; PK-WGL ;ATR 72-600 (72-212A); Y72 ; 13 Dec 2013 ; Parked, lsd ; 8.3 Years ;;;
; PK-WGM ;ATR 72-600 (72-212A); Y72 ; 14 Aug 2014 ;lsd ; 7.6 Years ;;;
; PK-WGO ;ATR 72-600 (72-212A); Y72 ; 13 Dec 2013 ;lsd ; 8.5 Years ;;;
; PK-WGP ;ATR 72-600 (72-212A); Y72 ; 11 Sep 2014 ;lsd ; 7.5 Years ;;;
; PK-WGQ ;ATR 72-600 (72-212A); Y72 ; 31 Oct 2014 ;lsd ; 7.4 Years ;;;
; PK-WGR ;ATR 72-600 (72-212A); Y72 ; 12 Jan 2015 ;; 7.3 Years ;;;
; PK-WGS ;ATR 72-600 (72-212A); Y72 ; 15 Dec 2014 ; Parked, lsd ; 8 Years ;;;
; PK-WGT ;ATR 72-600 (72-212A); Y72 ; 12 Jan 2015 ;; 7.2 Years ;;;
; PK-WGU ;ATR 72-600 (72-212A); Y72 ; 30 Jan 2015 ;lsd ; 7.2 Years ;;;
; PK-WGV ;ATR 72-600 (72-212A); Y72 ; 30 Jan 2015 ;lsd ; 7.2 Years ;;;
; PK-WGY ;ATR 72-600 (72-212A); Y72 ; 6 Mar 2015 ;; 7 Years ;;;
; PK-WGZ ;ATR 72-600 (72-212A); Y72 ; 2 Apr 2015 ;; 7 Years ;;;
; PK-WHF ;ATR 72-600 (72-212A); Y72 ; 17 Apr 2015 ;; 6.9 Years ;;;
; PK-WHG ;ATR 72-600 (72-212A); Y72 ; 30 May 2015 ;lsd, 50th ATR cs ; 6.8 Years ;;;
; PK-WHH ;ATR 72-600 (72-212A); Y72 ; 6 Jun 2015 ;; 6.8 Years ;;;
; PK-WHI ;ATR 72-600 (72-212A); Y72 ; 7 Oct 2015 ; Parked ; 6.6 Years ;;;
; PK-WHJ ;ATR 72-600 (72-212A); Y72 ; 19 Aug 2015 ;; 6.6 Years ;;;
; PK-WHK ;ATR 72-600 (72-212A); Y72 ; 9 Sep 2015 ;; 6.5 Years ;;;
; PK-WHL ;ATR 72-600 (72-212A); Y72 ; 2 Oct 2015 ; Parked, lsd ; 6.4 Years ;;;
; PK-WHM ;ATR 72-600 (72-212A); Y72 ; 30 Nov 2017 ;lsd ; 5 Years ;;;
; PK-WHO ;ATR 72-600 (72-212A); Y72 ; 30 Nov 2017 ;lsd ; 5 Years ;;;
; PK-WHP ;ATR 72-600 (72-212A); Y72 ; 6 Nov 2015 ;; 6.3 Years ;;;
; PK-WHQ ;ATR 72-600 (72-212A); Y72 ; 9 Dec 2015 ; Parked ; 6.3 Years ;;;
; PK-WHR ;ATR 72-600 (72-212A); Y72 ; 12 Dec 2015 ;; 6.2 Years ;;;
; PK-WHS ;ATR 72-600 (72-212A); Y72 ; 2 Mar 2016 ; Parked, 60th ATR cs ; 6 Years ;;;
; PK-WHT ;ATR 72-600 (72-212A); Y72 ; 27 May 2016 ;; 5.8 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
