;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; G-TUMA ;Boeing 737-8 MAX; Y189 ; 16 Nov 2018 ;; Kittilā ; 3.3 Years ;;
; G-TUMB ;Boeing 737-8 MAX; Y189 ; 6 Dec 2018 ;; Menorca ; 3.3 Years ;;
; G-TUMC ;Boeing 737-8 MAX; Y189 ; 31 Jan 2019 ;; Reykjavik ; 3.1 Years ;;
; G-TUMD ;Boeing 737-8 MAX; Y189 ; 12 Feb 2019 ;; Dubrovnik ; 3.1 Years ;;
; G-TUMF ;Boeing 737-8 MAX; Y189 ; 22 Feb 2019 ;; Málaga ; 3.1 Years ;;
; G-TUMG ;Boeing 737-8 MAX; Y189 ; 4 Mar 2019 ;; Samos ; 3 Years ;;
; G-TUMH ;Boeing 737-8 MAX; Y189 ; 12 Mar 2021 ;lsd ; Skiathos ; 2.9 Years ;;
; G-TUMJ ;Boeing 737-8 MAX; Y189 ; 26 Feb 2021 ;; Naples ; 2.8 Years ;;
; G-TUMK ;Boeing 737-8 MAX; Y189 ; 9 Mar 2021 ;lsd ; Ibiza ; 2.8 Years ;;
; G-TUML ;Boeing 737-8 MAX; Y189 ; 12 Jan 2022 ;; Malta ; 0.2 Years ;;
; G-TUMO ;Boeing 737-8 MAX; Y189 ; 1 Mar 2021 ;lsd ; Innsbruck ; 2.1 Years ;;
; G-TUMS ;Boeing 737-8 MAX; Y189 ; 4 Jun 2021 ;lsd ; Rhodes ; 4.1 Years ;;
; G-TUMT ;Boeing 737-8 MAX; Y189 ; 4 Jun 2021 ;lsd ; Chania ; 3.2 Years ;;
; G-TUMU ;Boeing 737-8 MAX; Y189 ; 28 Jun 2021 ;lsd ; Rovaniemi ; 2.8 Years ;;
; G-FDZD ;Boeing 737-8K5(WL); Y189 ; 13 Apr 2019 ;lsd ;; 14.8 Years ;;
; G-FDZF ;Boeing 737-8K5(WL); Y189 ; 5 Apr 2019 ; Parked, lsd ;; 14.1 Years ;;
; G-FDZS ;Boeing 737-8K5(WL); Y189 ; 2 Oct 2017 ;lsd ;; 12.9 Years ;;
; G-FDZT ;Boeing 737-8K5(WL); Y189 ; 2 Oct 2017 ;lsd ;; 11.1 Years ;;
; G-FDZU ;Boeing 737-8K5(WL); Y189 ; 2 Oct 2017 ;lsd ;; 11 Years ;;
; G-FDZX ;Boeing 737-8K5(WL); Y189 ; 9 Apr 2020 ;lsd ;; 10.8 Years ;;
; G-FDZY ;Boeing 737-8K5(WL); Y189 ; 23 Mar 2020 ;lsd, lst Sunwing Airlines as C-FYDY ;; 10.3 Years ;;
; G-FDZZ ;Boeing 737-8K5(WL); Y189 ; 4 May 2020 ;lsd, lst Sunwing Airlines as C-FYBZ ;; 10.2 Years ;;
; G-TAWA ;Boeing 737-8K5(WL); Y189 ; 30 Mar 2020 ;lsf Okayama ;; 10.1 Years ;;
; G-TAWB ;Boeing 737-8K5(WL); Y189 ; 12 May 2020 ;lsf Okayama ;; 10.1 Years ;;
; G-TAWC ;Boeing 737-8K5(WL); Y189 ; 4 May 2018 ;lsd ;; 10.1 Years ;;
; G-TAWD ;Boeing 737-8K5(WL); Y189 ; 14 May 2018 ;lsd, lst Sunwing Airlines as C-FYSD ;; 10.1 Years ;;
; G-TAWG ;Boeing 737-8K5(WL); Y189 ; 2 Oct 2017 ;lsd ;; 10 Years ;;
; G-TAWH ;Boeing 737-8K5(WL); Y189 ; 15 Jul 2021 ;lsd ;; 9.9 Years ;;
; G-TAWI ;Boeing 737-8K5(WL); Y189 ; 2 Oct 2017 ;lsd ;; 9.9 Years ;;
; G-TAWJ ;Boeing 737-8K5(WL); Y189 ; 8 Nov 2021 ;lsd ;; 9.8 Years ;;
; G-TAWK ;Boeing 737-8K5(WL); Y189 ; 25 Apr 2019 ;lsd ;; 9.3 Years ;;
; G-TAWL ;Boeing 737-8K5(WL); Y189 ; 23 Apr 2019 ;lsd ;; 9.2 Years ;;
; G-TAWM ;Boeing 737-8K5(WL); Y189 ; 9 Apr 2020 ;lsd, lst Sunwing Airlines as C-FYEM ;; 9 Years ;;
; G-TAWN ;Boeing 737-8K5(WL); Y189 ; 23 Mar 2020 ;lsd, lst Sunwing Airlines as C-FYBN ;; 9 Years ;;
; G-TAWO ;Boeing 737-8K5(WL); Y189 ; 23 Mar 2020 ;lsd, lst Sunwing Airlines as C-FYJO ;; 9 Years ;;
; G-TAWP ;Boeing 737-8K5(WL); Y189 ; Due ;lsd ;; 8.9 Years ;;
; G-TAWR ;Boeing 737-8K5(WL); Y189 ; 8 Feb 2022 ;lsd ;; 8.9 Years ;;
; G-TAWS ;Boeing 737-8K5(WL); Y189 ; 11 Apr 2019 ;lsd ;; 8 Years ;;
; G-TAWU ;Boeing 737-8K5(WL); Y189 ; 25 Apr 2019 ;lsd ;; 7.9 Years ;;
; G-TAWV ;Boeing 737-8K5(WL); Y189 ; 30 Apr 2020 ; Parked, lsd ;; 6.9 Years ;;
; G-TAWW ;Boeing 737-8K5(WL); Y189 ; 23 Mar 2020 ;lsd, lst Sunwing Airlines as C-FYUW ;; 6.9 Years ;;
; G-TAWX ;Boeing 737-8K5(WL); Y189 ; 7 Dec 2018 ;lsd ;; 8 Years ;;
; G-TAWY ;Boeing 737-8K5(WL); Y189 ; 3 Dec 2021 ;lsd ;; 9.9 Years ;;
; G-TUKF ;Boeing 737-8AS(WL); Y189 ; 13 Mar 2020 ; Parked NCL, lsd ;; 15.2 Years ;;
; G-TUKM ;Boeing 737-8K5(WL); Y189 ; 6 Jan 2021 ;lsd ;; 11.1 Years ;;
; G-TUKN ;Boeing 737-8K5(WL); Y189 ; 10 Feb 2021 ;lsd, Robinson Club Resorts cs ;; 11.1 Years ;;
; G-TUKO ;Boeing 737-8K5(WL); Y189 ; 17 Feb 2021 ;lsd ;; 10.8 Years ;;
; G-OBYF ;Boeing 767-304ER(WL); Y328 ; 26 Apr 2021 ;lsd ;; 23.7 Years ;;
; G-OBYK ;Boeing 767-38AER(WL); Y328 ; 12 May 2021 ;lsd ;; 23 Years ;;
; G-TUIA ;Boeing 787-8 Dreamliner; W47Y253 ; 2 Oct 2017 ;lsd ; Living The Dream ; 8.8 Years ;;
