;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;
; N735MA ;Boeing 737-8K5(WL); Y168 ; 20 Nov 2019 ; Parked, lsd ; 735 ; Arlene ; 10.7 Years ;;
; N770MA ;Boeing 737-86N; Y189 ; 30 Oct 2020 ; Parked, lsd ; 770 ;; 20.7 Years ;;
; N778MA ;Boeing 737-808(WL); Y189 ; 2 Nov 2020 ; Parked MIA, lsd ; 778 ;; 15.8 Years ;;
