;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; XA-ADU ;Boeing 737-852(WL); C16Y144 ; 21 Sep 2017 ;lsd ; 4.5 Years ;;;
; XA-AMA ;Boeing 737-852(WL); C16Y144 ; 14 Aug 2012 ;lsd ; 9.6 Years ;;;
; XA-AMB ;Boeing 737-852(WL); C16Y144 ; 14 Jun 2013 ;lsd ; 8.7 Years ;;;
; XA-AMC ;Boeing 737-852(WL); C16Y144 ; 19 Jul 2013 ;lsd ; 8.6 Years ;;;
; XA-AME ;Boeing 737-852(WL); C16Y144 ; 6 Aug 2013 ;lsd ; 8.6 Years ;;;
; XA-AMG ;Boeing 737-81D(WL); C16Y144 ; 3 Apr 2014 ;lsd ; 7.9 Years ;;;
; XA-AMJ ;Boeing 737-852(WL); C16Y144 ; 20 Sep 2012 ;lsd ; 9.5 Years ;;;
; XA-AMK ;Boeing 737-852(WL); C16Y144 ; 23 Oct 2012 ;lsd ; 9.4 Years ;;;
; XA-AML ;Boeing 737-852(WL); C16Y144 ; 19 Aug 2014 ;lsd ; 7.6 Years ;;;
; XA-AMM ;Boeing 737-852(WL); C16Y144 ; 10 Jun 2014 ;lsd ; 7.8 Years ;;;
; XA-AMN ;Boeing 737-852(WL); C16Y144 ; 11 Jul 2014 ;lsd ; 7.7 Years ;;;
; XA-AMO ;Boeing 737-852(WL); C16Y144 ; 25 Mar 2015 ;lsd ; 7 Years ;;;
; XA-AMS ;Boeing 737-852(WL); C16Y144 ; 26 Feb 2015 ;lsd ; 7 Years ;;;
; XA-AMU ;Boeing 737-852(WL); C16Y144 ; 29 Jul 2015 ;lsd ; 6.6 Years ;;;
; XA-AMV ;Boeing 737-852(WL); C16Y144 ; 27 Aug 2015 ;lsd ; 6.5 Years ;;;
; XA-AMW ;Boeing 737-8FZ(WL); C16Y144 ; 12 Apr 2016 ;lsd ; 14.2 Years ;;;
; XA-DRA ;Boeing 737-852(WL); C16Y144 ; 14 Jan 2019 ; Parked ; 15.5 Years ;;;
; XA-DRC ;Boeing 737-852(WL); C16Y144 ; 14 Jan 2019 ;; 15.4 Years ;;;
; XA-EBN ;Boeing 737-8JP(WL); Y186 ; 6 Sep 2021 ;lsd ; 9.4 Years ;;;
; XA-JOY ;Boeing 737-852(WL); C16Y144 ; 27 Jul 2007 ; Parked, lsd ; 14.6 Years ;;;
; XA-OCA ;Boeing 737-8JP(WL); Y186 ; 14 Jul 2021 ;lsd ; 12 Years ;;;
; XA-OCB ;Boeing 737-8JP(WL); Y186 ; 6 Aug 2021 ;lsd ; 12.6 Years ;;;
; XA-OCC ;Boeing 737-8JP(WL); Y186 ; 22 Jun 2021 ;lsd ; 11.9 Years ;;;
; XA-OOO ;Boeing 737-8FZ(WL); Y189 ; 25 Jun 2021 ;lsd ; 12 Years ;;;
; XA-PPP ;Boeing 737-8JP(WL); Y186 ; 12 Oct 2021 ;lsd ; 9.2 Years ;;;
; XA-ZAM ;Boeing 737-852(WL); C16Y144 ; 19 Jun 2007 ;lsd ; 14.7 Years ;;;
; N782AM ;Boeing 787-8 Dreamliner; C32Y211 ; 21 Aug 2015 ;Misionero de Paz, lsd ; 6.6 Years ;;;
; N783AM ;Boeing 787-8 Dreamliner; C32Y211 ; 20 Nov 2015 ;lsd ; 6.4 Years ;;;
; N964AM ;Boeing 787-8 Dreamliner; C32Y211 ; 17 Oct 2013 ;lsd ; 8.4 Years ;;;
; N965AM ;Boeing 787-8 Dreamliner; C32Y211 ; 31 Oct 2013 ;lsd ; 8.4 Years ;;;
; N966AM ;Boeing 787-8 Dreamliner; C32Y211 ; 31 Mar 2014 ; Parked, lsd ; 8 Years ;;;
; N967AM ;Boeing 787-8 Dreamliner; C32Y211 ; 25 Apr 2014 ;lsd ; 7.9 Years ;;;
; XA-AMR ;Boeing 787-8 Dreamliner; C32Y211 ; 9 Feb 2015 ;Ciudad de México, lsd ; 7.1 Years ;;;
; XA-AMX ;Boeing 787-8 Dreamliner; C32Y211 ; 19 Dec 2014 ;La Laguna, lsd ; 7.2 Years ;;;
; N128AM ;Boeing 787-9 Dreamliner; C36Y238 ; 8 Apr 2019 ;lsd ; 3 Years ;;;
; N183AM ;Boeing 787-9 Dreamliner; C36Y238 ; 21 Nov 2016 ;lsd ; 5.3 Years ;;;
; N438AM ;Boeing 787-9 Dreamliner; C36Y238 ; 6 Apr 2017 ;lsd ; 5 Years ;;;
; N446AM ;Boeing 787-9 Dreamliner; C36Y238 ; 30 May 2018 ;lsd ; 3.8 Years ;;;
; XA-ADC ;Boeing 787-9 Dreamliner; C36Y238 ; 6 Dec 2016 ; Parked ; 5.3 Years ;;;
; XA-ADD ;Boeing 787-9 Dreamliner; C36Y238 ; 12 Jan 2017 ;lsd ; 5.2 Years ;;;
; XA-ADG ;Boeing 787-9 Dreamliner; C36Y238 ; 12 Dec 2017 ;Guadalupe ; 4.3 Years ;;;
; XA-ADH ;Boeing 787-9 Dreamliner; C36Y238 ; 16 Jan 2018 ;lsd ; 4.2 Years ;;;
; XA-ADL ;Boeing 787-9 Dreamliner; C36Y238 ; 11 Oct 2016 ;Quetzalcoatl cs ; 5.4 Years ;;;
; XA-MFG ;Boeing 787-9 Dreamliner; C36Y238 ; 1 Nov 2019 ;lsd ; 2.4 Years ;;;
; XA-RRR ;Boeing 787-9 Dreamliner; C36Y238 ; On Order ;lsd ; 1.1 Years ;;;
; XA-SSS ;Boeing 787-9 Dreamliner; C36Y238 ; On Order ;lsd ; 1.3 Years ;;;
