;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N276GX ;Airbus A320-214; Y180 ; Apr 2021 ;lsd ; 276 ; 16 Years ;;
; N278GX ;Airbus A320-214; Y180 ; 6 Dec 2021 ;lsd, Blue cs ; 278 ; 19.1 Years ;;
; N279GX ;Airbus A320-214; Y180 ; 27 Aug 2021 ;lsd, Blue cs ; 279 ; 13.5 Years ;;
; N626VA ;Airbus A320-214; C8Y138 ; 27 Nov 2021 ;lsd ;; 15.7 Years ;;
; N627VA ;Airbus A320-214; Y180 ; 1 Dec 2021 ;lsd ;; 15.6 Years ;;
; N277GX ;Airbus A321-231; C12Y171 ; 2 Apr 2021 ;lsd ; 277 ; 16.8 Years ;;
; N ;Airbus A321-231(P2F); Cargo ; Due ; Stored, lsd ;; 18.9 Years ;;
; N ;Airbus A321-231(PCF); Cargo ; Due ; Stored, lsd ;; 21.1 Years ;;
; N ;Airbus A321-231(P2F); Cargo ; Due ; Stored, lsd ;; 21.9 Years ;;
