;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; C-FENJ ;Bombardier DHC-8-402Q Dash 8; Y78 ; 22 May 2015 ;; 423 ; 6.9 Years ;;
; C-FENO ;Bombardier DHC-8-402Q Dash 8; Y78 ; 7 Jun 2016 ;; 432 ; 5.8 Years ;;
; C-FENU ;Bombardier DHC-8-402Q Dash 8; Y78 ; 4 Aug 2013 ;; 403 ; 8.7 Years ;;
; C-FENY ;Bombardier DHC-8-402Q Dash 8; Y78 ; 23 Aug 2013 ;; 405 ; 8.7 Years ;;
; C-FHEN ;Bombardier DHC-8-402Q Dash 8; Y78 ; 14 Jun 2013 ;; 402 ; 8.9 Years ;;
; C-FIWE ;Bombardier DHC-8-402Q Dash 8; Y78 ; 2 Apr 2014 ;; 411 ; 8 Years ;;
; C-FJWE ;Bombardier DHC-8-402Q Dash 8; Y78 ; 21 Jan 2016 ;; 428 ; 6.1 Years ;;
; C-FKWE ;Bombardier DHC-8-402Q Dash 8; Y78 ; 26 May 2014 ;; 412 ; 8 Years ;;
; C-FNEN ;Bombardier DHC-8-402Q Dash 8; Y78 ; 24 Oct 2013 ;; 406 ; 8.4 Years ;;
; C-FOEN ;Bombardier DHC-8-402Q Dash 8; Y78 ; 11 Jun 2013 ;; 401 ; 8.9 Years ;;
; C-FOWE ;Bombardier DHC-8-402Q Dash 8; Y78 ; 13 Jun 2014 ;; 413 ; 8 Years ;;
; C-FQWE ;Bombardier DHC-8-402Q Dash 8; Y78 ; 24 Jun 2014 ;; 415 ; 7.8 Years ;;
; C-FSWE ;Bombardier DHC-8-402Q Dash 8; Y78 ; 12 Feb 2016 ;; 429 ; 6.1 Years ;;
; C-FTEN ;Bombardier DHC-8-402Q Dash 8; Y78 ; 26 Apr 2018 ;; 450 ; 3.9 Years ;;
; C-FUWE ;Bombardier DHC-8-402Q Dash 8; Y78 ; 18 Sep 2014 ;; 416 ; 7.6 Years ;;
; C-FWEP ;Bombardier DHC-8-402Q Dash 8; Y78 ; 17 Feb 2017 ;; 439 ; 5.1 Years ;;
; C-FWEW ;Bombardier DHC-8-402Q Dash 8; Y78 ; 23 Apr 2018 ;lsd ; 451 ; 5.2 Years ;;
; C-FWEZ ;Bombardier DHC-8-402Q Dash 8; Y78 ; 20 Dec 2014 ;; 417 ; 7.3 Years ;;
; C-GDEN ;Bombardier DHC-8-402Q Dash 8; Y78 ; 2 Jul 2015 ; Parked ; 425 ; 6.7 Years ;;
; C-GDEW ;Bombardier DHC-8-402Q Dash 8; Y78 ; 8 Sep 2017 ;; 447 ; 4.6 Years ;;
; C-GEEN ;Bombardier DHC-8-402Q Dash 8; Y78 ; 21 Jul 2015 ;; 426 ; 6.7 Years ;;
; C-GENK ;Bombardier DHC-8-402Q Dash 8; Y78 ; 21 Jun 2016 ;; 433 ; 5.7 Years ;;
; C-GENM ;Bombardier DHC-8-402Q Dash 8; Y78 ; 15 Nov 2013 ;; 407 ; 8.4 Years ;;
; C-GENO ;Bombardier DHC-8-402Q Dash 8; Y78 ; 29 Sep 2016 ;; 436 ; 5.4 Years ;;
; C-GENU ;Bombardier DHC-8-402Q Dash 8; Y78 ; 3 Dec 2015 ;; 427 ; 6.3 Years ;;
; C-GENV ;Bombardier DHC-8-402Q Dash 8; Y78 ; 21 Apr 2017 ;; 442 ; 4.9 Years ;;
; C-GEWR ;Bombardier DHC-8-402Q Dash 8; Y78 ; 3 May 2018 ;lsd ; 452 ; 5.2 Years ;;
; C-GJEN ;Bombardier DHC-8-402Q Dash 8; Y78 ; 3 Nov 2016 ;; 437 ; 5.4 Years ;;
; C-GJWE ;Bombardier DHC-8-402Q Dash 8; Y78 ; 13 Dec 2013 ;; 408 ; 8.3 Years ;;
; C-GKWE ;Bombardier DHC-8-402Q Dash 8; Y78 ; 3 Mar 2017 ;; 440 ; 5 Years ;;
; C-GLWJ ;Bombardier DHC-8-402Q Dash 8; Y78 ; 18 Apr 2016 ; Parked ; 431 ; 6 Years ;;
; C-GPWE ;Bombardier DHC-8-402Q Dash 8; Y78 ; 13 Apr 2017 ;; 441 ; 4.9 Years ;;
; C-GTWE ;Bombardier DHC-8-402Q Dash 8; Y78 ; 29 Feb 2016 ;; 430 ; 6 Years ;;
; C-GVEN ;Bombardier DHC-8-402Q Dash 8; Y78 ; 25 Aug 2016 ;; 435 ; 5.5 Years ;;
; C-GVWE ;Bombardier DHC-8-402Q Dash 8; Y78 ; 14 Jan 2015 ;; 418 ; 7.3 Years ;;
; C-GWEF ;Bombardier DHC-8-402Q Dash 8; Y78 ; 17 Feb 2015 ;; 419 ; 7.2 Years ;;
; C-GWEG ;Bombardier DHC-8-402Q Dash 8; Y78 ; 1 Mar 2015 ;; 420 ; 7.1 Years ;;
; C-GWEJ ;Bombardier DHC-8-402Q Dash 8; Y78 ; 27 Jun 2017 ;; 445 ; 4.8 Years ;;
; C-GWEN ;Bombardier DHC-8-402Q Dash 8; Y78 ; 16 Dec 2016 ;; 438 ; 5.2 Years ;;
; C-GWEO ;Bombardier DHC-8-402Q Dash 8; Y78 ; 7 Feb 2014 ;; 409 ; 8.2 Years ;;
; C-GWEP ;Bombardier DHC-8-402Q Dash 8; Y78 ; 22 Dec 2013 ;; 410 ; 8.3 Years ;;
; C-GWEQ ;Bombardier DHC-8-402Q Dash 8; Y78 ; 27 Mar 2015 ;; 421 ; 7 Years ;;
; C-GWEU ;Bombardier DHC-8-402Q Dash 8; Y78 ; 2 May 2015 ;; 422 ; 7 Years ;;
; C-GWFE ;Bombardier DHC-8-402Q Dash 8; Y78 ; 26 Oct 2017 ;; 448 ; 4.4 Years ;;
; C-GWJK ;Bombardier DHC-8-402Q Dash 8; Y78 ; 26 May 2017 ;; 443 ; 4.8 Years ;;
; C-GWRE ;Bombardier DHC-8-402Q Dash 8; Y78 ; 2 Mar 2018 ;; 449 ; 4.1 Years ;;
; C-GWUE ;Bombardier DHC-8-402Q Dash 8; Y78 ; 24 Aug 2017 ;; 446 ; 4.7 Years ;;
