;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; ZS-DMI ;Boeing 737-4S3; Y165 ; 10 Nov 2017 ;; 32.8 Years ;;
; ZS-JRE ;Boeing 737-4Y0; Y165 ; 12 Sep 2014 ;; 29.8 Years ;;
; ZS-JRK ;Boeing 737-4Q8; Y165 ; 21 Nov 2014 ;Springbok cs ; 29.8 Years ;;
; ZS-JRM ;Boeing 737-490; Y165 ; 22 Aug 2016 ;; 24 Years ;;
; ZS-OAF ;Boeing 737-4S3; Y165 ; Oct 2017 ;; 30.8 Years ;;
; ZS-WMP ;Boeing 737-490; Y165 ; 16 Sep 2016 ;; 23.8 Years ;;
; ZS-FGA ;Boeing 737-8K5(WL); Y189 ; 27 Jul 2019 ;The Glen James, lsd ; 24 Years ;;
; ZS-FGB ;Boeing 737-8K5(WL); Y189 ; Sep 2019 ;lsd ; 23.9 Years ;;
; ZS-FGC ;Boeing 737-81M(WL); Y189 ; 18 Feb 2020 ;lsd, Aviation Company of the Year 2019 cs ; 17 Years ;;
; ZS-FGD ;Boeing 737-8EH(WL); Y189 ; 6 Oct 2020 ;lsd ; 14.4 Years ;;
; ZS-FGE ;Boeing 737-8EH(WL); Y189 ; 19 Oct 2020 ;; 14.4 Years ;;
; ZS-SJG ;Boeing 737-8BG(WL); Y189 ; 4 Aug 2021 ;lsd ; 21.3 Years ;;
; ZS-SJH ;Boeing 737-8BG(WL); Y189 ; 10 Aug 2021 ;lsd ; 21.3 Years ;;
; ZS-SJK ;Boeing 737-8BG(WL); Y189 ; Dec 2021 ;lsd ; 21 Years ;;
; ZS-SJO ;Boeing 737-8BG(WL); Y189 ; Due ; Stored, lsd ; 20.6 Years ;;
; ZS-SJR ;Boeing 737-844(WL); Y189 ; Sep 2015 ;Springboks cs ; 19.7 Years ;;
; ZS-SJS ;Boeing 737-844(WL); Y189 ; 23 Oct 2015 ;; 19.5 Years ;;
; ZS-SJT ;Boeing 737-844(WL); Y189 ; 3 Dec 2015 ;; 19.4 Years ;;
; ZS-SJU ;Boeing 737-844(WL); Y189 ; 28 Dec 2017 ;Springboks cs ; 18.5 Years ;;
; ZS-SJV ;Boeing 737-844(WL); Y189 ; 17 Jan 2018 ;Springboks cs ; 18.3 Years ;;
; ZS-SJW ;Boeing 737-85P(WL); Y189 ; 14 Feb 2019 ;lsd ; 22.3 Years ;;
; ZS-ZWO ;Boeing 737-8K2(WL); Y189 ; May 2021 ;lsd ; 23.8 Years ;;
; ZS-ZWV ;Boeing 737-8K5(WL); Y189 ; Due ; Stored ; 21.3 Years ;;
