;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;
; N801WA ;McDonnell Douglas MD-83 (DC-9-83); C8Y142 ; 31 Aug 2018 ;; 801 ; Luis Oliva ; 29.6 Years ;;
; N802WA ;McDonnell Douglas MD-83 (DC-9-83); C12Y134 ; 21 Aug 2009 ;; 802 ; The Pride of Miami Tech ; 31.7 Years ;;
; N804WA ;McDonnell Douglas MD-83 (DC-9-83); Y155 ; 1 Jul 2012 ;; 804 ; Zairah ; 34.9 Years ;;
; N805WA ;McDonnell Douglas MD-83 (DC-9-83); C8Y144 ; Oct 2013 ;; 805 ; Luis Tomas ; 25.9 Years ;;
; N806WA ;McDonnell Douglas MD-83 (DC-9-83); C2Y149 ; 2 Jul 2014 ;; 806 ; Mandy ; 30.5 Years ;;
; N807TR ;McDonnell Douglas MD-83 (DC-9-83); C8Y143 ; 29 Sep 2019 ;;;; 30.4 Years ;;
; N808WA ;McDonnell Douglas MD-83 (DC-9-83); C8Y147 ; 2 Sep 2016 ;; 808 ; Patrick Joseph ; 31.5 Years ;;
; N861GA ;McDonnell Douglas MD-83 (DC-9-83);; 24 Aug 2021 ; Parked ;;; 34.1 Years ;;
; N876GA ;McDonnell Douglas MD-83 (DC-9-83);; 5 Sep 2019 ; Parked ;;; 26.6 Years ;;
