;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; YR-LIL ;Airbus A320-231;; 27 Oct 2021 ; Parked, lsd ; 28.5 Years ;;
; YR- ;Embraer ERJ-145EP;; Due ; Stored ; 24.9 Years ;;
