;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; TC-JLS ;Airbus A319-132; CY132 ; 11 Mar 2011 ; Parked ; Salihli ; 11 Years ;;;
; TC-JLT ;Airbus A319-132; CY132 ; 14 Apr 2011 ;; Adilcevaz ; 10.9 Years ;;;
; TC-JLU ;Airbus A319-132; CY132 ; 5 May 2011 ;Star Alliance cs ; Sultanahmet ; 10.8 Years ;;;
; TC-JLV ;Airbus A319-132; CY132 ; 22 Jun 2011 ;; Sapanca ; 10.7 Years ;;;
; TC-JLY ;Airbus A319-132; CY132 ; 20 Jul 2011 ;; Bergama ; 10.6 Years ;;;
; TC-JLZ ;Airbus A319-132; CY132 ; 4 Aug 2011 ;; Edirnekapı ; 10.6 Years ;;;
; TC-JPH ;Airbus A320-232; CY159 ; 17 Jul 2007 ;; Kars ; 14.7 Years ;;;
; TC-JPI ;Airbus A320-232; CY159 ; 14 Aug 2007 ;; Doğubeyazıt ; 14.7 Years ;;;
; TC-JPJ ;Airbus A320-232; CY159 ; 21 Sep 2007 ;; Edremit ; 14.5 Years ;;;
; TC-JPK ;Airbus A320-232; CY159 ; 1 Oct 2007 ; Parked ; Erdek ; 14.5 Years ;;;
; TC-JPL ;Airbus A320-232; CY159 ; 13 Nov 2007 ;; Göreme ; 14.4 Years ;;;
; TC-JPM ;Airbus A320-232; CY159 ; 13 Dec 2007 ;; Harput ; 14.3 Years ;;;
; TC-JPN ;Airbus A320-232; CY159 ; 23 Jul 2008 ;; Mardin ; 13.7 Years ;;;
; TC-JPP ;Airbus A320-232(WL); CY159 ; 15 Sep 2008 ;Star Alliance cs ; Harran ; 13.5 Years ;;;
; TC-JPR ;Airbus A320-232; CY159 ; 17 Nov 2008 ; Parked ; Kuşadası ; 13.4 Years ;;;
; TC-JPS ;Airbus A320-232; CY159 ; 17 Dec 2008 ;Star Alliance cs ; Burdur ; 13.3 Years ;;;
; TC-JPT ;Airbus A320-232; CY159 ; 26 Nov 2008 ;; Ihlara ; 13.3 Years ;;;
; TC-JMH ;Airbus A321-231; C20Y158 ; 30 Jan 2009 ; Parked, lsd ; Didim ; 13.3 Years ;;;
; TC-JMI ;Airbus A321-231; C20Y158 ; 30 Jan 2009 ;lsd ; Milas ; 13.3 Years ;;;
; TC-JMJ ;Airbus A321-231; C20Y158 ; 27 Feb 2009 ; Parked ; Tekirdağ ; 13.2 Years ;;;
; TC-JMK ;Airbus A321-231; C20Y158 ; 27 Feb 2009 ; Parked ; Üsküdar ; 13.2 Years ;;;
; TC-JML ;Airbus A321-231; CY194 ; 20 Aug 2009 ;; Eminönü ; 14.1 Years ;;;
; TC-JRA ;Airbus A321-231; CY194 ; 13 Jul 2006 ;Star Alliance cs ; Kütahya ; 15.7 Years ;;;
; TC-JRB ;Airbus A321-231; CY194 ; 24 Aug 2006 ;Star Alliance cs ; Kirikkale ; 15.5 Years ;;;
; TC-JRC ;Airbus A321-231; CY194 ; 16 Jan 2007 ;; Gerede ; 15.2 Years ;;;
; TC-JRD ;Airbus A321-231; CY194 ; 1 Feb 2007 ;Star Alliance cs ; Balıkesir ; 15.1 Years ;;;
; TC-JRE ;Airbus A321-231; CY194 ; 25 May 2007 ;; Beypazari ; 14.8 Years ;;;
; TC-JRF ;Airbus A321-231; CY194 ; 26 Jul 2007 ;; Fethiye ; 14.6 Years ;;;
; TC-JRG ;Airbus A321-231; CY194 ; 24 Oct 2007 ;Turkey - Discover the potential cs ; Finike ; 14.4 Years ;;;
; TC-JRH ;Airbus A321-231; CY194 ; 25 Jan 2008 ;; Yalova ; 14.1 Years ;;;
; TC-JRI ;Airbus A321-231; CY194 ; 15 Feb 2008 ;; Adıyaman ; 14.1 Years ;;;
