;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; EI-HAT ;Boeing 737-8200 MAX; Y197 ; 13 Sep 2021 ;; 3.1 Years ;;;
; EI-HAW ;Boeing 737-8200 MAX; Y197 ; 15 Nov 2021 ;; 2.2 Years ;;;
; EI-HAX ;Boeing 737-8200 MAX; Y197 ; 12 Nov 2021 ;; 2.4 Years ;;;
; EI-HAY ;Boeing 737-8200 MAX; Y197 ; 17 Nov 2021 ; Parked ; 2.4 Years ;;;
; EI-HEN ;Boeing 737-8200 MAX; Y197 ; 15 Jun 2021 ;; 0.9 Years ;;;
; EI-HES ;Boeing 737-8200 MAX; Y197 ; 17 Feb 2022 ;; 2.3 Years ;;;
; EI-HET ;Boeing 737-8200 MAX; Y197 ; 10 Feb 2022 ;; 2.3 Years ;;;
; EI-HEV ;Boeing 737-8200 MAX; Y197 ; 15 Feb 2022 ;; 2.3 Years ;;;
; EI-HEW ;Boeing 737-8200 MAX; Y197 ; On Order ;; 2.3 Years ;;;
; EI-HEY ;Boeing 737-8200 MAX; Y197 ; On Order ;; 2.3 Years ;;;
; EI-HEZ ;Boeing 737-8200 MAX; Y197 ; 17 Jun 2021 ;; 2.2 Years ;;;
; EI-HGE ;Boeing 737-8200 MAX; Y197 ; On Order ;; 2.2 Years ;;;
; EI-HGF ;Boeing 737-8200 MAX; Y197 ; On Order ;; 2.2 Years ;;;
; EI-HGG ;Boeing 737-8200 MAX; Y197 ; 15 Sep 2021 ;; 0.9 Years ;;;
; EI-HGH ;Boeing 737-8200 MAX; Y197 ; On Order ;; 0.6 Years ;;;
; EI-HGL ;Boeing 737-8200 MAX; Y197 ; On Order ;; 0.9 Years ;;;
; EI-HGM ;Boeing 737-8200 MAX; Y197 ; On Order ;; 0.9 Years ;;;
; EI-HGN ;Boeing 737-8200 MAX; Y197 ; On Order ;; 0.8 Years ;;;
; EI-HGO ;Boeing 737-8200 MAX; Y197 ; 30 Jun 2021 ;; 0.7 Years ;;;
; EI-HGP ;Boeing 737-8200 MAX; Y197 ; 6 Jul 2021 ;; 0.7 Years ;;;
; EI-HGR ;Boeing 737-8200 MAX; Y197 ; 8 Jul 2021 ;; 0.7 Years ;;;
; EI-HGS ;Boeing 737-8200 MAX; Y197 ; On Order ;; 0.7 Years ;;;
; EI-HGT ;Boeing 737-8200 MAX; Y197 ; 15 Jul 2021 ;; 0.7 Years ;;;
; EI-HGV ;Boeing 737-8200 MAX; Y197 ; On Order ;; 0.6 Years ;;;
; EI-HGW ;Boeing 737-8200 MAX; Y197 ; 2 Feb 2022 ;; 0.1 Years ;;;
; EI-HGX ;Boeing 737-8200 MAX; Y197 ; 25 Jan 2022 ;; 0.1 Years ;;;
; EI-HGY ;Boeing 737-8200 MAX; Y197 ; 25 Jan 2022 ;; 0.1 Years ;;;
; EI-HGZ ;Boeing 737-8200 MAX; Y197 ; 31 Jan 2022 ;; 0.1 Years ;;;
; EI-HMS ;Boeing 737-8200 MAX; Y197 ; 27 Jan 2022 ;; 0.1 Years ;;;
; EI-HMW ;Boeing 737-8200 MAX; Y197 ; On Order ;;;;;
; EI-HMX ;Boeing 737-8200 MAX; Y197 ; On Order ;;;;;
; EI-SEV ;Boeing 737-73S(WL); Y148 ; 8 May 2015 ;; 23.1 Years ;;;
; EI-DAO ;Boeing 737-8AS(WL); Y189 ; 5 Sep 2003 ; Parked ; 18.6 Years ;;;
; EI-DCJ ;Boeing 737-8AS(WL); Y189 ; 1 Sep 2004 ;; 17.5 Years ;;;
; EI-DCK ;Boeing 737-8AS(WL); Y189 ; 1 Sep 2004 ;; 17.5 Years ;;;
; EI-DCL ;Boeing 737-8AS(WL); Y189 ; 1 Oct 2004 ;Dreamliner (revised) cs ; 17.5 Years ;;;
; EI-DCM ;Boeing 737-8AS(WL); Y189 ; 1 Oct 2004 ;; 17.5 Years ;;;
; EI-DCN ;Boeing 737-8AS(WL); Y189 ; 1 Nov 2004 ;; 17.4 Years ;;;
; EI-DCO ;Boeing 737-8AS(WL); Y189 ; 1 Nov 2004 ;; 17.4 Years ;;;
; EI-DCP ;Boeing 737-8AS(WL); Y189 ; 1 Nov 2004 ;; 17.4 Years ;;;
; EI-DCR ;Boeing 737-8AS(WL); Y189 ; 2 Dec 2004 ;; 17.3 Years ;;;
; EI-DCW ;Boeing 737-8AS(WL); Y189 ; 13 Jan 2005 ;; 17.2 Years ;;;
; EI-DCX ;Boeing 737-8AS(WL); Y189 ; 21 Jan 2005 ;; 17.1 Years ;;;
; EI-DCY ;Boeing 737-8AS(WL); Y189 ; 25 Jan 2005 ;; 17.1 Years ;;;
; EI-DCZ ;Boeing 737-8AS(WL); Y189 ; 26 Jan 2005 ;; 17.1 Years ;;;
; EI-DHA ;Boeing 737-8AS(WL); Y189 ; 1 Feb 2005 ;; 17.1 Years ;;;
; EI-DHB ;Boeing 737-8AS(WL); Y189 ; 23 Feb 2005 ;; 17.1 Years ;;;
; EI-DHC ;Boeing 737-8AS(WL); Y189 ; 17 Feb 2005 ;; 17.1 Years ;;;
; EI-DHD ;Boeing 737-8AS(WL); Y189 ; 25 Feb 2005 ;; 17 Years ;;;
; EI-DHE ;Boeing 737-8AS(WL); Y189 ; 2 Mar 2005 ;; 17 Years ;;;
; EI-DHF ;Boeing 737-8AS(WL); Y189 ; 3 Mar 2005 ;; 17 Years ;;;
; EI-DHG ;Boeing 737-8AS(WL); Y189 ; 18 Mar 2005 ;; 17 Years ;;;
; EI-DHH ;Boeing 737-8AS(WL); Y189 ; 29 Mar 2005 ;; 17 Years ;;;
; EI-DHN ;Boeing 737-8AS(WL); Y189 ; 1 Sep 2005 ;; 16.5 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; EI-DHO ;Boeing 737-8AS(WL); Y189 ; 14 Oct 2005 ;; 16.4 Years ;;;
; EI-DHP ;Boeing 737-8AS(WL); Y189 ; 21 Oct 2005 ;; 16.4 Years ;;;
; EI-DHR ;Boeing 737-8AS(WL); Y189 ; 24 Oct 2005 ; Parked ; 16.4 Years ;;;
; EI-DHS ;Boeing 737-8AS(WL); Y189 ; 7 Nov 2005 ;; 16.3 Years ;;;
; EI-DHT ;Boeing 737-8AS(WL); Y189 ; 14 Nov 2005 ;; 16.3 Years ;;;
; EI-DHV ;Boeing 737-8AS(WL); Y189 ; 14 Nov 2005 ;; 16.3 Years ;;;
; EI-DHW ;Boeing 737-8AS(WL); Y189 ; 23 Nov 2005 ; Parked ; 16.3 Years ;;;
; EI-DHX ;Boeing 737-8AS(WL); Y189 ; 5 Dec 2005 ;; 16.3 Years ;;;
; EI-DHY ;Boeing 737-8AS(WL); Y189 ; 6 Dec 2005 ;; 16.3 Years ;;;
; EI-DHZ ;Boeing 737-8AS(WL); Y189 ; 19 Dec 2005 ;; 16.2 Years ;;;
; EI-DLB ;Boeing 737-8AS(WL); Y189 ; 19 Dec 2005 ;; 16.2 Years ;;;
; EI-DLC ;Boeing 737-8AS(WL); Y189 ; 13 Jan 2006 ; Parked ; 16.2 Years ;;;
; EI-DLD ;Boeing 737-8AS(WL); Y189 ; 13 Jan 2006 ;; 16.2 Years ;;;
; EI-DLE ;Boeing 737-8AS(WL); Y189 ; 9 Feb 2006 ;; 16.1 Years ;;;
; EI-DLF ;Boeing 737-8AS(WL); Y189 ; 13 Feb 2006 ;; 16.1 Years ;;;
; EI-DLG ;Boeing 737-8AS(WL); Y189 ; 14 Feb 2006 ;; 16.1 Years ;;;
; EI-DLH ;Boeing 737-8AS(WL); Y189 ; 6 Mar 2006 ; Parked ; 16 Years ;;;
; EI-DLI ;Boeing 737-8AS(WL); Y189 ; 22 Mar 2006 ;; 16 Years ;;;
; EI-DLK ;Boeing 737-8AS(WL); Y189 ; 29 Mar 2006 ;; 16 Years ;;;
; EI-DLV ;Boeing 737-8AS(WL); Y189 ; 28 Sep 2006 ;; 15.5 Years ;;;
; EI-DLW ;Boeing 737-8AS(WL); Y189 ; 17 Oct 2006 ;; 15.4 Years ;;;
; EI-DLX ;Boeing 737-8AS(WL); Y189 ; 18 Oct 2006 ;; 15.4 Years ;;;
; EI-DLY ;Boeing 737-8AS(WL); Y189 ; 26 Oct 2006 ;; 15.4 Years ;;;
; EI-DPF ;Boeing 737-8AS(WL); Y189 ; 23 Jan 2007 ;; 15.1 Years ;;;
; EI-DPG ;Boeing 737-8AS(WL); Y189 ; 26 Jan 2007 ;; 15.1 Years ;;;
; EI-DPH ;Boeing 737-8AS(WL); Y189 ; 1 Feb 2007 ;; 15.1 Years ;;;
; EI-DPI ;Boeing 737-8AS(WL); Y189 ; 7 Feb 2007 ;; 15.1 Years ;;;
; EI-DPJ ;Boeing 737-8AS(WL); Y189 ; 13 Feb 2007 ;; 15.1 Years ;;;
; EI-DPK ;Boeing 737-8AS(WL); Y189 ; 16 Feb 2007 ;; 15.1 Years ;;;
; EI-DPL ;Boeing 737-8AS(WL); Y189 ; 22 Feb 2007 ;; 15 Years ;;;
; EI-DPN ;Boeing 737-8AS(WL); Y189 ; 7 Mar 2007 ;; 15 Years ;;;
; EI-DPP ;Boeing 737-8AS(WL); Y189 ; 20 Mar 2007 ;; 15 Years ;;;
; EI-DPR ;Boeing 737-8AS(WL); Y189 ; 28 Mar 2007 ;; 15 Years ;;;
; EI-DPV ;Boeing 737-8AS(WL); Y189 ; 13 Apr 2007 ;; 14.9 Years ;;;
; EI-DPY ;Boeing 737-8AS(WL); Y189 ; 11 Sep 2007 ;; 14.5 Years ;;;
; EI-DPZ ;Boeing 737-8AS(WL); Y189 ; 12 Sep 2007 ;; 14.5 Years ;;;
; EI-DWA ;Boeing 737-8AS(WL); Y189 ; 12 Sep 2007 ;; 14.5 Years ;;;
; EI-DWB ;Boeing 737-8AS(WL); Y189 ; 18 Sep 2007 ;; 14.5 Years ;;;
; EI-DWC ;Boeing 737-8AS(WL); Y189 ; 20 Sep 2007 ;; 14.5 Years ;;;
; EI-DWD ;Boeing 737-8AS(WL); Y189 ; 25 Sep 2007 ;; 14.5 Years ;;;
; EI-DWE ;Boeing 737-8AS(WL); Y189 ; 27 Sep 2007 ;; 14.4 Years ;;;
; EI-DWF ;Boeing 737-8AS(WL); Y189 ; 3 Oct 2007 ;; 14.4 Years ;;;
; EI-DWG ;Boeing 737-8AS(WL); Y189 ; 3 Oct 2007 ;; 14.4 Years ;;;
; EI-DWH ;Boeing 737-8AS(WL); Y189 ; 19 Oct 2007 ;; 14.4 Years ;;;
; EI-DWI ;Boeing 737-8AS(WL); Y189 ; 19 Oct 2007 ;; 14.4 Years ;;;
; EI-DWJ ;Boeing 737-8AS(WL); Y189 ; 22 Oct 2007 ;; 14.4 Years ;;;
; EI-DWK ;Boeing 737-8AS(WL); Y189 ; 27 Oct 2007 ;; 14.4 Years ;;;
; EI-DWM ;Boeing 737-8AS(WL); Y189 ; 7 Nov 2007 ;; 14.3 Years ;;;
; EI-DWO ;Boeing 737-8AS(WL); Y189 ; 19 Nov 2007 ; Parked ; 14.3 Years ;;;
; EI-DWP ;Boeing 737-8AS(WL); Y189 ; 21 Nov 2007 ;; 14.3 Years ;;;
; EI-DWR ;Boeing 737-8AS(WL); Y189 ; 29 Nov 2007 ;; 14.3 Years ;;;
; EI-DWS ;Boeing 737-8AS(WL); Y189 ; 8 Jan 2008 ;; 14.2 Years ;;;
; EI-DWT ;Boeing 737-8AS(WL); Y189 ; 22 Jan 2008 ;; 14.1 Years ;;;
; EI-DWV ;Boeing 737-8AS(WL); Y189 ; 24 Jan 2008 ;; 14.1 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; EI-DWW ;Boeing 737-8AS(WL); Y189 ; 7 Feb 2008 ;; 14.1 Years ;;;
