;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; SX-AQI ; Embraer EMB-120FC Brasilia ; Cargo ; 7 Sep 2021 ;; 34.7 Years ;;
; SX-AQM ; Embraer EMB-120FC Brasilia ; Cargo ; Dec 2021 ;; 36.7 Years ;;
