;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-1011 ;Airbus A319-115(WL); C8Y120 ; 17 Jan 2018 ;lsd ; 4.1 Years ;;;
; B-1093 ;Airbus A319-115(WL); C8Y120 ; 19 Oct 2018 ;lsd ; 3.4 Years ;;;
; B-8852 ;Airbus A319-115(WL); C8Y120 ; 29 Dec 2017 ;lsd ; 4.2 Years ;;;
; B-8853 ;Airbus A319-115(WL); C8Y120 ; 29 Dec 2017 ; Parked, lsd ; 4.2 Years ;;;
; B-1071 ;Airbus A320-214(WL); Y180 ; 30 Mar 2018 ;lsd ; 4 Years ;;;
; B-1095 ;Airbus A320-214(WL); Y180 ; 29 Jun 2018 ;lsd ; 3.7 Years ;;;
; B-1630 ;Airbus A320-214(WL); Y180 ; 17 Nov 2014 ;lsd ; 7.5 Years ;;;
; B-1631 ;Airbus A320-214(WL); Y180 ; 28 Oct 2014 ;lsd ; 7.5 Years ;;;
; B-1632 ;Airbus A320-214(WL); Y180 ; 17 Nov 2014 ;lsd ; 7.4 Years ;;;
; B-1633 ;Airbus A320-214(WL); Y180 ; 25 Nov 2014 ;lsd ; 7.3 Years ;;;
; B-1856 ;Airbus A320-214(WL); Y180 ; 24 Mar 2014 ;lsd ; 8.1 Years ;;;
; B-30CP ;Airbus A320-214(WL); Y180 ; 31 Oct 2019 ;lsd ; 3.1 Years ;;;
; B-30CQ ;Airbus A320-214(WL); Y180 ; 7 Nov 2019 ;lsd ; 3 Years ;;;
; B-30DW ;Airbus A320-214(WL); Y180 ; 30 Dec 2019 ;lsd ; 2.2 Years ;;;
; B-30DX ;Airbus A320-214(WL); Y180 ; 31 Dec 2019 ;lsd ; 2.2 Years ;;;
; B-321Y ;Airbus A320-214(WL); Y180 ; 1 Dec 2020 ;lsd ; 3.5 Years ;;;
; B-323X ;Airbus A320-214(WL); Y180 ; 18 May 2021 ;lsd ; 3.5 Years ;;;
; B-6728 ;Airbus A320-214; Y174 ; 1 Oct 2010 ;lsd ; 16 Years ;;;
; B-6729 ;Airbus A320-214; Y174 ; 29 Dec 2010 ;lsd ; 15.7 Years ;;;
; B-6730 ;Airbus A320-214; Y174 ; 9 Oct 2010 ;lsd ; 15.7 Years ;;;
; B-6850 ;Airbus A320-214; Y180 ; 17 Nov 2011 ; Parked, lsd ; 11.7 Years ;;;
; B-6900 ;Airbus A320-214; Y174 ; 10 Jan 2012 ;lsd ; 16.2 Years ;;;
; B-6907 ;Airbus A320-214; Y180 ; 10 Feb 2012 ;lsd ; 10.1 Years ;;;
; B-6940 ;Airbus A320-214; Y180 ; 19 May 2012 ;lsd ; 13.3 Years ;;;
; B-8162 ;Airbus A320-214; Y180 ; 13 Jul 2015 ;lsd ; 10.8 Years ;;;
; B-8185 ;Airbus A320-214; Y180 ; 13 Aug 2015 ;lsd ; 9.7 Years ;;;
; B-8186 ;Airbus A320-214; Y180 ; 29 Jul 2015 ;lsd ; 10.1 Years ;;;
; B-8342 ;Airbus A320-214(WL); Y180 ; 17 Nov 2015 ;lsd ; 6.3 Years ;;;
; B-8345 ;Airbus A320-214(WL); Y180 ; 31 Dec 2015 ;lsd ; 6.2 Years ;;;
; B-8606 ;Airbus A320-214(WL); Y180 ; 5 Aug 2016 ;lsd ; 5.6 Years ;;;
; B-8607 ;Airbus A320-214(WL); Y180 ; 27 Sep 2016 ;lsd ; 5.5 Years ;;;
; B-8608 ;Airbus A320-214(WL); Y180 ; 14 Oct 2016 ;lsd ; 5.4 Years ;;;
; B-8609 ;Airbus A320-214(WL); Y180 ; 21 Nov 2016 ;lsd ; 5.3 Years ;;;
; B-8610 ;Airbus A320-214(WL); Y180 ; 15 Dec 2016 ;lsd ; 5.3 Years ;;;
; B-8875 ;Airbus A320-214(WL); Y180 ; 13 Feb 2017 ;lsd ; 5.1 Years ;;;
; B-8876 ;Airbus A320-214(WL); Y180 ; 21 Mar 2017 ;lsd ; 5 Years ;;;
; B-8877 ;Airbus A320-214(WL); Y180 ; 11 Apr 2017 ;lsd ; 4.9 Years ;;;
; B-8878 ;Airbus A320-214(WL); Y180 ; 10 May 2017 ;lsd ; 4.9 Years ;;;
; B-8879 ;Airbus A320-214(WL); Y180 ; 11 Jul 2017 ;lsd ; 4.7 Years ;;;
; B-9985 ;Airbus A320-214; Y174 ; 1 Nov 2013 ;lsd ; 9.6 Years ;;;
; B- ;Airbus A320-214(WL); Y180 ; On Order ;; 2 Years ;;;
; B-104X ;COMAC ARJ21-700; Y90 ; 29 Dec 2018 ;lsd ; 3.2 Years ;;;
; B-3321 ;COMAC ARJ21-700; Y90 ; 26 Nov 2015 ;; 7.3 Years ;;;
; B-3386 ;COMAC ARJ21-700; Y90 ; 19 Oct 2017 ;lsd ; 4.6 Years ;;;
; B-3387 ;COMAC ARJ21-700; Y90 ; 27 Dec 2017 ;lsd ; 4.3 Years ;;;
; B-602A ;COMAC ARJ21-700; Y90 ; 15 Oct 2018 ;lsd ; 3.4 Years ;;;
; B-602C ;COMAC ARJ21-700; Y90 ; 13 Dec 2018 ;lsd ; 3.5 Years ;;;
; B-603M ;COMAC ARJ21-700; Y90 ; 26 Jan 2019 ;lsd ; 3.1 Years ;;;
; B-603N ;COMAC ARJ21-700; Y90 ; 8 Aug 2019 ;lsd ; 2.7 Years ;;;
; B-603P ;COMAC ARJ21-700; Y90 ; 26 Sep 2019 ;lsd, Chinese Dream cs ; 2.4 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-603Z ;COMAC ARJ21-700; Cargo (Covid-19) ; 22 Sep 2019 ;lsd ; 2.5 Years ;;;
; B-604A ;COMAC ARJ21-700; Y90 ; 30 Nov 2019 ;lsd ; 2.4 Years ;;;
; B-604C ;COMAC ARJ21-700; Y90 ; 22 Nov 2019 ;lsd ; 2.4 Years ;;;
; B-604D ;COMAC ARJ21-700; Y90 ; 28 Dec 2019 ;lsd ; 2.3 Years ;;;
; B-605M ;COMAC ARJ21-700; Y90 ; 10 Jun 2020 ;lsd ; 1.9 Years ;;;
; B-605N ;COMAC ARJ21-700; Y90 ; 28 Jun 2020 ; Parked, lsd ; 1.8 Years ;;;
; B-620D ;COMAC ARJ21-700; Y90 ; 28 Sep 2020 ;lsd ; 3.3 Years ;;;
; B-620E ;COMAC ARJ21-700;; 29 Oct 2020 ;lsd ; 2.8 Years ;;;
; B-650S ;COMAC ARJ21-700; Y90 ; 27 Dec 2020 ; Parked, lsd ; 1.2 Years ;;;
; B-650T ;COMAC ARJ21-700;; 30 Mar 2021 ;lsd ; 1.2 Years ;;;
; B-651M ;COMAC ARJ21-700;; 6 Jun 2021 ;; 0.9 Years ;;;
; B-651P ;COMAC ARJ21-700;; 18 Jun 2021 ;lsd ; 0.8 Years ;;;
; B-651Q ;COMAC ARJ21-700;; 8 Sep 2021 ;lsd ; 0.7 Years ;;;
; B-651R ;COMAC ARJ21-700; Y90 ; 3 Sep 2021 ;lsd ; 0.7 Years ;;;
; B-651S ;COMAC ARJ21-700; Y90 ; 22 Dec 2021 ;; 0.5 Years ;;;
; B- ;COMAC ARJ21-700;; Due ;; 12.5 Years ;;;
; B- ;COMAC ARJ21-700;; On Order ;; 0.5 Years ;;;
