;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; EC-JBI ;ATR 72-500 (72-212A); Y72 ; Oct 2021 ; Parked ;; 17.5 Years ;;
; EC-JEH ;ATR 72-500 (72-212A); Y72 ; Oct 2021 ; Parked ;; 17.1 Years ;;
; EC-KGJ ;ATR 72-500 (72-212A); Y68 ; 22 Jun 2007 ; Parked, opby NAYSA Aerotaxis ; Madeira ; 14.7 Years ;;
; EC-KSG ;ATR 72-500 (72-212A); Y68 ; 18 Jun 2008 ;opby NAYSA Aerotaxis ; Malvasía Volcánica ; 13.7 Years ;;
; EC-KYI ;ATR 72-500 (72-212A); Y68 ; 6 Feb 2009 ;; Guarapo ; 13.1 Years ;;
; EC-LAD ;ATR 72-500 (72-212A); Y68 ; 17 Apr 2009 ;; Baifo ; 12.9 Years ;;
; EC-LFA ;ATR 72-500 (72-212A); Y68 ; 4 Mar 2010 ;opby NAYSA Aerotaxis ; Rapadura ; 12.1 Years ;;
; EC-LGF ;ATR 72-500 (72-212A); Y68 ; 30 Apr 2010 ; Parked, opby NAYSA Aerotaxis ; Pejeverde ; 11.9 Years ;;
; EC-MIF ;ATR 72-600 (72-212A); Y70 ; 17 Sep 2015 ;; Timple ; 6.5 Years ;;
; EC-MJG ;ATR 72-600 (72-212A); Y70 ; 30 Dec 2015 ;; Los Gofiones ; 6.2 Years ;;
; EC-MMM ;ATR 72-600 (72-212A); Y70 ; 2 Aug 2016 ;; Gofio ; 5.6 Years ;;
; EC-MNN ;ATR 72-600 (72-212A); Y70 ; 30 Sep 2016 ;; Maspalomas Costa Canaria ; 5.4 Years ;;
; EC-MOL ;ATR 72-600 (72-212A); Y70 ; 16 Jan 2017 ;; Los Sabandeños ; 5.3 Years ;;
; EC-MPI ;ATR 72-600 (72-212A); Y70 ; 2 Mar 2017 ;; Virgen de Los Reyes ; 5 Years ;;
; EC-MSJ ;ATR 72-600 (72-212A); Y70 ; 29 Sep 2017 ; Parked ; Virgen del Pino ; 4.5 Years ;;
; EC-MSK ;ATR 72-600 (72-212A); Y70 ; 27 Oct 2017 ;; La Graciosa ; 4.4 Years ;;
; EC-MTQ ;ATR 72-600 (72-212A); Y70 ; 1 Dec 2017 ;; Virgen de La Candelaria ; 4.3 Years ;;
; EC-MVI ;ATR 72-600 (72-212A); Y70 ; 2 Mar 2018 ;; La Palma Isla Bonita ; 4 Years ;;
; EC-MXQ ;ATR 72-600 (72-212A); Y70 ; 26 Apr 2018 ;; Bentayga ; 3.9 Years ;;
; EC-MYT ;ATR 72-600 (72-212A); Y70 ; 24 May 2018 ;; Cabildos Insulares ; 3.8 Years ;;
; EC-NDD ;ATR 72-600 (72-212A); Y70 ; 14 Jun 2019 ;; Perenquén ; 2.7 Years ;;
; EC-NGF ;ATR 72-600 (72-212A); Y70 ; 20 Sep 2019 ;; Isla del Meridiano ; 2.5 Years ;;
; EC-NGG ;ATR 72-600 (72-212A); Y70 ; 12 Sep 2019 ;; Mojo Picón ; 2.5 Years ;;
; EC-NJK ;ATR 72-600 (72-212A); Y70 ; 26 Jun 2020 ;;; 1.9 Years ;;
; EC-NMF ;ATR 72-600 (72-212A); Y70 ; 27 Nov 2020 ;; Teide ; 1.3 Years ;;
; EC-NQR ;ATR 72-600 (72-212A); Y70 ; 26 Nov 2021 ;; Virgen de las Nieves ; 0.3 Years ;;
; EC-NSF ;ATR 72-600 (72-212A);; On Order ;;;;;
; EC-NSG ;ATR 72-600 (72-212A);; On Order ;;;;;
; EC-NEZ ;Embraer E195-E2 (ERJ 190-400 STD); Y132 ; 3 Dec 2019 ;; Islas Canarias ; 2.3 Years ;;
; EC-NFA ;Embraer E195-E2 (ERJ 190-400 STD); Y132 ; 6 Dec 2019 ;; Tenerife ; 2.3 Years ;;
; EC-NHA ;Embraer E195-E2 (ERJ 190-400 STD); Y132 ; 30 Dec 2019 ;; Gran Canaria ; 2.2 Years ;;
; EC-NNV ;Embraer E195-E2 (ERJ 190-400 STD); Y132 ; 18 Mar 2021 ;; Lanzarote ; 1 Years ;;
; EC-NPU ;Embraer E195-E2 (ERJ 190-400 STD); Y132 ; 15 Jun 2021 ;; Fuerteventura ; 0.8 Years ;;
