;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; RA-02857 ;Embraer EMB-135BJ Legacy; VIP ; Aug 2012 ;; 20.2 Years ;;
; VP-BNB ;Embraer EMB-135BJ Legacy 650; VIP ; 8 Jun 2021 ;; 11.3 Years ;;
