;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; B-20AM ;Boeing 737-8 MAX;; On Order ;; 2.7 Years ;;
; B-20C2 ;Boeing 737-8 MAX;; On Order ;; 2.5 Years ;;
; B-20CY ;Boeing 737-8 MAX;; On Order ;; 2.3 Years ;;
; B- ;Boeing 737-8 MAX;; On Order ;;;;
; B- ;Boeing 737-8 MAX;; On Order ;;;;
; B-1104 ;Boeing 737-83Z(WL); C8Y162 ; 30 Jun 2018 ;lsd ; 3.7 Years ;;
; B-1105 ;Boeing 737-83Z(WL); C8Y162 ; 31 Aug 2018 ;lsd ; 3.6 Years ;;
; B-1159 ;Boeing 737-83Z(WL); C8Y162 ; 21 Dec 2018 ;lsd ; 3.2 Years ;;
; B-1415 ;Boeing 737-83Z(WL); C8Y162 ; 30 Jun 2017 ;lsd ; 4.8 Years ;;
; B-1462 ;Boeing 737-83Z(WL); C8Y162 ; 29 Aug 2017 ;lsd ; 4.5 Years ;;
; B-1532 ;Boeing 737-83Z(WL); C8Y162 ; 31 May 2016 ;lsd ; 5.8 Years ;;
; B-1533 ;Boeing 737-83Z(WL); C8Y162 ; 10 Jun 2016 ;lsd ; 5.7 Years ;;
; B-1575 ;Boeing 737-83Z(WL); C8Y162 ; 21 Dec 2016 ;lsd ; 5.3 Years ;;
; B-1590 ;Boeing 737-83Z(WL); C8Y162 ; 31 Mar 2017 ;lsd ; 5.1 Years ;;
; B-1705 ;Boeing 737-86J(WL); Y186 ; 25 Jun 2014 ;lsd ; 7.7 Years ;;
; B-1770 ;Boeing 737-8Q8(WL); C8Y162 ; 28 Jan 2015 ;lsd ; 7.1 Years ;;
; B-1771 ;Boeing 737-8Q8(WL); C8Y162 ; 9 Feb 2015 ;lsd ; 7.1 Years ;;
; B-204N ;Boeing 737-83Z(WL); Y186 ; 17 Dec 2018 ;lsd ; 3.3 Years ;;
; B-5311 ;Boeing 737-8Q8; C8Y159 ; 14 Feb 2014 ;lsd ; 15.1 Years ;;
; B-5313 ;Boeing 737-8Q8; C8Y159 ; 27 Mar 2014 ;lsd ; 15 Years ;;
; B-6980 ;Boeing 737-83Z(WL); C8Y162 ; 18 Sep 2015 ;lsd ; 6.6 Years ;;
; B-6981 ;Boeing 737-83Z(WL); C8Y162 ; 17 Dec 2015 ;lsd ; 6.2 Years ;;
; B-6982 ;Boeing 737-83Z(WL); C8Y162 ; 6 Nov 2015 ;lsd ; 6.4 Years ;;
; B-6983 ;Boeing 737-83Z(WL); C8Y162 ; 24 Sep 2015 ;lsd ; 6.4 Years ;;
; B-7100 ;Boeing 737-8Q8(WL); C8Y162 ; 11 May 2016 ;lsd ; 6.4 Years ;;
; B-7300 ;Boeing 737-83Z(WL); C8Y162 ; 19 Dec 2017 ;lsd ; 4.4 Years ;;
; B-7630 ;Boeing 737-83Z(WL); C8Y162 ; 13 Apr 2016 ;lsd ; 5.9 Years ;;
; B-7631 ;Boeing 737-83Z(WL); C8Y162 ; 21 Dec 2016 ;lsd ; 5.6 Years ;;
