;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; UR-CTC ;Antonov An-148-100E;; 7 Oct 2021 ;; 10.4 Years ;;
; UR-CTF ;Antonov An-148-100E;; 7 Oct 2021 ;; 9.5 Years ;;
; UR- ;Antonov An-148-100E;; Due ; Stored, lsd ; 9.9 Years ;;
