;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N207AX ;Boeing 767-224ER;; 28 Oct 2015 ;Kiani, lsd ;; 20.6 Years ;;
; N225AX ;Boeing 767-224ER; C18Y194 ; Sep 2011 ;lsd ;; 21.1 Years ;;
; N234AX ;Boeing 767-224ER;; 2 Sep 2016 ;;; 20.9 Years ;;
; N342AX ;Boeing 767-328ER;; 11 Jan 2015 ;lsd ;; 28.8 Years ;;
; N351AX ;Boeing 767-33AER;; 11 Aug 2009 ;lsd ; 351 ; 26.8 Years ;;
; N378AX ;Boeing 767-33AER;; 11 Aug 2009 ;lsd ;; 25.9 Years ;;
; N423AX ;Boeing 767-324ER;; 24 Apr 2015 ;lsd ;; 26.1 Years ;;
; N441AX ;Boeing 767-36NER;; 3 Oct 2014 ;lsd ;; 22.7 Years ;;
; N468AX ;Boeing 767-36NER;; 6 Feb 2020 ;;; 20.1 Years ;;
; N477AX ;Boeing 767-3Q8ER;; 17 May 2016 ;lsd ; 477 ; 20 Years ;;
; N486AX ;Boeing 767-36NER;; 26 Oct 2020 ;lsd ; 486 ; 20 Years ;;
; N495AX ;Boeing 767-316ER(WL);; 4 May 2018 ;lsd ;; 25 Years ;;
; N819AX ;Boeing 777-2U8ER; Y381 ; 31 Mar 2016 ;lsd ;; 17.8 Years ;;
; N828AX ;Boeing 777-2U8ER; Y381 ; 13 Jan 2017 ;lsd ;; 16.9 Years ;;
; N846AX ;Boeing 777-2U8ER; Y381 ; 17 Feb 2016 ;lsd ;; 15.1 Years ;;
