;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; XA-ACO ;Airbus A320-214; Y150 ; 23 Feb 2006 ; Parked, lsd ; 21.4 Years ;;
; XA-ABM ;Sukhoi Superjet 100-95B; Y93 ; 19 Dec 2013 ; Parked TLC ; 8.7 Years ;;
; XA-ALJ ;Sukhoi Superjet 100-95B; Y93 ; 21 Oct 2014 ; Parked TLC ; 8.2 Years ;;
; XA-BMO ;Sukhoi Superjet 100-95B; Y93 ; 2 Oct 2014 ; Parked TLC ; 8.2 Years ;;
; XA-BVM ;Sukhoi Superjet 100-95B; Y93 ; 4 Jul 2015 ; Parked MEX ; 7.6 Years ;;
; XA-DAS ;Sukhoi Superjet 100-95B; Y93 ; 4 Mar 2016 ; Parked MEX ; 7.2 Years ;;
; XA-GCD ;Sukhoi Superjet 100-95B; Y93 ; 27 Feb 2015 ; Parked MEX ; 7.9 Years ;;
; XA-IJR ;Sukhoi Superjet 100-95B; Y93 ; 2 Aug 2013 ; Parked MEX ; 9.2 Years ;;
; XA-JBA ;Sukhoi Superjet 100-95B; Y93 ; 1 Apr 2016 ; Parked MEX ; 7.2 Years ;;
; XA-JLG ;Sukhoi Superjet 100-95B; Y93 ; 18 Jun 2013 ; Parked MEX ; 9.5 Years ;;
; XA-JLP ;Sukhoi Superjet 100-95B; Y93 ; 6 Jun 2014 ; Parked TLC ; 8.3 Years ;;
; XA-JLV ;Sukhoi Superjet 100-95B; Y93 ; 5 Nov 2013 ; Parked TLC ; 8.9 Years ;;
; XA-LLV ;Sukhoi Superjet 100-95B; Y93 ; 19 Dec 2014 ; Parked TLC ; 7.8 Years ;;
; XA-LME ;Sukhoi Superjet 100-95B; Y93 ; 3 Sep 2014 ; Parked TLC ; 8.2 Years ;;
; XA-MRM ;Sukhoi Superjet 100-95B; Y93 ; 19 Jul 2016 ; Parked MEX ; 7 Years ;;
; XA-NGO ;Sukhoi Superjet 100-95B; Y93 ; 7 Nov 2015 ; Parked TLC ; 7.4 Years ;;
; XA-NSG ;Sukhoi Superjet 100-95B; Y93 ; 1 Feb 2014 ; Parked TLC ; 8.5 Years ;;
; XA-OAA ;Sukhoi Superjet 100-95B; Y93 ; 14 Mar 2014 ; Parked TLC ; 8.4 Years ;;
; XA-OUI ;Sukhoi Superjet 100-95B; Y93 ; 21 Apr 2015 ; Parked TLC ; 8.1 Years ;;
; XA-PBA ;Sukhoi Superjet 100-95B; Y93 ; 24 Apr 2014 ; Parked MEX ; 8.3 Years ;;
; XA-PPY ;Sukhoi Superjet 100-95B; Y93 ; 18 May 2015 ; Parked MEX ; 7.6 Years ;;
; XA-VAS ;Sukhoi Superjet 100-95B; Y93 ; 15 Dec 2015 ; Parked MEX ; 7.6 Years ;;
; XA-VER ;Sukhoi Superjet 100-95B; Y93 ; 21 Nov 2015 ; Parked MEX ; 7.2 Years ;;
