;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; C-FYIY ;Airbus A319-114; C12Y124 ; 10 Apr 2014 ; Parked MZJ ; 252 ; 25.2 Years ;;
; C-FYJE ;Airbus A319-114; C12Y124 ; 22 Nov 2013 ; Parked MZJ ; 255 ; 25 Years ;;
; C-FYJG ;Airbus A319-114; C12Y124 ; 10 Dec 2013 ; Parked MZJ ; 256 ; 24.9 Years ;;
; C-FYJH ;Airbus A319-114; C12Y124 ; 8 Oct 2013 ; Parked MZJ ; 257 ; 24.9 Years ;;
; C-FYJP ;Airbus A319-114; C12Y124 ; 15 Nov 2013 ; Parked MZJ ; 259 ; 24.7 Years ;;
; C-FYKW ;Airbus A319-114; C12Y124 ; 5 Dec 2013 ; Parked MZJ ; 262 ; 24.7 Years ;;
; C-FYNS ;Airbus A319-114; C12Y124 ; 28 Mar 2014 ; Parked ; 251 ; 26.3 Years ;;
; C-FZUG ;Airbus A319-114; C12Y124 ; 27 Feb 2014 ; Parked MZJ ; 263 ; 24.6 Years ;;
; C-GARJ ;Airbus A319-114; C12Y124 ; 10 Mar 2014 ;; 272 ; 24.3 Years ;;
; C-GARO ;Airbus A319-114; C12Y124 ; 4 Feb 2014 ; Parked MZJ ; 273 ; 24.2 Years ;;
; C-GBHO ;Airbus A319-114; C12Y124 ; 13 Feb 2014 ;; 276 ; 24.1 Years ;;
; C-GBHR ;Airbus A319-114; C12Y124 ; 12 Dec 2013 ;; 277 ; 24.1 Years ;;
; C-GBHY ;Airbus A319-114; C12Y124 ; 6 May 2014 ; Parked MZJ ; 278 ; 24 Years ;;
; C-GBHZ ;Airbus A319-114; C12Y124 ; 16 Apr 2014 ; Parked ; 279 ; 23.9 Years ;;
; C-GBIJ ;Airbus A319-114; C12Y124 ; 20 Oct 2014 ;; 281 ; 23.8 Years ;;
; C-GBIM ;Airbus A319-114; C12Y124 ; 5 Jun 2014 ;; 283 ; 23.8 Years ;;
; C-GBIN ;Airbus A319-114; C12Y124 ; 29 May 2014 ;; 284 ; 23.7 Years ;;
; C-GITP ;Airbus A319-112; C12Y124 ; 24 May 2018 ;lsd ; 286 ; 20.6 Years ;;
; C-GITR ;Airbus A319-112; C12Y124 ; 12 Jun 2018 ;lsd ; 287 ; 20.5 Years ;;
; C-GSJB ;Airbus A319-112; C12Y124 ; 29 May 2013 ; Parked MCI, lsd ; 290 ; 20.1 Years ;;
; C-GFCH ;Airbus A320-214; C12Y156 ; 12 Mar 2019 ;lsd ; 243 ; 14.7 Years ;;
; C-GFCI ;Airbus A320-214; C12Y156 ; 12 Mar 2019 ;lsd ; 244 ; 14.4 Years ;;
; C-GFCP ;Airbus A320-214; C12Y156 ; 10 May 2019 ;lsd ; 245 ; 14.9 Years ;;
; C-GFDU ;Airbus A320-214; C12Y156 ; 30 Oct 2019 ;lsd ; 246 ; 14.8 Years ;;
; C-GFWX ;Airbus A320-214; C12Y156 ; 2 Feb 2021 ;lsd ; 247 ; 14.3 Years ;;
; C-FJOK ;Airbus A321-211(WL); C16Y184 ; 2 Nov 2015 ;lsd ; 468 ; 6.3 Years ;;
; C-FJOU ;Airbus A321-211(WL); C16Y184 ; 30 Nov 2015 ;lsd ; 469 ; 6.3 Years ;;
; C-FJQD ;Airbus A321-211(WL); C16Y184 ; 3 Dec 2015 ;lsd ; 470 ; 6.3 Years ;;
; C-FJQH ;Airbus A321-211(WL); C16Y184 ; 17 Dec 2015 ;lsd ; 471 ; 6.2 Years ;;
; C-FJQL ;Airbus A321-211(WL); C16Y184 ; 23 May 2016 ;lsd ; 472 ; 5.8 Years ;;
; C-FYXF ;Airbus A321-211; C12Y184 ; 22 Jan 2018 ;lsd ; 474 ; 10.1 Years ;;
; C-GHPD ;Airbus A321-211; C12Y184 ; 28 Jan 2019 ;; 475 ; 8.7 Years ;;
; C-GHPJ ;Airbus A321-211; C12Y184 ; 31 Jan 2019 ;; 476 ; 8.6 Years ;;
; C-GHQG ;Airbus A321-211(WL); C12Y184 ; 31 Jan 2019 ; Parked ; 477 ; 7.6 Years ;;
; C-GHQI ;Airbus A321-211(WL); C12Y184 ; 31 Jan 2019 ;; 478 ; 7.6 Years ;;
; C-GJTH ;Airbus A321-211(WL); C12Y184 ; 12 Jun 2019 ;lsd ; 479 ; 5.3 Years ;;
; C-GJTX ;Airbus A321-211(WL); C16Y184 ; 5 Jun 2019 ;lsd ; 480 ; 4.8 Years ;;
; C-GKFA ;Airbus A321-211(WL); C12Y184 ; 28 Jun 2019 ;lsd ; 481 ; 4.1 Years ;;
; C-GKFB ;Airbus A321-211(WL); C12Y184 ; 4 Jul 2019 ;lsd ; 482 ; 3.9 Years ;;
