;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; VQ-BLC ;ATR 72-500 (72-212A); Y70 ; 20 May 2011 ; Parked ;; 10.9 Years ;;
; VQ-BLD ;ATR 72-500 (72-212A); Y70 ; 25 May 2011 ;;; 10.8 Years ;;
; VQ-BLE ;ATR 72-500 (72-212A); Y70 ; 3 Jun 2011 ;;; 10.8 Years ;;
; VQ-BLF ;ATR 72-500 (72-212A);; 6 Jun 2011 ;;; 10.8 Years ;;
; VQ-BLG ;ATR 72-500 (72-212A);; 27 Jun 2011 ;;; 10.7 Years ;;
; VQ-BLH ;ATR 72-500 (72-212A); Y68 ; 2 Jul 2011 ;;; 10.7 Years ;;
; VQ-BLI ;ATR 72-500 (72-212A);; 4 Aug 2011 ;;; 10.6 Years ;;
; VQ-BLJ ;ATR 72-500 (72-212A);; 10 Aug 2011 ;;; 10.6 Years ;;
; VQ-BLK ;ATR 72-500 (72-212A); Y68 ; 2 Nov 2011 ;;; 10.4 Years ;;
; VQ-BLL ;ATR 72-500 (72-212A); Y68 ; 10 Nov 2011 ;;; 10.3 Years ;;
; VQ-BLM ;ATR 72-500 (72-212A); Y68 ; 30 Nov 2011 ;;; 10.3 Years ;;
; VQ-BLN ;ATR 72-500 (72-212A); Y68 ; 12 Dec 2011 ;;; 10.3 Years ;;
; VQ-BMA ;ATR 72-500 (72-212A); Y68 ; 15 Dec 2011 ;;; 10.2 Years ;;
; VQ-BMB ;ATR 72-500 (72-212A); Y68 ; 20 Dec 2011 ; Parked ;; 10.2 Years ;;
; VQ-BMD ;ATR 72-500 (72-212A); Y68 ; 17 Feb 2012 ;;; 10 Years ;;
; VP-BAJ ;Boeing 737-8 MAX;; On Order ;lsd ;; 2.4 Years ;;
; VQ-BIK ;Boeing 737-8 MAX;; On Order ;lsd ;; 2.8 Years ;;
; VQ-BIN ;Boeing 737-8 MAX;; On Order ;lsd ;; 2.8 Years ;;
; RA-73068 ;Boeing 737-45S; Y159 ; Feb 2022 ;lsd ;; 22.1 Years ;;
; VQ-BHZ ;Boeing 737-46M; Y159 ; 27 Jan 2017 ;lsd ;; 25.2 Years ;;
; VQ-BIC ;Boeing 737-45S; Y159 ; 7 Dec 2010 ; Parked, lsd ; Петр Панов ; 22.2 Years ;;
; VQ-BIE ;Boeing 737-45S; Y159 ; 17 Sep 2010 ; Parked, lsd ; Антонина Григорьева ; 23 Years ;;
; VQ-BIF ;Boeing 737-45S; Y159 ; 12 Mar 2015 ;lsd ;; 23.8 Years ;;
; VQ-BIG ;Boeing 737-45S; Y159 ; 8 Sep 2010 ;lsd ; Василий Бахилов ; 23.9 Years ;;
; RA-73045 ;Boeing 737-524(WL); C8Y106 ; Jan 2022 ;;; 24.5 Years ;;
; RA-73048 ;Boeing 737-524(WL); Y126 ; 15 Dec 2021 ;;; 24.1 Years ;;
; VP-BFS ;Boeing 737-524(WL); Y126 ; 12 May 2015 ; Parked ;; 26.9 Years ;;
; VP-BVL ;Boeing 737-524; Y126 ; 7 Dec 2007 ; Parked, lsd ;; 23.5 Years ;;
; VP-BVN ;Boeing 737-524; Y126 ; 17 Jun 2008 ;lsd ;; 26 Years ;;
; VP-BVZ ;Boeing 737-524(WL); Y126 ; 14 Jul 2008 ; Parked, lsd ;; 23.6 Years ;;
; VP-BXQ ;Boeing 737-524(WL); Y126 ; 13 Aug 2009 ;;; 28.1 Years ;;
; VP-BXR ;Boeing 737-524(WL); Y126 ; 10 Sep 2009 ;;; 28.1 Years ;;
; VP-BXY ;Boeing 737-524(WL); Y126 ; 2 Oct 2009 ;;; 27.6 Years ;;
; VP-BYL ;Boeing 737-524; Y126 ; 26 Aug 2008 ;lsd ;; 23.7 Years ;;
; VP-BYM ;Boeing 737-524(WL); Y126 ; 12 Sep 2008 ; Parked, lsd ;; 23.9 Years ;;
; VQ-BAD ;Boeing 737-524(WL); Y126 ; 17 Dec 2008 ;; Степан Повх ; 27.5 Years ;;
; VQ-BJM ;Boeing 737-524(WL); Y126 ; 13 Apr 2011 ;;; 24.2 Years ;;
; VQ-BJN ;Boeing 737-524(WL); Y126 ; 10 May 2011 ;;; 24.2 Years ;;
; VQ-BJQ ;Boeing 737-524(WL); Y126 ; 23 Jan 2012 ; Parked ;; 24.5 Years ;;
; VQ-BJT ;Boeing 737-524(WL); Y126 ; 23 Sep 2011 ;;; 24.6 Years ;;
; VQ-BJV ;Boeing 737-524(WL); Y126 ; 8 Aug 2011 ; Parked ;; 24.1 Years ;;
; VQ-BPP ;Boeing 737-524(WL); Y126 ; 5 Mar 2012 ;;; 24.4 Years ;;
; VQ-BPQ ;Boeing 737-524(WL); Y126 ; 23 Mar 2012 ;;; 24.3 Years ;;
; VQ-BPR ;Boeing 737-524(WL); Y126 ; 23 May 2012 ; Parked ;; 24.3 Years ;;
; VQ-BPS ;Boeing 737-524(WL); Y126 ; 27 Mar 2012 ; Parked ;; 24.3 Years ;;
; VQ-BDD ;Boeing 737-8EH(WL); Y186 ; 5 Mar 2021 ;lsd ;; 12.2 Years ;;
; VQ-BDG ;Boeing 737-84P(WL); Y186 ; 20 Apr 2019 ;lsd ;; 15.1 Years ;;
; VQ-BDH ;Boeing 737-8S3(WL); Y186 ; 25 Apr 2018 ; Parked, lsd ;; 21 Years ;;
; VQ-BDP ;Boeing 737-85R(WL); Y186 ; 2 Sep 2021 ;lsd ; Геннадий Богомяков ; 15.9 Years ;;
; VQ-BDR ;Boeing 737-8EH(WL); Y186 ; 23 Apr 2021 ;lsd ;; 12.5 Years ;;
