;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;
; N401SV ;ATR 42-600; Y46 ; 14 Mar 2019 ;lsd ; 401 ; Fast and Fuchsia / Bandit ; 4.6 Years ;;
; N402SV ;ATR 42-600; Y46 ; 12 Mar 2019 ;lsd ; 402 ; Pink Sands / Sandy ; 4.3 Years ;;
; N403SV ;ATR 42-600; Y46 ; 17 Aug 2019 ;lsd ; 403 ; Sunshine State of Mind / Sunny ; 4.2 Years ;;
; N405SV ;ATR 42-600; Y46 ; 26 Nov 2019 ;lsd ; 405 ; Flip Flops Optional / Zoë ; 3.7 Years ;;
; N406SV ;ATR 42-600; Y46 ; 22 Nov 2019 ;lsd ; 406 ; Pinky Promise ; 3.4 Years ;;
; N407SV ;ATR 42-600; Y46 ; 23 Jan 2020 ;lsd ; 407 ; Life's a Beach ; 2.5 Years ;;
; N408SV ;ATR 42-600; Y46 ; 6 Dec 2021 ;; 408 ; Island Time ; 0.4 Years ;;
; N409SV ;ATR 42-600; Y46 ; 12 Jan 2022 ;lsd ; 409 ; Silver Lining ; 0.3 Years ;;
; N700SV ;ATR 72-600 (72-212A); Y70 ; 18 Aug 2019 ; Parked YQB, lsd ; 700 ; Rocket City ; 3 Years ;;
; N702SV ;ATR 72-600 (72-212A); Y70 ; 16 Jan 2020 ;lsd ; 702 ; Bahama Mama ; 2.6 Years ;;
; N703SV ;ATR 72-600 (72-212A); Y70 ; 27 Feb 2020 ;lsd ; 703 ; Conch Republic ; 2.7 Years ;;
; N705SV ;ATR 72-600 (72-212A); Y70 ; 29 Apr 2021 ;lsd ; 705 ; Silver Warrior ; 9.5 Years ;;
; N919AZ ;ATR 72-500(F) (72-212A); Cargo ; 28 Jul 2021 ;lsf Amazon Services LLC, opf Amazon Prime Air ;;; 13 Years ;;
; N929AZ ;ATR 72-500(F) (72-212A); Cargo ; 30 Jul 2021 ;lsd, opf Amazon Prime Air ;;; 15.9 Years ;;
; N937AZ ;ATR 72-500 (72-212A); Cargo ; 7 Sep 2021 ;lsd, opf Amazon Prime Air ;;; 15.2 Years ;;
; N947AZ ;ATR 72-500 (72-212A); Cargo ; 22 Oct 2021 ;lsd, opf Amazon Prime Air ;;; 18.8 Years ;;
; N967AZ ;ATR 72-500 (72-212A); Cargo ; 8 Oct 2021 ;;;; 17.3 Years ;;
; N328AG ;Saab 340B+; Y34 ; 20 Feb 2014 ;; 328 ; Aspirations ; 24.3 Years ;;
; N336AG ;Saab 340B+; Y34 ; 31 Dec 2013 ;Pensacola Blue Wahoos cs ; 336 ; Kazoo ; 24 Years ;;
; N350AG ;Saab 340B+; Y34 ; 12 Feb 2014 ;; 350 ; Smooth Landing ; 23.4 Years ;;
; N362AG ;Saab 340B+; Y34 ; 23 Jan 2014 ;; 362 ; Begin With The End In Mind ; 23.9 Years ;;
