;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; G-IACY ;ATR 72-600 (72-212A); Y72 ; 8 Sep 2017 ;lsd ; 4.5 Years ;;
; G-IACZ ;ATR 72-600 (72-212A); Y72 ; 1 Mar 2018 ;lsd ; 4.1 Years ;;
; G-MAJA ;British Aerospace Jetstream 41 (4100); Y29 ; 17 Jul 2003 ;; 27.9 Years ;;
; G-MAJB ;British Aerospace Jetstream 41 (4100); Y29 ; 17 Jul 2003 ;; 28.6 Years ;;
; G-MAJK ;British Aerospace Jetstream 41 (4100); Y29 ; 6 Mar 2012 ;; 26.6 Years ;;
; G-MAJL ;British Aerospace Jetstream 41 (4100); Y29 ; 28 Oct 2001 ;; 25.8 Years ;;
; G-MAJT ;British Aerospace Jetstream 41 (4100); Y29 ; 17 May 2013 ;; 27.3 Years ;;
; G-MAJU ;British Aerospace Jetstream 41 (4100); Y29 ; 10 Apr 2006 ; Parked ; 26.4 Years ;;
; G-MAJY ;British Aerospace Jetstream 41 (4102); Y29 ; 8 Jun 2006 ; Parked ; 25 Years ;;
; G-MAJZ ;British Aerospace Jetstream 41 (4102); Y29 ; 8 Jun 2006 ;; 24.9 Years ;;
; G-CLSN ;Embraer ERJ-190LR (ERJ-190-100 LR); Y106 ; 14 May 2021 ;; 14.3 Years ;;
