;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N203BZ ;Airbus A220-300; C36Y90 ; 15 Dec 2021 ; Parked, lsd ; 203 ; 0.4 Years ;;
; N ;Airbus A220-300; C36Y90 ; On Order ;;;;;
; N ;Airbus A220-300; C36Y90 ; On Order ;;;;;
; N ;Airbus A220-300; C36Y90 ; On Order ;;;;;
; N ;Airbus A220-300; C36Y90 ; On Order ;;;;;
; N ;Airbus A220-300; C36Y90 ; On Order ;;; 0.2 Years ;;
; N102BZ ;Embraer ERJ-190AR (ERJ-190-100 IGW); Y108 ; 15 Jul 2021 ;lsd ; 102 ; 15.3 Years ;;
; N108BZ ;Embraer ERJ-190AR (ERJ-190-100 IGW); Y108 ; 7 Jul 2021 ;lsd ; 108 ; 15 Years ;;
; N110BZ ;Embraer ERJ-190AR (ERJ-190-100 IGW); Y108 ; 14 Jul 2021 ;lsd ; 110 ; 15 Years ;;
; N112BZ ;Embraer ERJ-190AR (ERJ-190-100 IGW); Y108 ; 20 Jul 2021 ;lsd ; 112 ; 14.9 Years ;;
; N114BZ ;Embraer ERJ-190AR (ERJ-190-100 IGW); Y108 ; 12 Aug 2021 ;lsd ; 114 ; 14.7 Years ;;
; N115BZ ;Embraer ERJ-190AR (ERJ-190-100 IGW); Y108 ; 23 Jun 2021 ;lsd ; 115 ; 14.6 Years ;;
; N116BZ ;Embraer ERJ-190AR (ERJ-190-100 IGW); Y108 ; 26 Jul 2021 ;lsd ; 116 ; 14.5 Years ;;
; N120BZ ;Embraer ERJ-190AR (ERJ-190-100 IGW); Y108 ; 13 Jul 2021 ;lsd ; 120 ; 14.5 Years ;;
; N126BZ ;Embraer ERJ-190AR (ERJ-190-100 IGW); Y108 ; 13 Jul 2021 ; Parked, lsd ; 126 ; 14.4 Years ;;
; N128BZ ;Embraer ERJ-190AR (ERJ-190-100 IGW); Y108 ; 1 Oct 2021 ;lsd ; 128 ; 14.3 Years ;;
; N137BZ ;Embraer ERJ-195LR (ERJ-190-200 LR);; Due ; Stored, lsd ;; 13.7 Years ;;
; N140BZ ;Embraer ERJ-195LR (ERJ-190-200 LR);; Due ; Stored, lsd ;; 13.2 Years ;;
; N143BZ ;Embraer ERJ-195LR (ERJ-190-200 LR);; Due ; Stored, lsd ;; 12.9 Years ;;
; N145BZ ;Embraer ERJ-195LR (ERJ-190-200 LR);; Due ; Stored, lsd ;; 12.9 Years ;;
; N190BZ ;Embraer ERJ-195AR (ERJ-190-200 IGW); Y118 ; 30 Dec 2020 ;lsd ; 190 ; 8 Years ;;
; N192BZ ;Embraer ERJ-195AR (ERJ-190-200 IGW); Y118 ; 22 Mar 2021 ;lsd ; 192 ; 8 Years ;;
; N193BZ ;Embraer ERJ-195AR (ERJ-190-200 IGW); Y118 ; 24 May 2021 ;lsd ; 193 ; 8.3 Years ;;
