;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N331CK ;Boeing 737-3Y0(BDSF); Cargo ; 2 Oct 2017 ;; 331 ; 34.9 Years ;;
; N332CK ;Boeing 737-375(BDSF); Cargo ; 7 Nov 2018 ;; 332 ; 34.8 Years ;;
; N335CK ;Boeing 737-3Y0(BDSF); Cargo ; 2 Aug 2021 ;; 335 ; 29.5 Years ;;
; N336CK ;Boeing 737-3Y0(BDSF); Cargo ; 21 Dec 2021 ;; 336 ; 29.6 Years ;;
; N129AC ;Boeing 737-4Q8(SF); Cargo ; 15 Dec 2021 ;;; 30 Years ;;
; N311GT ;Boeing 737-4K5(SF); Cargo ; 7 Jun 2020 ;lsf DHL, opf DHL ; 311 ; 26.9 Years ;;
; N405CK ;Boeing 737-436(SF); Cargo ; 13 Feb 2019 ;; 405 ; 30.3 Years ;;
; N730CK ;Boeing 737-4C9(SF); Cargo ; 11 Dec 2014 ;; 730 ; 30 Years ;;
; N732CK ;Boeing 737-405(SF); Cargo ; 22 Feb 2016 ;; 732 ; 32.7 Years ;;
; N733CK ;Boeing 737-436(SF); Cargo ; 14 Aug 2017 ;opf DHL ; 733 ; 29.4 Years ;;
; N734CK ;Boeing 737-436(SF); Cargo ; 31 Aug 2018 ;opf DHL ; 734 ; 28.5 Years ;;
