;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; HK-5288 ;Boeing 737-48E; C12Y132 ; 25 Sep 2018 ;; 25 Years ;;
; HK-5304 ;Boeing 737-430; C12Y132 ; 22 Jan 2021 ;lsd ; 29.5 Years ;;
; HK-5338 ;Boeing 737-4B7; C12Y132 ; 3 Sep 2019 ;; 31.6 Years ;;
; HK- ;Boeing 737-401; C12Y132 ; Due ;; 33.1 Years ;;
; HK- ;Boeing 737-401; C12Y132 ; Due ; Stored ; 32.7 Years ;;
; HK-5301 ;Fokker F50; Y50 ; 24 Oct 2018 ; Parked ; 31.5 Years ;;
; HK-5302 ;Fokker F50; Y50 ; 25 Oct 2018 ; Parked ; 31.7 Years ;;
; HK-5303 ;Fokker F50; Y50 ; 25 Oct 2018 ; Parked ; 31.4 Years ;;
; HK- ;Fokker F50; Y50 ; Due ; Stored ; 31.5 Years ;;
; HK- ;Fokker F50; Y50 ; Due ; Stored ; 31.7 Years ;;
