;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; C-FAFS ;ATR 42-300;; 27 Jun 2013 ; Parked ; 428 ; 28.7 Years ;;
; C-FCIJ ;ATR 42-320(F); Cargo ; 28 Nov 2008 ;; 424F ; 32.9 Years ;;
; C-FECI ;ATR 42-320;; 29 Mar 2010 ;lsd ; 425C ; 31.6 Years ;;
; C-FJYW ;ATR 42-300;; 11 Jun 2007 ;; 422 ; 30.8 Years ;;
; C-FMAK ;ATR 42-320;; 16 Nov 2007 ;; 423 ; 32.8 Years ;;
; C-GDSS ;ATR 42-320;; 20 Feb 2013 ;;; 29.4 Years ;;
; C-GKKR ;ATR 42-320;; 19 Jul 2012 ;;; 31.7 Years ;;
; C-FCRZ ;ATR 72-202(F); Cargo ; 22 Sep 2010 ;;; 28.9 Years ;;
; C-FINB ;ATR 72-202;; 14 Feb 2017 ;;; 25.2 Years ;;
; C-FJCQ ;ATR 72-202(QC);; 3 Feb 2014 ;;; 29.8 Years ;;
; C-FJKQ ;ATR 72-500 (72-212A);; 28 Jun 2021 ;;; 12.3 Years ;;
; C-FULE ;ATR 72-202(F); Tanker ; 10 Jan 2010 ;lsd ; 721F ; 31.1 Years ;;
; C-GPBR ;ATR 72-202;; 17 Sep 2014 ;;; 30.5 Years ;;
; C-GREJ ;ATR 72-500 (72-212A);; 2 Feb 2022 ; Parked COE ;; 17.8 Years ;;
; C-FAPU ;Dornier Do-328JET-310; Y30 ; 20 Sep 2012 ;lsd ; 322 ; 22 Years ;;
