;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-1023 ;Airbus A320-214(WL); Y186 ; 28 Feb 2018 ;lsd ; 4.1 Years ;;;
; B-1025 ;Airbus A320-214(WL); Y186 ; 12 Jan 2018 ;lsd ; 4.1 Years ;;;
; B-1026 ;Airbus A320-214(WL); Y186 ; 21 Dec 2017 ;lsd ; 4.2 Years ;;;
; B-1027 ;Airbus A320-214(WL); Y186 ; 22 Dec 2017 ;lsd ; 4.2 Years ;;;
; B-1627 ;Airbus A320-214(WL); Y180 ; 23 Dec 2014 ;lsd ; 7.2 Years ;;;
; B-1628 ;Airbus A320-214(WL); Y180 ; 19 Dec 2014 ;lsd ; 7.2 Years ;;;
; B-1656 ;Airbus A320-214(WL); Y180 ; 5 Feb 2015 ;; 7.1 Years ;;;
; B-1657 ;Airbus A320-214(WL); Y180 ; 31 Mar 2015 ;; 7 Years ;;;
; B-1670 ;Airbus A320-214(WL); Y180 ; 26 Jan 2015 ;lsd ; 7.1 Years ;;;
; B-1671 ;Airbus A320-214(WL); Y180 ; 21 Jan 2015 ;lsd ; 7.1 Years ;;;
; B-1672 ;Airbus A320-214(WL); Y180 ; 11 Feb 2015 ;lsd ; 7.1 Years ;;;
; B-1807 ;Airbus A320-214(WL); Y180 ; 10 Jan 2014 ;FairLink (世纪空联) cs ; 8.2 Years ;;;
; B-1839 ;Airbus A320-214(WL); Y180 ; 1 Aug 2014 ;; 7.6 Years ;;;
; B-1840 ;Airbus A320-214(WL); Y180 ; 16 May 2014 ;lsd ; 7.8 Years ;;;
; B-1892 ;Airbus A320-214(WL); Y180 ; 7 Aug 2014 ;lsd ; 7.6 Years ;;;
; B-1893 ;Airbus A320-214(WL); Y180 ; 12 Sep 2014 ;lsd ; 7.6 Years ;;;
; B-1895 ;Airbus A320-214(WL); Y180 ; 15 Sep 2014 ;lsd ; 7.6 Years ;;;
; B-1896 ;Airbus A320-214(WL); Y180 ; 4 Sep 2014 ;lsd ; 7.5 Years ;;;
; B-300X ;Airbus A320-214(WL); Y186 ; 29 Jun 2018 ;lsd ; 3.7 Years ;;;
; B-300Y ;Airbus A320-214(WL); Y186 ; 13 Jun 2018 ;lsd ; 3.8 Years ;;;
; B-6301 ;Airbus A320-214; Y174 ; 20 Nov 2006 ;lsd ; 15.4 Years ;;;
; B-6309 ;Airbus A320-214; Y174 ; 31 Jan 2007 ;lsd ; 15.1 Years ;;;
; B-6310 ;Airbus A320-214; Y174 ; 6 Feb 2007 ;lsd ; 15.1 Years ;;;
; B-6561 ;Airbus A320-214(WL); Y174 ; 27 Mar 2009 ;; 13 Years ;;;
; B-6562 ;Airbus A320-214; Y174 ; 16 Jan 2009 ;lsd ; 13.2 Years ;;;
; B-6612 ;Airbus A320-214; Y174 ; 22 Oct 2009 ;lsd ; 12.4 Years ;;;
; B-6645 ;Airbus A320-214; Y174 ; 22 Jan 2010 ;lsd ; 12.1 Years ;;;
; B-6646 ;Airbus A320-214(WL); Y174 ; 10 Mar 2010 ;; 12 Years ;;;
; B-6667 ;Airbus A320-214; Y174 ; 24 Mar 2010 ;; 12 Years ;;;
; B-6705 ;Airbus A320-214; Y174 ; 21 Jun 2010 ;lsd ; 11.7 Years ;;;
; B-6706 ;Airbus A320-214; Y174 ; 4 Aug 2010 ;lsd ; 11.7 Years ;;;
; B-6707 ;Airbus A320-214(WL); Y174 ; 26 Jul 2010 ;; 11.6 Years ;;;
; B-6708 ;Airbus A320-214; Y174 ; 16 Jul 2010 ;lsd ; 11.6 Years ;;;
; B-6751 ;Airbus A320-214(WL); Y174 ; 9 Mar 2011 ;; 11 Years ;;;
; B-6752 ;Airbus A320-214; Y174 ; 14 Feb 2011 ;lsd ; 11.1 Years ;;;
; B-6820 ;Airbus A320-214; Y174 ; 20 Jun 2011 ;lsd ; 10.8 Years ;;;
; B-6821 ;Airbus A320-214(WL); Y174 ; 28 Jun 2011 ;; 10.7 Years ;;;
; B-6840 ;Airbus A320-214(WL); Y174 ; 26 Oct 2011 ;; 10.4 Years ;;;
; B-6841 ;Airbus A320-214; Y174 ; 27 Sep 2011 ;lsd ; 10.5 Years ;;;
; B-6851 ;Airbus A320-214; Y174 ; 24 Nov 2011 ;lsd ; 10.3 Years ;;;
; B-6852 ;Airbus A320-214(WL); Y174 ; 23 Dec 2011 ;; 10.3 Years ;;;
; B-6862 ;Airbus A320-214(WL); Y174 ; 19 Jan 2012 ;; 10.2 Years ;;;
; B-6863 ;Airbus A320-214(WL); Y174 ; 19 Jan 2012 ;; 10.2 Years ;;;
; B-6902 ;Airbus A320-214(WL); Y174 ; 24 Apr 2012 ;Booking.com cs ; 9.9 Years ;;;
; B-6931 ;Airbus A320-214(WL); Y174 ; 23 Jul 2012 ;; 9.6 Years ;;;
; B-6932 ;Airbus A320-214(WL); Y174 ; 17 Aug 2012 ;; 9.6 Years ;;;
; B-6970 ;Airbus A320-214; Y174 ; 19 Dec 2012 ;lsd ; 9.3 Years ;;;
; B-6971 ;Airbus A320-214; Y174 ; 10 Jan 2013 ;lsd ; 9.2 Years ;;;
; B-6972 ;Airbus A320-214; Y174 ; 30 Jan 2013 ;lsd ; 9.1 Years ;;;
; B-8000 ;Airbus A320-214(WL); Y180 ; 1 Jun 2015 ;; 6.8 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-8012 ;Airbus A320-214(WL); Y180 ; 27 May 2015 ;; 6.9 Years ;;;
; B-8247 ;Airbus A320-214(WL); Y186 ; 17 Sep 2015 ;; 6.5 Years ;;;
; B-8248 ;Airbus A320-214(WL); Y186 ; 25 Sep 2015 ;Oishi cs ; 6.4 Years ;;;
; B-8327 ;Airbus A320-214(WL); Y186 ; 23 Nov 2015 ;; 6.3 Years ;;;
; B-8346 ;Airbus A320-214(WL); Y186 ; 9 Dec 2015 ;; 6.3 Years ;;;
; B-8347 ;Airbus A320-214(WL); Y186 ; 14 Dec 2015 ;; 6.3 Years ;;;
; B-8370 ;Airbus A320-214(WL); Y186 ; 27 Jan 2016 ;; 6.2 Years ;;;
; B-8371 ;Airbus A320-214(WL); Y186 ; 28 Jan 2016 ;; 6.2 Years ;;;
; B-8427 ;Airbus A320-214(WL); Y186 ; 5 Feb 2016 ;; 6.1 Years ;;;
; B-8435 ;Airbus A320-214(WL); Y186 ; 8 Jun 2016 ;; 5.8 Years ;;;
; B-8436 ;Airbus A320-214(WL); Y186 ; 28 Jun 2016 ;; 5.7 Years ;;;
; B-8580 ;Airbus A320-214(WL); Y186 ; 5 Jun 2017 ;; 4.8 Years ;;;
; B-8581 ;Airbus A320-214(WL); Y186 ; 12 May 2017 ;; 4.8 Years ;;;
; B-8590 ;Airbus A320-214(WL); Y186 ; 13 Jun 2017 ;lsd ; 4.7 Years ;;;
; B-8591 ;Airbus A320-214(WL); Y186 ; 28 Jun 2017 ;lsd ; 4.7 Years ;;;
; B-8592 ;Airbus A320-214(WL); Y186 ; 24 May 2017 ;lsd ; 4.9 Years ;;;
; B-8645 ;Airbus A320-214(WL); Y186 ; 30 Jul 2016 ;; 5.6 Years ;;;
; B-8646 ;Airbus A320-214(WL); Y186 ; 9 Aug 2016 ;; 5.6 Years ;;;
; B-8647 ;Airbus A320-214(WL); Y186 ; 29 Aug 2016 ;; 5.5 Years ;;;
; B-8700 ;Airbus A320-214(WL); Y186 ; 28 Aug 2017 ;; 4.5 Years ;;;
; B-8817 ;Airbus A320-214(WL); Y186 ; 20 Jan 2017 ;"板城龙印" sticker ; 5.1 Years ;;;
; B-8871 ;Airbus A320-214(WL); Y186 ; 15 Nov 2016 ;; 5.3 Years ;;;
; B-8872 ;Airbus A320-214(WL); Y186 ; 1 Dec 2016 ;; 5.3 Years ;;;
; B-8873 ;Airbus A320-214(WL); Y186 ; 21 Dec 2016 ;; 5.2 Years ;;;
; B-8963 ;Airbus A320-214(WL); Y186 ; 17 Feb 2017 ;; 5.1 Years ;;;
; B-9920 ;Airbus A320-214(WL); Y174 ; 1 Mar 2013 ;; 9.1 Years ;;;
; B-9928 ;Airbus A320-214(WL); Y180 ; 31 Jan 2013 ;lsd ; 9.2 Years ;;;
; B-9940 ;Airbus A320-214(WL); Y180 ; 19 Jun 2013 ;; 8.7 Years ;;;
; B-9965 ;Airbus A320-214(WL); Y180 ; 23 Sep 2013 ;lsd ; 8.5 Years ;;;
; B-9986 ;Airbus A320-214(WL); Y180 ; 20 Dec 2013 ;lsd ; 8.2 Years ;;;
; B-303U ;Airbus A320-251N; Y186 ; 22 Oct 2018 ;lsd ; 3.4 Years ;;;
; B-306P ;Airbus A320-251N; Y186 ; 14 Feb 2019 ;lsd ; 3.1 Years ;;;
; B-306Z ;Airbus A320-251N; Y186 ; 30 Apr 2019 ;lsd ; 2.9 Years ;;;
; B-307N ;Airbus A320-251N; Y186 ; 26 Feb 2019 ;lsd ; 3 Years ;;;
; B-308K ;Airbus A320-251N; Y186 ; 4 Apr 2019 ;; 2.9 Years ;;;
; B-308V ;Airbus A320-251N; Y186 ; 10 May 2019 ;lsd ; 2.8 Years ;;;
; B-30A3 ;Airbus A320-251N; Y186 ; 18 Jul 2019 ;lsd ; 2.6 Years ;;;
; B-30AD ;Airbus A320-251N; Y186 ; 13 Aug 2019 ;lsd ; 2.6 Years ;;;
; B-30AR ;Airbus A320-251N; Y186 ; 11 Oct 2019 ;lsd ; 2.4 Years ;;;
; B-30CM ;Airbus A320-251N; Y186 ; 22 Nov 2019 ;lsd ; 2.3 Years ;;;
; B-30CN ;Airbus A320-251N; Y186 ; 12 Dec 2019 ;; 2.2 Years ;;;
; B-30D3 ;Airbus A320-251N; Y186 ; 17 Jan 2020 ;lsd ; 2.2 Years ;;;
; B-30D5 ;Airbus A320-251N; Y186 ; 22 Jan 2020 ;lsd ; 2.1 Years ;;;
; B-30D6 ;Airbus A320-251N; Y186 ; 19 Dec 2019 ;100th for Spring Airlines cs ; 2.2 Years ;;;
; B-30D7 ;Airbus A320-251N; Y186 ; 18 Dec 2019 ;lsd ; 2.2 Years ;;;
; B-30DD ;Airbus A320-251N; Y186 ; 31 Dec 2019 ;; 2.2 Years ;;;
; B-320L ;Airbus A320-251N; Y186 ; 30 Nov 2020 ;lsd ; 1.5 Years ;;;
; B-320M ;Airbus A320-251N; Y186 ; 11 Nov 2020 ;lsd ; 1.4 Years ;;;
; B-324F ;Airbus A320-251N; Y186 ; 4 Jun 2021 ;; 0.8 Years ;;;
; B-324G ;Airbus A320-251N; Y186 ; 15 Jun 2021 ;; 0.8 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-325C ;Airbus A320-251N; Y186 ; 13 Aug 2021 ;; 0.6 Years ;;;
; B-326R ;Airbus A320-251N; Y186 ; 2 Nov 2021 ;; 0.4 Years ;;;
; B-327J ;Airbus A320-251N; Y186 ; 9 Dec 2021 ;; 0.3 Years ;;;
; B-327Z ;Airbus A320-251N; Y186 ; 16 Dec 2021 ;; 0.2 Years ;;;
; B-328H ;Airbus A320-251N; Y186 ; 28 Jan 2022 ;; 0.2 Years ;;;
; B-328J ;Airbus A320-251N; Y186 ; 29 Jan 2022 ;; 0.1 Years ;;;
; B-328T ;Airbus A320-251N; Y186 ; On Order ;;;;;
; B-328U ;Airbus A320-251N; Y186 ; On Order ;;;;;
; B-30EU ;Airbus A321-253NX; Y240 ; 18 Sep 2020 ;lsd ; 1.9 Years ;;;
; B-30FZ ;Airbus A321-253NX; Y240 ; 11 Nov 2020 ;lsd ; 1.5 Years ;;;
; B-321F ;Airbus A321-253NX; Y240 ; 3 Dec 2020 ;; 1.3 Years ;;;
; B-321G ;Airbus A321-253NX; Y240 ; 3 Dec 2020 ;; 1.3 Years ;;;
; B-321H ;Airbus A321-253NX; Y240 ; 26 Feb 2021 ;; 1.1 Years ;;;
; B-322P ;Airbus A321-253NX; Y240 ; 20 Feb 2021 ;; 1.1 Years ;;;
; B-323N ;Airbus A321-253NX; Y240 ; 24 Jun 2021 ;; 1.1 Years ;;;
; B-324Y ;Airbus A321-253NX; Y240 ; 30 Jun 2021 ;; 0.7 Years ;;;
; B-326Q ;Airbus A321-253NX; Y240 ; 27 Oct 2021 ;; 0.4 Years ;;;
