;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N502NK ;Airbus A319-132; C10Y135 ; 29 Mar 2005 ;; 1502 ; 17 Years ;;;
; N503NK ;Airbus A319-132; C10Y135 ; 23 May 2005 ;; 1503 ; 16.8 Years ;;;
; N504NK ;Airbus A319-132; C10Y135 ; 31 May 2005 ;; 1504 ; 16.8 Years ;;;
; N505NK ;Airbus A319-132; C10Y135 ; 21 Jun 2005 ;; 1505 ; 16.7 Years ;;;
; N506NK ;Airbus A319-132; C10Y135 ; 24 Jun 2005 ;; 1506 ; 16.7 Years ;;;
; N507NK ;Airbus A319-132; C10Y135 ; 29 Sep 2005 ;; 1507 ; 16.5 Years ;;;
; N508NK ;Airbus A319-132; C10Y135 ; 27 Oct 2005 ;; 1508 ; 16.4 Years ;;;
; N509NK ;Airbus A319-132; C10Y135 ; 28 Nov 2005 ;; 1509 ; 16.3 Years ;;;
; N510NK ;Airbus A319-132; C10Y135 ; 6 Dec 2005 ;; 1510 ; 16.3 Years ;;;
; N512NK ;Airbus A319-132; C10Y135 ; 2 Feb 2006 ;; 1512 ; 16.1 Years ;;;
; N514NK ;Airbus A319-132; C10Y135 ; 7 Feb 2006 ;; 1514 ; 16.1 Years ;;;
; N515NK ;Airbus A319-132; C10Y135 ; 22 Mar 2013 ;; 1515 ; 16 Years ;;;
; N516NK ;Airbus A319-132; C10Y135 ; 23 Mar 2006 ;; 1516 ; 16 Years ;;;
; N517NK ;Airbus A319-132; C10Y135 ; 24 Mar 2006 ;; 1517 ; 16 Years ;;;
; N519NK ;Airbus A319-132; C10Y135 ; 1 Mar 2013 ;; 1519 ; 15.9 Years ;;;
; N521NK ;Airbus A319-132; C10Y135 ; 15 Dec 2012 ;; 1521 ; 15.8 Years ;;;
; N522NK ;Airbus A319-132; C10Y135 ; 9 Nov 2006 ;; 1522 ; 15.4 Years ;;;
; N523NK ;Airbus A319-132; C10Y135 ; 9 Nov 2006 ;; 1523 ; 15.4 Years ;;;
; N524NK ;Airbus A319-132; C10Y135 ; 9 Nov 2006 ;; 1524 ; 15.3 Years ;;;
; N525NK ;Airbus A319-132; C10Y135 ; 29 Nov 2006 ;; 1525 ; 15.3 Years ;;;
; N526NK ;Airbus A319-132; C10Y135 ; 7 Dec 2006 ;; 1526 ; 15.3 Years ;;;
; N527NK ;Airbus A319-132; C10Y135 ; 10 Jan 2007 ;; 1527 ; 15.2 Years ;;;
; N528NK ;Airbus A319-132; C10Y135 ; 19 Jan 2007 ;; 1528 ; 15.2 Years ;;;
; N529NK ;Airbus A319-132; C10Y135 ; 1 Feb 2007 ;; 1529 ; 15.1 Years ;;;
; N530NK ;Airbus A319-132; C10Y135 ; 9 Feb 2007 ;; 1530 ; 15.1 Years ;;;
; N531NK ;Airbus A319-132; C10Y135 ; 28 Feb 2007 ;; 1531 ; 15.1 Years ;;;
; N532NK ;Airbus A319-132; C10Y135 ; 18 Jun 2007 ;; 1532 ; 14.7 Years ;;;
; N533NK ;Airbus A319-132; C10Y135 ; 6 Feb 2008 ;; 1533 ; 14.1 Years ;;;
; N534NK ;Airbus A319-132; C10Y135 ; 15 Feb 2008 ;; 1534 ; 14.1 Years ;;;
; N535NK ;Airbus A319-132; C10Y135 ; 16 Dec 2016 ;lsd ; 1535 ; 11.6 Years ;;;
; N536NK ;Airbus A319-132; C10Y135 ; 15 Dec 2016 ;lsd ; 1536 ; 11.5 Years ;;;
; N601NK ;Airbus A320-232; C4Y174 ; 4 Mar 2010 ; Parked ; 3601 ; 12 Years ;;;
; N602NK ;Airbus A320-232; C4Y174 ; 8 Apr 2010 ;; 3602 ; 11.9 Years ;;;
; N603NK ;Airbus A320-232; C4Y174 ; 27 May 2010 ;; 3603 ; 11.8 Years ;;;
; N604NK ;Airbus A320-232; C4Y174 ; 14 Sep 2010 ;; 3604 ; 11.5 Years ;;;
; N605NK ;Airbus A320-232; C4Y174 ; 17 Jan 2011 ;lsd ; 3605 ; 11.2 Years ;;;
; N606NK ;Airbus A320-232; C4Y174 ; 22 Feb 2011 ;lsd ; 3606 ; 11.1 Years ;;;
; N607NK ;Airbus A320-232; C4Y174 ; 23 Feb 2011 ;lsd ; 3607 ; 11.1 Years ;;;
; N608NK ;Airbus A320-232; C4Y174 ; 17 Nov 2011 ;lsd ; 3608 ; 10.3 Years ;;;
; N609NK ;Airbus A320-232; C4Y174 ; 22 Dec 2011 ;lsd ; 3609 ; 10.2 Years ;;;
; N611NK ;Airbus A320-232; C4Y174 ; 31 Jan 2012 ;lsd ; 3611 ; 10.1 Years ;;;
; N612NK ;Airbus A320-232; C4Y174 ; 28 Feb 2012 ;lsd ; 3612 ; 10.1 Years ;;;
; N613NK ;Airbus A320-232; C4Y174 ; 6 Mar 2012 ;lsd ; 3613 ; 10 Years ;;;
; N614NK ;Airbus A320-232; C4Y174 ; 23 May 2012 ;lsd ; 3614 ; 9.9 Years ;;;
