;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N950NS ;McDonnell Douglas MD-83 (DC-9-83);; 17 Sep 2014 ; Parked MDJ ;; 31.1 Years ;;
; N291EA ;McDonnell Douglas MD-87 (DC-9-87); Air Tanker ; 18 May 2011 ;; 101 ; 30.8 Years ;;
; N292EA ;McDonnell Douglas MD-87 (DC-9-87); Air Tanker ; 20 Apr 2012 ;; 102 ; 30.8 Years ;;
; N293EA ;McDonnell Douglas MD-87 (DC-9-87); Air Tanker ; 9 Jul 2012 ;; 103 ; 30.8 Years ;;
; N294EA ;McDonnell Douglas MD-87 (DC-9-87);; 26 Jul 2013 ;; 104 ; 30.8 Years ;;
; N295EA ;McDonnell Douglas MD-87 (DC-9-87); Air Tanker ; 20 Sep 2012 ;; 105 ; 30.8 Years ;;
; N296EA ;McDonnell Douglas MD-87 (DC-9-87);; 7 Feb 2013 ; Parked ; 106 ; 30.7 Years ;;
; N297EA ;McDonnell Douglas MD-87 (DC-9-87);; 23 Apr 2013 ;; 107 ; 30.7 Years ;;
; N913DE ;McDonnell Douglas MD-88;; 5 Jan 2022 ; Parked ;; 29.2 Years ;;
; N990DL ;McDonnell Douglas MD-88;; 5 Jan 2022 ; Parked MDJ ;; 30.4 Years ;;
