;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; EI-FSL ;ATR 72-600 (72-212A);; Due ; Stored, lsd ; 5.5 Years ;;
; EI-GPN ;ATR 72-600 (72-212A); Y70 ; 14 Oct 2021 ;lsd ; 6.2 Years ;;
; EI-GPO ;ATR 72-600 (72-212A); Y70 ; Due ; Stored, lsd ; 6 Years ;;
; EI-GPP ;ATR 72-600 (72-212A); Y70 ; 30 Aug 2021 ;lsd ; 5.9 Years ;;
; EI- ;ATR 72-600 (72-212A);; Due ; Stored, lsd ; 8.8 Years ;;
; EI- ;ATR 72-600 (72-212A);; Due ; Stored, lsd ; 8.5 Years ;;
; EI- ;ATR 72-600 (72-212A);; Due ; Stored, lsd ; 7.6 Years ;;
