;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; OY-GRN ;Airbus A330-223; CY245 ; 6 Aug 2002 ; Parked PGF ; Norsaq ; 23.5 Years ;;
; OY-GKN ;Airbus A330-841;; On Order ;; Tuukkaq ;;;
; OY-GRG ;De Havilland Canada DHC-8-202Q Dash 8; Y37 ; 11 May 2010 ;; Suloraq ; 24.2 Years ;;
; OY-GRH ;De Havilland Canada DHC-8-202Q Dash 8; Y37 ; 6 May 2010 ;; Qarsoq ; 25 Years ;;
; OY-GRJ ;De Havilland Canada DHC-8-202Q Dash 8; Y37 ; 12 Mar 2012 ;; Tulugaq ; 24.5 Years ;;
; OY-GRK ;De Havilland Canada DHC-8-202Q Dash 8; Y37 ; 24 Jan 2012 ;; Aqissiaq ; 24.4 Years ;;
; OY-GRM ;De Havilland Canada DHC-8-202 Dash 8; Y37 ; 5 Apr 2014 ;; Navarana ; 25.9 Years ;;
; OY-GRO ;De Havilland Canada DHC-8-202Q Dash 8; Y37 ; 30 Mar 2015 ;; Qasapi ; 25 Years ;;
; OY-GRP ;De Havilland Canada DHC-8-202Q Dash 8; Y37 ; 16 Sep 2015 ;; Qooqa ; 25.2 Years ;;
