;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; DQ-FJT ;Airbus A330-243; C24Y249 ; 27 Jun 2013 ;; Island of Taveuni ; 9 Years ;;
; DQ-FJU ;Airbus A330-243; C24Y249 ; 27 Jun 2013 ;; Island of Namuka-i-Lau ; 8.8 Years ;;
; DQ-FJV ;Airbus A330-243; C24Y249 ; 4 Nov 2013 ; Parked ; Island of Yasawa-i-Rara ; 8.4 Years ;;
; DQ-FJW ;Airbus A330-343; C24Y289 ; 23 Dec 2015 ;lsd ; Island of Rotuma ; 6.2 Years ;;
; DQ-FAI ;Airbus A350-941; C33Y301 ; 7 Nov 2019 ;lsd ; Island of Viti Levu ; 2.3 Years ;;
; DQ-FAJ ;Airbus A350-941; C33Y301 ; 5 Dec 2019 ;lsd ; Island of Vanua Levu ; 2.3 Years ;;
; DQ-FAB ;Boeing 737-8 MAX; C8Y178 ; 28 Nov 2018 ; Parked, lsd ; Island of Kadavu ; 3.3 Years ;;
; DQ-FAD ;Boeing 737-8 MAX; C8Y178 ; 31 Dec 2018 ;lsd ; Island of Gau ; 3.2 Years ;;
; DQ-FAE ;Boeing 737-8 MAX; C8Y178 ; 25 May 2021 ;lsd ; Island of Koro ; 2.5 Years ;;
; DQ-FAF ;Boeing 737-8 MAX; C8Y178 ; 2 Jul 2021 ;lsd ; Mamanuca Islands ; 2.4 Years ;;
; DQ-FAH ;Boeing 737-8 MAX; C8Y178 ; 27 May 2021 ;lsd ; Island of Ovalau ; 1.6 Years ;;
; DQ-FJM ;Boeing 737-86J(WL); C8Y162 ; 27 Jun 2013 ; Parked, lsd ; Mamanuca Islands ; 11.7 Years ;;
; DQ-FJN ;Boeing 737-808(WL); C8Y162 ; 23 May 2015 ; Parked, lsd ; Island of Ovalau ; 14.7 Years ;;
