;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;
; Z-WPN ;Airbus A320-211;; 9 Jul 2013 ; Parked HRE ;;; 19 Years ;;
; Z-WPA ;Boeing 737-2N0(A); C12Y93 ; Sep 2005 ;; 1 ; Mbuya Nehanda ; 35.3 Years ;;
; Z-WPB ;Boeing 737-2N0(A); C12Y93 ; 23 Jun 1987 ; Parked ; 2 ; Great Zimbabwe ; 34.7 Years ;;
; Z-WPE ;Boeing 767-2N0ER; C28Y175 ; 28 Nov 1989 ; Parked ;; Victoria Falls ; 32.3 Years ;;
; Z-WPF ;Boeing 767-2N0ER; C30Y173 ; 26 Oct 1990 ;;; Chimanimani ; 31.4 Years ;;
; Z-NBE ;Boeing 777-2H6ER; C35Y247 ; 3 Oct 2020 ; Parked HRE ;;; 17.3 Years ;;
; Z-RGM ;Boeing 777-2H6ER; C35Y247 ; 20 Jan 2020 ; Parked HRE ;;; 17.3 Years ;;
; Z-WPQ ;Embraer ERJ-145LR;; 7 May 2019 ;;;; 21.1 Years ;;
